16.07.17/12:37 PM SW ver:OXY10v3_33
Header Ch-2
Description: DRIFT-12
IDENTIFICATION
PHIboard number   : v1231474
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 075
Ref LED amplitude : 96393
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 029100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 029400
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
16.07.17;12:37:24 PM;0.00;97.010;29.530;16433.000;12.000
16.07.17;12:37:33 PM;0.15;96.230;29.620;16430.000;12.000
16.07.17;12:37:48 PM;0.40;96.210;29.620;16345.000;12.000
16.07.17;12:38:03 PM;0.65;96.930;29.540;16372.000;12.000
16.07.17;12:38:18 PM;0.90;96.320;29.610;16353.000;12.000
16.07.17;12:38:33 PM;1.15;96.040;29.640;16364.000;12.000
16.07.17;12:38:48 PM;1.40;96.610;29.580;16351.000;12.000
16.07.17;12:39:03 PM;1.65;96.810;29.550;16340.000;12.000
16.07.17;12:39:18 PM;1.90;96.810;29.550;16354.000;12.000
16.07.17;12:39:33 PM;2.15;95.650;29.690;16352.000;12.000
16.07.17;12:39:48 PM;2.40;97.190;29.510;16341.000;12.000
16.07.17;12:40:03 PM;2.65;96.760;29.560;16328.000;12.000
16.07.17;12:40:18 PM;2.90;96.660;29.570;16341.000;12.000
16.07.17;12:40:33 PM;3.15;96.060;29.640;16356.000;12.000
16.07.17;12:40:48 PM;3.40;96.680;29.570;16336.000;12.000
16.07.17;12:41:03 PM;3.65;96.530;29.590;16352.000;12.000
16.07.17;12:41:18 PM;3.90;95.900;29.660;16346.000;12.000
16.07.17;12:41:33 PM;4.15;96.950;29.540;16316.000;12.000
16.07.17;12:41:48 PM;4.40;96.740;29.560;16332.000;12.000
16.07.17;12:42:03 PM;4.65;96.480;29.590;16344.000;12.000
16.07.17;12:42:18 PM;4.90;96.060;29.640;16351.000;12.000
16.07.17;12:42:33 PM;5.15;96.280;29.610;16333.000;12.000
16.07.17;12:42:48 PM;5.40;96.770;29.560;16336.000;12.000
16.07.17;12:43:03 PM;5.65;96.440;29.600;16329.000;12.000
16.07.17;12:43:18 PM;5.90;96.710;29.560;16348.000;12.000
16.07.17;12:43:33 PM;6.15;97.020;29.530;16324.000;12.000
16.07.17;12:43:48 PM;6.40;96.850;29.550;16325.000;12.000
16.07.17;12:44:03 PM;6.65;96.820;29.550;16334.000;12.000
16.07.17;12:44:18 PM;6.90;96.430;29.600;16335.000;12.000
16.07.17;12:44:33 PM;7.15;96.560;29.580;16329.000;12.000
16.07.17;12:44:48 PM;7.40;96.730;29.560;16317.000;12.000
16.07.17;12:45:03 PM;7.65;96.520;29.590;16323.000;12.000
16.07.17;12:45:18 PM;7.90;96.290;29.610;16329.000;12.000
16.07.17;12:45:33 PM;8.15;95.640;29.690;16343.000;12.000
16.07.17;12:45:48 PM;8.40;96.910;29.540;16323.000;12.000
16.07.17;12:46:03 PM;8.65;96.410;29.600;16308.000;12.000
16.07.17;12:46:18 PM;8.90;96.180;29.630;16361.000;12.000
16.07.17;12:46:33 PM;9.15;96.920;29.540;16321.000;12.000
16.07.17;12:46:48 PM;9.40;95.980;29.650;16322.000;12.000
16.07.17;12:47:03 PM;9.65;96.410;29.600;16327.000;12.000
16.07.17;12:47:18 PM;9.90;97.080;29.520;16341.000;12.000
16.07.17;12:47:33 PM;10.15;96.810;29.550;16311.000;12.000
16.07.17;12:47:48 PM;10.40;96.360;29.600;16327.000;12.000
16.07.17;12:48:03 PM;10.65;96.220;29.620;16310.000;12.000
16.07.17;12:48:18 PM;10.90;97.090;29.520;16319.000;12.000
16.07.17;12:48:33 PM;11.15;96.060;29.640;16314.000;12.000
16.07.17;12:48:48 PM;11.40;95.920;29.660;16332.000;12.000
16.07.17;12:49:03 PM;11.65;96.680;29.570;16318.000;12.000
16.07.17;12:49:18 PM;11.90;96.560;29.580;16308.000;12.000
16.07.17;12:49:33 PM;12.15;96.300;29.610;16331.000;12.000
16.07.17;12:49:48 PM;12.40;96.740;29.560;16294.000;12.000
16.07.17;12:50:03 PM;12.65;96.510;29.590;16315.000;12.000
16.07.17;12:50:18 PM;12.90;96.740;29.560;16298.000;12.000
16.07.17;12:50:33 PM;13.15;96.480;29.590;16325.000;12.000
16.07.17;12:50:48 PM;13.40;96.820;29.550;16334.000;12.000
16.07.17;12:51:03 PM;13.65;96.530;29.590;16305.000;12.000
16.07.17;12:51:18 PM;13.90;96.720;29.560;16297.000;12.000
16.07.17;12:51:33 PM;14.15;96.280;29.610;16290.000;12.000
16.07.17;12:51:48 PM;14.40;96.740;29.560;16332.000;12.000
16.07.17;12:52:03 PM;14.65;95.540;29.700;16330.000;12.000
16.07.17;12:52:18 PM;14.90;96.230;29.620;16314.000;12.000
16.07.17;12:52:33 PM;15.15;95.980;29.650;16311.000;12.000
16.07.17;12:52:48 PM;15.40;96.590;29.580;16310.000;12.000
16.07.17;12:53:03 PM;15.65;97.180;29.510;16314.000;12.000
16.07.17;12:53:18 PM;15.90;96.560;29.580;16321.000;12.000
16.07.17;12:53:33 PM;16.15;96.790;29.560;16310.000;12.000
16.07.17;12:53:48 PM;16.40;96.800;29.550;16290.000;12.000
16.07.17;12:54:03 PM;16.65;96.780;29.560;16315.000;12.000
16.07.17;12:54:18 PM;16.90;97.060;29.520;16327.000;12.000
16.07.17;12:54:33 PM;17.15;96.890;29.540;16317.000;12.000
16.07.17;12:54:48 PM;17.40;97.100;29.520;16306.000;12.000
16.07.17;12:55:03 PM;17.65;96.880;29.540;16315.000;12.000
16.07.17;12:55:18 PM;17.90;97.510;29.470;16305.000;12.000
16.07.17;12:55:33 PM;18.15;97.170;29.510;16305.000;12.000
16.07.17;12:55:48 PM;18.40;97.020;29.530;16334.000;12.000
16.07.17;12:56:03 PM;18.65;96.940;29.540;16308.000;12.000
16.07.17;12:56:18 PM;18.90;97.150;29.510;16285.000;12.000
16.07.17;12:56:33 PM;19.15;96.500;29.590;16291.000;12.000
16.07.17;12:56:48 PM;19.40;96.410;29.600;16338.000;12.000
16.07.17;12:57:03 PM;19.65;98.020;29.410;16313.000;12.000
16.07.17;12:57:18 PM;19.90;97.570;29.470;16324.000;12.000
16.07.17;12:57:33 PM;20.15;96.790;29.560;16306.000;12.000
