16.07.17/11:29 AM SW ver:OXY10v3_33
Header Ch-10
Description: TWL4-15
IDENTIFICATION
PHIboard number   : v1231482
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 10

PARAMETERS
Signal LED current: 050
Ref LED current   : 068
Ref LED amplitude : 98357
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 045200
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
16.07.17;11:29:35 AM;0.00;96.540;29.000;44177.000;15.000
16.07.17;11:29:44 AM;0.16;96.050;29.050;44186.000;15.000
16.07.17;11:29:59 AM;0.41;96.650;28.980;44191.000;15.000
16.07.17;11:30:14 AM;0.66;96.410;29.010;44165.000;15.000
16.07.17;11:30:29 AM;0.91;96.680;28.980;44196.000;15.000
16.07.17;11:30:44 AM;1.16;96.260;29.030;44173.000;15.000
16.07.17;11:30:59 AM;1.41;96.450;29.010;44174.000;15.000
16.07.17;11:31:14 AM;1.66;95.940;29.060;44222.000;15.000
16.07.17;11:31:29 AM;1.91;96.390;29.010;44209.000;15.000
16.07.17;11:31:44 AM;2.16;96.560;28.990;44226.000;15.000
16.07.17;11:31:59 AM;2.41;96.440;29.010;44196.000;15.000
16.07.17;11:32:14 AM;2.66;96.890;28.960;44245.000;15.000
16.07.17;11:32:29 AM;2.91;96.330;29.020;44235.000;15.000
16.07.17;11:32:44 AM;3.16;96.330;29.020;44239.000;15.000
16.07.17;11:32:59 AM;3.41;96.520;29.000;44284.000;15.000
16.07.17;11:33:14 AM;3.66;96.160;29.040;44233.000;15.000
16.07.17;11:33:29 AM;3.91;96.270;29.030;44242.000;15.000
16.07.17;11:33:44 AM;4.16;95.960;29.060;44242.000;15.000
16.07.17;11:33:59 AM;4.41;96.630;28.980;44217.000;15.000
16.07.17;11:34:14 AM;4.66;96.560;28.990;44224.000;15.000
16.07.17;11:34:29 AM;4.91;96.120;29.040;44175.000;15.000
16.07.17;11:34:44 AM;5.16;96.000;29.060;44250.000;15.000
16.07.17;11:34:59 AM;5.41;95.850;29.070;44252.000;15.000
16.07.17;11:35:14 AM;5.66;96.060;29.050;44266.000;15.000
16.07.17;11:35:29 AM;5.91;95.890;29.070;44245.000;15.000
16.07.17;11:35:44 AM;6.16;95.860;29.070;44273.000;15.000
16.07.17;11:35:59 AM;6.41;96.120;29.040;44271.000;15.000
16.07.17;11:36:14 AM;6.66;96.190;29.030;44272.000;15.000
16.07.17;11:36:29 AM;6.91;96.170;29.040;44279.000;15.000
16.07.17;11:36:44 AM;7.16;95.920;29.070;44279.000;15.000
16.07.17;11:36:59 AM;7.41;96.470;29.000;44230.000;15.000
16.07.17;11:37:14 AM;7.66;95.680;29.090;44256.000;15.000
16.07.17;11:37:29 AM;7.91;96.400;29.010;44296.000;15.000
16.07.17;11:37:44 AM;8.16;96.380;29.010;44308.000;15.000
16.07.17;11:37:59 AM;8.41;96.340;29.020;44315.000;15.000
16.07.17;11:38:14 AM;8.66;95.930;29.060;44284.000;15.000
16.07.17;11:38:29 AM;8.91;96.060;29.050;44308.000;15.000
16.07.17;11:38:44 AM;9.16;96.290;29.020;44287.000;15.000
16.07.17;11:38:59 AM;9.41;96.130;29.040;44313.000;15.000
