16.07.17/11:29 AM SW ver:OXY10v3_33
Header Ch-6
Description: TWH1-15
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 97929
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
16.07.17;11:29:35 AM;0.00;97.590;28.880;38453.000;15.000
16.07.17;11:29:50 AM;0.25;98.340;28.790;38404.000;15.000
16.07.17;11:30:05 AM;0.50;97.540;28.880;38386.000;15.000
16.07.17;11:30:20 AM;0.75;96.810;28.960;38426.000;15.000
16.07.17;11:30:35 AM;1.00;97.470;28.890;38441.000;15.000
16.07.17;11:30:50 AM;1.25;97.870;28.840;38515.000;15.000
16.07.17;11:31:05 AM;1.50;97.480;28.890;38422.000;15.000
16.07.17;11:31:20 AM;1.75;97.610;28.870;38476.000;15.000
16.07.17;11:31:35 AM;2.00;97.590;28.880;38499.000;15.000
16.07.17;11:31:50 AM;2.25;97.780;28.850;38434.000;15.000
16.07.17;11:32:05 AM;2.50;97.260;28.910;38526.000;15.000
16.07.17;11:32:20 AM;2.75;98.050;28.820;38450.000;15.000
16.07.17;11:32:35 AM;2.99;97.300;28.910;38536.000;15.000
16.07.17;11:32:50 AM;3.25;97.350;28.900;38472.000;15.000
16.07.17;11:33:05 AM;3.50;97.170;28.920;38488.000;15.000
16.07.17;11:33:20 AM;3.75;97.290;28.910;38542.000;15.000
16.07.17;11:33:35 AM;4.00;97.830;28.850;38541.000;15.000
16.07.17;11:33:50 AM;4.25;96.820;28.960;38516.000;15.000
16.07.17;11:34:05 AM;4.50;97.170;28.920;38529.000;15.000
16.07.17;11:34:20 AM;4.75;96.740;28.970;38473.000;15.000
16.07.17;11:34:35 AM;5.00;96.870;28.960;38506.000;15.000
16.07.17;11:34:50 AM;5.25;96.670;28.980;38488.000;15.000
16.07.17;11:35:05 AM;5.50;96.610;28.990;38602.000;15.000
16.07.17;11:35:20 AM;5.75;98.000;28.830;38557.000;15.000
16.07.17;11:35:35 AM;6.00;98.330;28.790;38593.000;15.000
16.07.17;11:35:50 AM;6.25;97.050;28.940;38475.000;15.000
16.07.17;11:36:05 AM;6.49;96.970;28.950;38575.000;15.000
16.07.17;11:36:20 AM;6.74;97.100;28.930;38530.000;15.000
16.07.17;11:36:35 AM;7.00;97.330;28.910;38597.000;15.000
16.07.17;11:36:50 AM;7.24;96.180;29.040;38568.000;15.000
16.07.17;11:37:05 AM;7.50;96.970;28.950;38506.000;15.000
16.07.17;11:37:20 AM;7.75;96.190;29.030;38635.000;15.000
16.07.17;11:37:35 AM;7.99;97.270;28.910;38575.000;15.000
16.07.17;11:37:50 AM;8.25;98.170;28.810;38587.000;15.000
16.07.17;11:38:05 AM;8.50;97.040;28.940;38565.000;15.000
16.07.17;11:38:20 AM;8.75;97.000;28.940;38584.000;15.000
16.07.17;11:38:35 AM;9.00;95.810;29.080;38636.000;15.000
16.07.17;11:38:50 AM;9.25;96.760;28.970;38577.000;15.000
16.07.17;11:39:05 AM;9.50;97.200;28.920;38591.000;15.000
16.07.17;11:39:20 AM;9.75;96.500;29.000;38573.000;15.000
16.07.17;11:39:35 AM;9.99;97.590;28.880;38615.000;15.000
16.07.17;11:39:50 AM;10.25;96.770;28.970;38620.000;15.000
16.07.17;11:40:05 AM;10.49;96.690;28.980;38622.000;15.000
16.07.17;11:40:20 AM;10.74;96.650;28.980;38651.000;15.000
16.07.17;11:40:35 AM;11.00;95.470;29.120;38659.000;15.000
16.07.17;11:40:50 AM;11.25;97.100;28.930;38601.000;15.000
16.07.17;11:41:05 AM;11.50;96.660;28.980;38650.000;15.000
16.07.17;11:41:20 AM;11.75;96.750;28.970;38677.000;15.000
16.07.17;11:41:35 AM;12.00;96.080;29.050;38682.000;15.000
16.07.17;11:41:50 AM;12.25;96.890;28.960;38648.000;15.000
16.07.17;11:42:05 AM;12.49;96.590;28.990;38677.000;15.000
16.07.17;11:42:20 AM;12.74;96.300;29.020;38720.000;15.000
16.07.17;11:42:35 AM;13.00;96.620;28.990;38683.000;15.000
16.07.17;11:42:50 AM;13.25;96.910;28.950;38676.000;15.000
16.07.17;11:43:05 AM;13.49;96.120;29.040;38689.000;15.000
16.07.17;11:43:20 AM;13.75;96.490;29.000;38679.000;15.000
16.07.17;11:43:35 AM;13.99;95.660;29.100;38718.000;15.000
16.07.17;11:43:50 AM;14.25;96.610;28.990;38701.000;15.000
16.07.17;11:44:05 AM;14.50;96.880;28.960;38744.000;15.000
16.07.17;11:44:20 AM;14.75;96.140;29.040;38733.000;15.000
16.07.17;11:44:35 AM;15.00;96.550;28.990;38752.000;15.000
16.07.17;11:44:50 AM;15.24;96.970;28.950;38721.000;15.000
16.07.17;11:45:05 AM;15.50;96.490;29.000;38719.000;15.000
16.07.17;11:45:20 AM;15.75;97.170;28.920;38803.000;15.000
16.07.17;11:45:35 AM;16.00;96.280;29.020;38790.000;15.000
16.07.17;11:45:50 AM;16.25;95.800;29.080;38742.000;15.000
16.07.17;11:46:05 AM;16.50;96.190;29.030;38778.000;15.000
16.07.17;11:46:20 AM;16.75;95.990;29.060;38732.000;15.000
16.07.17;11:46:35 AM;16.99;95.380;29.130;38801.000;15.000
16.07.17;11:46:50 AM;17.25;95.890;29.070;38771.000;15.000
16.07.17;11:47:05 AM;17.50;96.260;29.030;38815.000;15.000
16.07.17;11:47:20 AM;17.75;96.650;28.980;38808.000;15.000
16.07.17;11:47:35 AM;18.00;96.040;29.050;38833.000;15.000
16.07.17;11:47:50 AM;18.25;95.680;29.090;38830.000;15.000
16.07.17;11:48:05 AM;18.50;95.160;29.150;38838.000;15.000
16.07.17;11:48:20 AM;18.74;95.500;29.110;38777.000;15.000
16.07.17;11:48:35 AM;19.00;95.310;29.140;38830.000;15.000
16.07.17;11:48:50 AM;19.25;94.980;29.170;38769.000;15.000
16.07.17;11:49:05 AM;19.50;95.390;29.130;38835.000;15.000
