16.07.17/10:53 AM SW ver:OXY10v3_33
Header Ch-3
Description: WBP1-15
IDENTIFICATION
PHIboard number   : v1231475
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 100629
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 030000
100.00%a.s.phase 2: 27.68 at 020.0°C amp 033000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
16.07.17;10:53:33 AM;0.00;93.990;29.290;30511.000;15.000
16.07.17;10:53:43 AM;0.17;94.310;29.250;30532.000;15.000
16.07.17;10:53:58 AM;0.42;94.210;29.260;30497.000;15.000
16.07.17;10:54:13 AM;0.67;94.200;29.270;30524.000;15.000
16.07.17;10:54:28 AM;0.92;93.800;29.310;30523.000;15.000
16.07.17;10:54:43 AM;1.17;94.210;29.260;30503.000;15.000
16.07.17;10:54:58 AM;1.42;94.590;29.220;30501.000;15.000
16.07.17;10:55:13 AM;1.67;94.080;29.280;30490.000;15.000
16.07.17;10:55:28 AM;1.92;95.160;29.150;30483.000;15.000
16.07.17;10:55:43 AM;2.17;94.300;29.250;30482.000;15.000
16.07.17;10:55:58 AM;2.42;94.580;29.220;30521.000;15.000
16.07.17;10:56:13 AM;2.67;94.480;29.230;30493.000;15.000
16.07.17;10:56:28 AM;2.92;94.570;29.220;30478.000;15.000
16.07.17;10:56:43 AM;3.17;94.680;29.210;30495.000;15.000
16.07.17;10:56:58 AM;3.42;94.080;29.280;30499.000;15.000
16.07.17;10:57:13 AM;3.67;94.340;29.250;30461.000;15.000
16.07.17;10:57:28 AM;3.92;94.560;29.220;30535.000;15.000
16.07.17;10:57:43 AM;4.17;94.170;29.270;30478.000;15.000
16.07.17;10:57:58 AM;4.42;94.540;29.230;30495.000;15.000
16.07.17;10:58:13 AM;4.67;94.140;29.270;30481.000;15.000
16.07.17;10:58:28 AM;4.92;94.580;29.220;30485.000;15.000
16.07.17;10:58:43 AM;5.17;94.610;29.220;30481.000;15.000
16.07.17;10:58:58 AM;5.42;94.440;29.240;30486.000;15.000
16.07.17;10:59:13 AM;5.67;94.170;29.270;30449.000;15.000
16.07.17;10:59:29 AM;5.92;94.040;29.280;30423.000;15.000
16.07.17;10:59:43 AM;6.17;94.510;29.230;30407.000;15.000
16.07.17;10:59:58 AM;6.42;94.460;29.240;30420.000;15.000
16.07.17;11:00:13 AM;6.67;94.190;29.270;30404.000;15.000
16.07.17;11:00:29 AM;6.92;94.490;29.230;30421.000;15.000
16.07.17;11:00:43 AM;7.17;94.190;29.270;30405.000;15.000
16.07.17;11:00:58 AM;7.42;94.260;29.260;30403.000;15.000
16.07.17;11:01:13 AM;7.67;94.430;29.240;30418.000;15.000
16.07.17;11:01:29 AM;7.92;94.860;29.190;30406.000;15.000
16.07.17;11:01:44 AM;8.17;94.420;29.240;30411.000;15.000
16.07.17;11:01:59 AM;8.42;94.440;29.240;30422.000;15.000
16.07.17;11:02:13 AM;8.67;94.590;29.220;30425.000;15.000
16.07.17;11:02:28 AM;8.92;94.110;29.280;30431.000;15.000
16.07.17;11:02:43 AM;9.17;94.300;29.250;30434.000;15.000
16.07.17;11:02:59 AM;9.42;94.690;29.210;30452.000;15.000
16.07.17;11:03:13 AM;9.67;94.600;29.220;30429.000;15.000
16.07.17;11:03:28 AM;9.92;94.470;29.230;30418.000;15.000
16.07.17;11:03:43 AM;10.17;94.310;29.250;30419.000;15.000
16.07.17;11:03:58 AM;10.42;94.440;29.240;30418.000;15.000
16.07.17;11:04:13 AM;10.67;94.710;29.210;30446.000;15.000
16.07.17;11:04:28 AM;10.92;94.350;29.250;30436.000;15.000
16.07.17;11:04:43 AM;11.17;94.680;29.210;30406.000;15.000
16.07.17;11:04:58 AM;11.42;94.540;29.230;30412.000;15.000
16.07.17;11:05:14 AM;11.67;94.600;29.220;30422.000;15.000
16.07.17;11:05:28 AM;11.92;94.810;29.190;30421.000;15.000
16.07.17;11:05:43 AM;12.17;94.580;29.220;30394.000;15.000
16.07.17;11:05:58 AM;12.42;94.310;29.250;30419.000;15.000
16.07.17;11:06:13 AM;12.67;94.420;29.240;30419.000;15.000
16.07.17;11:06:28 AM;12.92;95.060;29.170;30403.000;15.000
16.07.17;11:06:43 AM;13.17;94.260;29.260;30455.000;15.000
16.07.17;11:06:58 AM;13.42;94.810;29.190;30426.000;15.000
16.07.17;11:07:13 AM;13.67;94.260;29.260;30417.000;15.000
16.07.17;11:07:28 AM;13.92;94.310;29.250;30442.000;15.000
16.07.17;11:07:43 AM;14.17;94.130;29.270;30453.000;15.000
16.07.17;11:07:58 AM;14.42;94.150;29.270;30454.000;15.000
16.07.17;11:08:14 AM;14.67;94.520;29.230;30449.000;15.000
16.07.17;11:08:29 AM;14.92;94.760;29.200;30414.000;15.000
16.07.17;11:08:43 AM;15.17;94.130;29.270;30455.000;15.000
16.07.17;11:08:59 AM;15.42;94.220;29.260;30436.000;15.000
16.07.17;11:09:13 AM;15.67;94.540;29.230;30453.000;15.000
16.07.17;11:09:28 AM;15.92;94.060;29.280;30430.000;15.000
16.07.17;11:09:43 AM;16.17;94.290;29.260;30417.000;15.000
16.07.17;11:09:58 AM;16.42;94.350;29.250;30448.000;15.000
16.07.17;11:10:13 AM;16.67;94.630;29.220;30428.000;15.000
16.07.17;11:10:29 AM;16.92;94.010;29.290;30435.000;15.000
16.07.17;11:10:43 AM;17.17;94.550;29.220;30463.000;15.000
16.07.17;11:10:58 AM;17.42;94.150;29.270;30446.000;15.000
16.07.17;11:11:13 AM;17.67;94.200;29.270;30438.000;15.000
16.07.17;11:11:29 AM;17.92;94.020;29.290;30473.000;15.000
16.07.17;11:11:43 AM;18.17;94.150;29.270;30478.000;15.000
16.07.17;11:11:58 AM;18.42;93.960;29.290;30469.000;15.000
16.07.17;11:12:13 AM;18.67;94.400;29.240;30455.000;15.000
16.07.17;11:12:28 AM;18.92;93.900;29.300;30463.000;15.000
16.07.17;11:12:43 AM;19.17;94.260;29.260;30486.000;15.000
16.07.17;11:12:58 AM;19.42;93.950;29.300;30472.000;15.000
