16.07.17/10:53 AM SW ver:OXY10v3_33
Header Ch-4
Description: WWF1-15
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 95410
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
16.07.17;10:53:34 AM;0.00;94.480;29.230;35991.000;15.000
16.07.17;10:53:45 AM;0.19;94.610;29.220;35994.000;15.000
16.07.17;10:54:00 AM;0.44;95.040;29.170;36006.000;15.000
16.07.17;10:54:15 AM;0.69;94.890;29.190;36018.000;15.000
16.07.17;10:54:30 AM;0.94;94.420;29.240;36024.000;15.000
16.07.17;10:54:45 AM;1.19;94.880;29.190;36024.000;15.000
16.07.17;10:55:00 AM;1.44;95.280;29.140;36005.000;15.000
16.07.17;10:55:15 AM;1.69;94.880;29.190;36015.000;15.000
16.07.17;10:55:30 AM;1.94;94.480;29.230;36008.000;15.000
16.07.17;10:55:45 AM;2.19;94.720;29.200;36030.000;15.000
16.07.17;10:56:00 AM;2.44;94.650;29.210;36032.000;15.000
16.07.17;10:56:15 AM;2.69;94.600;29.220;35999.000;15.000
16.07.17;10:56:30 AM;2.94;94.780;29.200;36026.000;15.000
16.07.17;10:56:45 AM;3.19;94.720;29.200;36014.000;15.000
16.07.17;10:57:00 AM;3.44;94.330;29.250;36017.000;15.000
16.07.17;10:57:15 AM;3.69;94.420;29.240;36018.000;15.000
16.07.17;10:57:30 AM;3.94;94.820;29.190;36008.000;15.000
16.07.17;10:57:45 AM;4.19;94.660;29.210;36041.000;15.000
16.07.17;10:58:00 AM;4.44;94.390;29.240;36051.000;15.000
16.07.17;10:58:15 AM;4.69;94.480;29.230;36032.000;15.000
16.07.17;10:58:30 AM;4.94;94.470;29.230;36030.000;15.000
16.07.17;10:58:45 AM;5.19;94.270;29.260;36072.000;15.000
16.07.17;10:59:00 AM;5.44;94.540;29.230;36042.000;15.000
16.07.17;10:59:15 AM;5.69;94.300;29.250;36067.000;15.000
16.07.17;10:59:30 AM;5.94;94.640;29.210;36095.000;15.000
16.07.17;10:59:45 AM;6.19;94.370;29.250;36035.000;15.000
16.07.17;11:00:00 AM;6.44;94.490;29.230;36053.000;15.000
16.07.17;11:00:15 AM;6.69;94.260;29.260;36047.000;15.000
16.07.17;11:00:30 AM;6.94;94.310;29.250;36071.000;15.000
16.07.17;11:00:45 AM;7.19;94.060;29.280;36036.000;15.000
16.07.17;11:01:00 AM;7.44;94.080;29.280;36048.000;15.000
16.07.17;11:01:15 AM;7.69;94.380;29.240;36067.000;15.000
16.07.17;11:01:30 AM;7.94;94.650;29.210;36037.000;15.000
16.07.17;11:01:45 AM;8.19;94.330;29.250;36047.000;15.000
16.07.17;11:02:00 AM;8.44;94.190;29.270;36047.000;15.000
16.07.17;11:02:15 AM;8.69;93.960;29.290;36077.000;15.000
16.07.17;11:02:30 AM;8.94;93.920;29.300;36104.000;15.000
16.07.17;11:02:45 AM;9.19;94.140;29.270;36095.000;15.000
16.07.17;11:03:00 AM;9.44;94.340;29.250;36116.000;15.000
16.07.17;11:03:15 AM;9.69;94.210;29.260;36110.000;15.000
16.07.17;11:03:30 AM;9.94;94.170;29.270;36120.000;15.000
16.07.17;11:03:45 AM;10.19;94.100;29.280;36117.000;15.000
16.07.17;11:04:00 AM;10.44;94.200;29.270;36125.000;15.000
16.07.17;11:04:15 AM;10.69;93.590;29.340;36125.000;15.000
16.07.17;11:04:30 AM;10.94;94.100;29.280;36107.000;15.000
16.07.17;11:04:45 AM;11.19;94.030;29.290;36135.000;15.000
16.07.17;11:05:00 AM;11.44;94.170;29.270;36095.000;15.000
16.07.17;11:05:15 AM;11.69;93.990;29.290;36101.000;15.000
16.07.17;11:05:30 AM;11.94;94.000;29.290;36138.000;15.000
16.07.17;11:05:45 AM;12.19;93.920;29.300;36079.000;15.000
