16.07.17/10:53 AM SW ver:OXY10v3_33
Header Ch-5
Description: WWB3-15
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 100503
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
16.07.17;10:53:34 AM;0.00;94.100;29.280;43367.000;15.000
16.07.17;10:53:48 AM;0.22;94.050;29.280;43374.000;15.000
16.07.17;10:54:03 AM;0.47;94.010;29.290;43363.000;15.000
16.07.17;10:54:18 AM;0.72;94.050;29.280;43363.000;15.000
16.07.17;10:54:33 AM;0.97;94.070;29.280;43405.000;15.000
16.07.17;10:54:48 AM;1.22;94.310;29.250;43404.000;15.000
16.07.17;10:55:03 AM;1.47;94.260;29.260;43380.000;15.000
16.07.17;10:55:18 AM;1.72;94.100;29.280;43384.000;15.000
16.07.17;10:55:33 AM;1.97;94.180;29.270;43381.000;15.000
16.07.17;10:55:48 AM;2.22;94.060;29.280;43400.000;15.000
16.07.17;10:56:03 AM;2.47;93.690;29.330;43384.000;15.000
16.07.17;10:56:18 AM;2.72;93.920;29.300;43409.000;15.000
16.07.17;10:56:33 AM;2.97;93.760;29.320;43410.000;15.000
16.07.17;10:56:48 AM;3.22;93.670;29.330;43426.000;15.000
16.07.17;10:57:03 AM;3.47;93.840;29.310;43429.000;15.000
16.07.17;10:57:18 AM;3.72;93.720;29.320;43436.000;15.000
16.07.17;10:57:33 AM;3.97;93.670;29.330;43420.000;15.000
16.07.17;10:57:48 AM;4.22;93.760;29.320;43435.000;15.000
