16.07.17/9:43 AM SW ver:OXY10v3_33
Header Ch-4
Description: WWF1-18
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 95410
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
16.07.17;9:43:58 AM;0.00;95.150;28.580;34549.000;18.000
16.07.17;9:44:06 AM;0.14;94.880;28.610;34489.000;18.000
16.07.17;9:44:21 AM;0.39;95.170;28.580;34570.000;18.000
16.07.17;9:44:36 AM;0.64;94.770;28.630;34577.000;18.000
16.07.17;9:44:51 AM;0.89;95.520;28.540;34581.000;18.000
16.07.17;9:45:06 AM;1.14;94.500;28.660;34633.000;18.000
16.07.17;9:45:21 AM;1.39;94.830;28.620;34580.000;18.000
16.07.17;9:45:36 AM;1.64;94.500;28.660;34559.000;18.000
16.07.17;9:45:51 AM;1.89;94.330;28.680;34610.000;18.000
16.07.17;9:46:06 AM;2.14;95.390;28.550;34559.000;18.000
16.07.17;9:46:21 AM;2.39;94.770;28.630;34566.000;18.000
16.07.17;9:46:36 AM;2.64;94.680;28.640;34591.000;18.000
16.07.17;9:46:51 AM;2.89;94.350;28.670;34595.000;18.000
16.07.17;9:47:06 AM;3.14;94.600;28.650;34553.000;18.000
16.07.17;9:47:21 AM;3.39;94.820;28.620;34597.000;18.000
16.07.17;9:47:36 AM;3.64;94.700;28.630;34545.000;18.000
16.07.17;9:47:51 AM;3.89;94.100;28.700;34564.000;18.000
16.07.17;9:48:06 AM;4.14;93.980;28.720;34570.000;18.000
16.07.17;9:48:21 AM;4.39;94.240;28.690;34628.000;18.000
16.07.17;9:48:36 AM;4.64;94.320;28.680;34607.000;18.000
16.07.17;9:48:51 AM;4.89;94.640;28.640;34651.000;18.000
16.07.17;9:49:06 AM;5.14;94.050;28.710;34610.000;18.000
