16.07.17/9:16 AM SW ver:OXY10v3_33
Header Ch-9
Description: 
IDENTIFICATION
PHIboard number   : v1231481
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 09

PARAMETERS
Signal LED current: 050
Ref LED current   : 072
Ref LED amplitude : 103745
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 034700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 023000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
16.07.17;9:16:41 AM;0.00;94.470;28.660;36368.000;18.000
16.07.17;9:16:43 AM;0.03;94.210;28.690;36360.000;18.000
16.07.17;9:16:58 AM;0.28;94.140;28.700;36363.000;18.000
16.07.17;9:17:13 AM;0.53;94.550;28.650;36391.000;18.000
16.07.17;9:17:28 AM;0.78;94.290;28.680;36391.000;18.000
16.07.17;9:17:43 AM;1.03;94.280;28.680;36376.000;18.000
16.07.17;9:17:58 AM;1.28;93.940;28.720;36414.000;18.000
16.07.17;9:18:13 AM;1.53;94.450;28.660;36429.000;18.000
16.07.17;9:18:28 AM;1.78;94.290;28.680;36404.000;18.000
16.07.17;9:18:43 AM;2.03;94.140;28.700;36463.000;18.000
16.07.17;9:18:58 AM;2.28;94.320;28.680;36439.000;18.000
16.07.17;9:19:13 AM;2.53;94.390;28.670;36467.000;18.000
16.07.17;9:19:28 AM;2.78;94.460;28.660;36455.000;18.000
16.07.17;9:19:43 AM;3.03;94.310;28.680;36470.000;18.000
16.07.17;9:19:58 AM;3.28;94.260;28.690;36480.000;18.000
16.07.17;9:20:13 AM;3.53;94.220;28.690;36502.000;18.000
16.07.17;9:20:28 AM;3.78;93.850;28.730;36515.000;18.000
16.07.17;9:20:43 AM;4.03;94.230;28.690;36534.000;18.000
16.07.17;9:20:58 AM;4.28;93.770;28.740;36522.000;18.000
16.07.17;9:21:13 AM;4.53;94.010;28.710;36549.000;18.000
16.07.17;9:21:28 AM;4.78;93.980;28.720;36540.000;18.000
16.07.17;9:21:43 AM;5.03;93.890;28.730;36547.000;18.000
16.07.17;9:21:58 AM;5.28;93.670;28.750;36539.000;18.000
16.07.17;9:22:13 AM;5.53;93.850;28.730;36561.000;18.000
16.07.17;9:22:28 AM;5.78;93.540;28.770;36584.000;18.000
16.07.17;9:22:43 AM;6.03;93.630;28.760;36591.000;18.000
16.07.17;9:22:58 AM;6.28;93.360;28.790;36602.000;18.000
16.07.17;9:23:13 AM;6.53;93.620;28.760;36622.000;18.000
16.07.17;9:23:28 AM;6.78;93.530;28.770;36610.000;18.000
16.07.17;9:23:43 AM;7.03;93.910;28.730;36635.000;18.000
16.07.17;9:23:58 AM;7.28;93.370;28.790;36628.000;18.000
16.07.17;9:24:13 AM;7.53;93.550;28.770;36661.000;18.000
16.07.17;9:24:28 AM;7.78;93.460;28.780;36657.000;18.000
16.07.17;9:24:43 AM;8.03;92.910;28.840;36665.000;18.000
16.07.17;9:24:58 AM;8.28;93.300;28.800;36625.000;18.000
16.07.17;9:25:13 AM;8.53;93.190;28.810;36662.000;18.000
16.07.17;9:25:28 AM;8.78;93.520;28.770;36679.000;18.000
16.07.17;9:25:43 AM;9.03;93.690;28.750;36684.000;18.000
16.07.17;9:25:58 AM;9.28;93.390;28.790;36676.000;18.000
16.07.17;9:26:13 AM;9.53;93.110;28.820;36692.000;18.000
16.07.17;9:26:28 AM;9.78;93.180;28.810;36706.000;18.000
16.07.17;9:26:43 AM;10.03;92.970;28.840;36712.000;18.000
16.07.17;9:26:58 AM;10.28;93.420;28.780;36688.000;18.000
16.07.17;9:27:13 AM;10.53;92.820;28.850;36696.000;18.000
16.07.17;9:27:28 AM;10.78;93.120;28.820;36763.000;18.000
16.07.17;9:27:43 AM;11.03;92.990;28.830;36750.000;18.000
16.07.17;9:27:58 AM;11.28;92.810;28.850;36761.000;18.000
16.07.17;9:28:13 AM;11.53;92.710;28.870;36771.000;18.000
16.07.17;9:28:28 AM;11.78;92.760;28.860;36761.000;18.000
16.07.17;9:28:43 AM;12.03;92.540;28.890;36775.000;18.000
16.07.17;9:28:58 AM;12.28;92.690;28.870;36790.000;18.000
16.07.17;9:29:13 AM;12.53;92.310;28.910;36805.000;18.000
16.07.17;9:29:28 AM;12.78;92.370;28.910;36826.000;18.000
16.07.17;9:29:43 AM;13.03;92.140;28.930;36792.000;18.000
16.07.17;9:29:58 AM;13.28;92.300;28.920;36831.000;18.000
16.07.17;9:30:13 AM;13.53;92.180;28.930;36827.000;18.000
16.07.17;9:30:28 AM;13.78;92.180;28.930;36831.000;18.000
