16.07.17/4:28 PM SW ver:OXY10v3_33
Header Ch-10
Description: TWL4-6
IDENTIFICATION
PHIboard number   : v1231482
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 10

PARAMETERS
Signal LED current: 050
Ref LED current   : 068
Ref LED amplitude : 98357
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 045200
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
16.07.17;4:28:20 PM;0.00;95.380;30.960;47805.000;6.000
16.07.17;4:28:25 PM;0.09;95.450;30.950;47817.000;6.000
16.07.17;4:28:40 PM;0.34;95.150;30.990;47815.000;6.000
16.07.17;4:28:55 PM;0.59;95.170;30.980;47760.000;6.000
16.07.17;4:29:10 PM;0.84;95.720;30.920;47785.000;6.000
16.07.17;4:29:25 PM;1.09;95.220;30.980;47798.000;6.000
16.07.17;4:29:40 PM;1.34;95.400;30.960;47779.000;6.000
16.07.17;4:29:55 PM;1.59;95.240;30.980;47802.000;6.000
16.07.17;4:30:10 PM;1.84;95.150;30.990;47772.000;6.000
16.07.17;4:30:25 PM;2.09;95.250;30.970;47826.000;6.000
16.07.17;4:30:40 PM;2.34;95.330;30.970;47811.000;6.000
16.07.17;4:30:55 PM;2.59;95.380;30.960;47821.000;6.000
16.07.17;4:31:10 PM;2.84;95.270;30.970;47803.000;6.000
16.07.17;4:31:25 PM;3.09;95.140;30.990;47793.000;6.000
16.07.17;4:31:40 PM;3.34;95.170;30.980;47812.000;6.000
16.07.17;4:31:55 PM;3.59;95.110;30.990;47818.000;6.000
16.07.17;4:32:10 PM;3.84;95.500;30.940;47811.000;6.000
16.07.17;4:32:25 PM;4.09;95.300;30.970;47842.000;6.000
16.07.17;4:32:40 PM;4.34;95.150;30.990;47835.000;6.000
16.07.17;4:32:55 PM;4.59;95.350;30.960;47823.000;6.000
16.07.17;4:33:10 PM;4.84;95.230;30.980;47833.000;6.000
16.07.17;4:33:25 PM;5.09;95.090;30.990;47820.000;6.000
16.07.17;4:33:40 PM;5.34;95.500;30.940;47806.000;6.000
16.07.17;4:33:55 PM;5.59;95.240;30.980;47797.000;6.000
16.07.17;4:34:10 PM;5.84;95.500;30.940;47805.000;6.000
16.07.17;4:34:25 PM;6.09;95.750;30.920;47803.000;6.000
16.07.17;4:34:40 PM;6.34;95.250;30.970;47816.000;6.000
16.07.17;4:34:55 PM;6.59;95.150;30.990;47777.000;6.000
16.07.17;4:35:10 PM;6.84;95.460;30.950;47818.000;6.000
16.07.17;4:35:25 PM;7.09;95.440;30.950;47776.000;6.000
16.07.17;4:35:40 PM;7.34;94.910;31.020;47795.000;6.000
16.07.17;4:35:55 PM;7.59;95.500;30.940;47789.000;6.000
16.07.17;4:36:10 PM;7.84;95.120;30.990;47806.000;6.000
16.07.17;4:36:25 PM;8.09;95.700;30.920;47801.000;6.000
16.07.17;4:36:40 PM;8.34;95.360;30.960;47792.000;6.000
16.07.17;4:36:55 PM;8.59;95.480;30.950;47804.000;6.000
16.07.17;4:37:10 PM;8.84;95.420;30.950;47802.000;6.000
16.07.17;4:37:25 PM;9.09;95.360;30.960;47807.000;6.000
16.07.17;4:37:40 PM;9.34;95.340;30.960;47795.000;6.000
16.07.17;4:37:55 PM;9.59;94.930;31.010;47836.000;6.000
16.07.17;4:38:10 PM;9.84;95.250;30.970;47818.000;6.000
16.07.17;4:38:25 PM;10.09;95.320;30.970;47808.000;6.000
16.07.17;4:38:40 PM;10.34;95.400;30.960;47792.000;6.000
16.07.17;4:38:55 PM;10.59;95.200;30.980;47816.000;6.000
16.07.17;4:39:10 PM;10.84;95.140;30.990;47812.000;6.000
16.07.17;4:39:25 PM;11.09;95.510;30.940;47843.000;6.000
16.07.17;4:39:40 PM;11.34;95.070;31.000;47833.000;6.000
16.07.17;4:39:55 PM;11.59;95.520;30.940;47801.000;6.000
16.07.17;4:40:10 PM;11.84;95.140;30.990;47822.000;6.000
16.07.17;4:40:25 PM;12.09;95.340;30.960;47837.000;6.000
16.07.17;4:40:40 PM;12.34;95.400;30.960;47818.000;6.000
16.07.17;4:40:55 PM;12.59;95.130;30.990;47812.000;6.000
16.07.17;4:41:10 PM;12.84;95.010;31.000;47804.000;6.000
16.07.17;4:41:25 PM;13.09;95.290;30.970;47834.000;6.000
16.07.17;4:41:40 PM;13.34;95.140;30.990;47823.000;6.000
16.07.17;4:41:55 PM;13.59;95.310;30.970;47824.000;6.000
16.07.17;4:42:10 PM;13.84;94.930;31.010;47795.000;6.000
16.07.17;4:42:25 PM;14.09;95.400;30.960;47792.000;6.000
16.07.17;4:42:40 PM;14.34;95.500;30.950;47807.000;6.000
16.07.17;4:42:55 PM;14.59;95.270;30.970;47823.000;6.000
16.07.17;4:43:10 PM;14.84;95.090;30.990;47817.000;6.000
16.07.17;4:43:25 PM;15.09;95.580;30.940;47839.000;6.000
16.07.17;4:43:40 PM;15.34;95.290;30.970;47792.000;6.000
16.07.17;4:43:55 PM;15.59;95.340;30.960;47814.000;6.000
16.07.17;4:44:10 PM;15.84;95.440;30.950;47808.000;6.000
16.07.17;4:44:25 PM;16.09;95.220;30.980;47813.000;6.000
16.07.17;4:44:40 PM;16.34;95.400;30.960;47821.000;6.000
16.07.17;4:44:55 PM;16.59;95.090;30.990;47857.000;6.000
16.07.17;4:45:10 PM;16.84;95.360;30.960;47841.000;6.000
16.07.17;4:45:25 PM;17.09;95.270;30.970;47831.000;6.000
16.07.17;4:45:40 PM;17.34;95.240;30.980;47833.000;6.000
