16.07.17/4:28 PM SW ver:OXY10v3_33
Header Ch-4
Description: WWF1-6
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 95410
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
16.07.17;4:28:17 PM;0.00;94.180;31.100;41119.000;6.000
16.07.17;4:28:28 PM;0.19;94.190;31.100;41105.000;6.000
16.07.17;4:28:43 PM;0.44;94.500;31.070;41128.000;6.000
16.07.17;4:28:58 PM;0.69;94.620;31.050;41122.000;6.000
16.07.17;4:29:13 PM;0.94;94.320;31.090;41135.000;6.000
16.07.17;4:29:28 PM;1.19;94.120;31.110;41164.000;6.000
16.07.17;4:29:43 PM;1.44;94.350;31.080;41158.000;6.000
16.07.17;4:29:58 PM;1.69;94.180;31.100;41155.000;6.000
16.07.17;4:30:13 PM;1.94;93.730;31.160;41140.000;6.000
16.07.17;4:30:28 PM;2.19;93.950;31.130;41149.000;6.000
16.07.17;4:30:43 PM;2.44;94.380;31.080;41146.000;6.000
16.07.17;4:30:58 PM;2.69;93.910;31.140;41128.000;6.000
16.07.17;4:31:13 PM;2.94;93.860;31.140;41166.000;6.000
16.07.17;4:31:28 PM;3.19;94.030;31.120;41147.000;6.000
16.07.17;4:31:43 PM;3.44;94.010;31.120;41155.000;6.000
16.07.17;4:31:58 PM;3.69;94.340;31.080;41165.000;6.000
16.07.17;4:32:13 PM;3.94;94.140;31.110;41199.000;6.000
16.07.17;4:32:28 PM;4.19;93.850;31.140;41179.000;6.000
16.07.17;4:32:43 PM;4.44;94.020;31.120;41178.000;6.000
16.07.17;4:32:58 PM;4.69;94.170;31.110;41154.000;6.000
16.07.17;4:33:13 PM;4.94;94.060;31.120;41141.000;6.000
16.07.17;4:33:28 PM;5.19;93.860;31.140;41145.000;6.000
