16.07.17/3:08 PM SW ver:OXY10v3_33
Header Ch-3
Description: WBP1-9
IDENTIFICATION
PHIboard number   : v1231475
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 100629
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 030000
100.00%a.s.phase 2: 27.68 at 020.0°C amp 033000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
16.07.17;3:08:23 PM;0.00;94.820;30.400;31225.000;9.000
16.07.17;3:08:38 PM;0.25;95.210;30.350;31134.000;9.000
16.07.17;3:08:53 PM;0.50;94.600;30.420;31138.000;9.000
16.07.17;3:09:08 PM;0.75;94.330;30.450;31167.000;9.000
16.07.17;3:09:23 PM;1.00;95.010;30.370;31145.000;9.000
16.07.17;3:09:38 PM;1.25;95.100;30.360;31181.000;9.000
16.07.17;3:09:53 PM;1.50;94.680;30.410;31179.000;9.000
16.07.17;3:10:08 PM;1.75;94.800;30.400;31174.000;9.000
16.07.17;3:10:23 PM;2.00;94.910;30.380;31151.000;9.000
16.07.17;3:10:38 PM;2.25;95.040;30.370;31137.000;9.000
16.07.17;3:10:53 PM;2.50;94.830;30.390;31164.000;9.000
16.07.17;3:11:08 PM;2.75;94.110;30.480;31168.000;9.000
16.07.17;3:11:23 PM;3.00;94.500;30.430;31179.000;9.000
16.07.17;3:11:38 PM;3.25;95.030;30.370;31193.000;9.000
16.07.17;3:11:53 PM;3.50;94.860;30.390;31158.000;9.000
16.07.17;3:12:08 PM;3.75;95.700;30.290;31187.000;9.000
16.07.17;3:12:23 PM;4.00;95.440;30.320;31180.000;9.000
16.07.17;3:12:38 PM;4.25;94.640;30.420;31147.000;9.000
16.07.17;3:12:53 PM;4.50;95.320;30.340;31192.000;9.000
16.07.17;3:13:08 PM;4.75;94.590;30.420;31149.000;9.000
16.07.17;3:13:23 PM;5.00;94.590;30.420;31192.000;9.000
16.07.17;3:13:38 PM;5.25;94.800;30.400;31155.000;9.000
16.07.17;3:13:53 PM;5.50;95.330;30.340;31165.000;9.000
16.07.17;3:14:08 PM;5.75;94.260;30.460;31131.000;9.000
16.07.17;3:14:23 PM;6.00;94.490;30.440;31112.000;9.000
16.07.17;3:14:38 PM;6.25;94.590;30.420;31119.000;9.000
16.07.17;3:14:53 PM;6.50;94.900;30.390;31139.000;9.000
16.07.17;3:15:08 PM;6.75;95.340;30.330;31162.000;9.000
16.07.17;3:15:23 PM;7.00;95.520;30.310;31112.000;9.000
16.07.17;3:15:38 PM;7.25;94.440;30.440;31192.000;9.000
16.07.17;3:15:53 PM;7.50;95.060;30.370;31167.000;9.000
16.07.17;3:16:08 PM;7.75;94.670;30.410;31181.000;9.000
16.07.17;3:16:23 PM;8.00;94.800;30.400;31182.000;9.000
16.07.17;3:16:38 PM;8.25;95.010;30.370;31172.000;9.000
16.07.17;3:16:53 PM;8.50;94.430;30.440;31185.000;9.000
16.07.17;3:17:08 PM;8.75;94.580;30.420;31207.000;9.000
16.07.17;3:17:23 PM;9.00;94.560;30.430;31210.000;9.000
16.07.17;3:17:38 PM;9.25;94.600;30.420;31153.000;9.000
16.07.17;3:17:53 PM;9.50;94.750;30.400;31206.000;9.000
16.07.17;3:18:08 PM;9.75;94.710;30.410;31191.000;9.000
16.07.17;3:18:23 PM;10.00;94.750;30.400;31141.000;9.000
16.07.17;3:18:38 PM;10.25;94.540;30.430;31218.000;9.000
16.07.17;3:18:53 PM;10.50;94.730;30.410;31223.000;9.000
16.07.17;3:19:08 PM;10.75;94.490;30.440;31194.000;9.000
16.07.17;3:19:23 PM;11.00;94.920;30.380;31211.000;9.000
