16.07.17/3:08 PM SW ver:OXY10v3_33
Header Ch-4
Description: WWF1-9
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 95410
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
16.07.17;3:08:25 PM;0.00;94.240;30.460;39994.000;9.000
16.07.17;3:08:40 PM;0.25;94.560;30.430;40022.000;9.000
16.07.17;3:08:55 PM;0.50;95.220;30.350;39997.000;9.000
16.07.17;3:09:10 PM;0.75;94.530;30.430;40024.000;9.000
16.07.17;3:09:25 PM;1.00;94.480;30.440;40022.000;9.000
16.07.17;3:09:40 PM;1.25;94.270;30.460;39986.000;9.000
16.07.17;3:09:55 PM;1.50;94.470;30.440;40044.000;9.000
16.07.17;3:10:10 PM;1.75;94.800;30.400;39990.000;9.000
16.07.17;3:10:25 PM;2.00;94.770;30.400;40005.000;9.000
16.07.17;3:10:40 PM;2.25;94.370;30.450;39991.000;9.000
16.07.17;3:10:55 PM;2.50;94.490;30.440;40036.000;9.000
16.07.17;3:11:10 PM;2.75;94.200;30.470;39989.000;9.000
16.07.17;3:11:25 PM;3.00;94.840;30.390;40010.000;9.000
16.07.17;3:11:40 PM;3.25;94.230;30.470;40019.000;9.000
16.07.17;3:11:55 PM;3.50;94.540;30.430;40064.000;9.000
16.07.17;3:12:10 PM;3.75;94.530;30.430;40006.000;9.000
16.07.17;3:12:25 PM;4.00;93.990;30.490;40044.000;9.000
16.07.17;3:12:40 PM;4.25;94.410;30.440;40008.000;9.000
16.07.17;3:12:55 PM;4.50;94.440;30.440;40036.000;9.000
16.07.17;3:13:10 PM;4.75;94.390;30.450;40014.000;9.000
16.07.17;3:13:25 PM;5.00;94.640;30.420;39968.000;9.000
16.07.17;3:13:40 PM;5.25;94.940;30.380;39967.000;9.000
16.07.17;3:13:55 PM;5.50;94.120;30.480;39950.000;9.000
16.07.17;3:14:10 PM;5.75;94.470;30.440;39971.000;9.000
16.07.17;3:14:25 PM;6.00;94.320;30.460;39985.000;9.000
16.07.17;3:14:40 PM;6.25;94.650;30.420;39942.000;9.000
16.07.17;3:14:55 PM;6.50;94.820;30.400;39993.000;9.000
16.07.17;3:15:10 PM;6.75;94.710;30.410;39980.000;9.000
16.07.17;3:15:25 PM;7.00;94.310;30.460;40017.000;9.000
16.07.17;3:15:40 PM;7.25;94.800;30.400;40015.000;9.000
16.07.17;3:15:55 PM;7.50;94.550;30.430;39970.000;9.000
16.07.17;3:16:10 PM;7.75;94.490;30.430;40024.000;9.000
16.07.17;3:16:25 PM;8.00;94.040;30.490;39982.000;9.000
16.07.17;3:16:40 PM;8.25;94.190;30.470;40066.000;9.000
16.07.17;3:16:55 PM;8.50;94.540;30.430;40052.000;9.000
16.07.17;3:17:10 PM;8.75;94.240;30.470;40025.000;9.000
16.07.17;3:17:25 PM;9.00;94.550;30.430;39983.000;9.000
16.07.17;3:17:40 PM;9.25;94.690;30.410;40020.000;9.000
16.07.17;3:17:55 PM;9.50;94.260;30.460;39998.000;9.000
16.07.17;3:18:10 PM;9.75;94.480;30.440;40018.000;9.000
16.07.17;3:18:25 PM;10.00;94.630;30.420;40052.000;9.000
16.07.17;3:18:40 PM;10.25;94.430;30.440;40048.000;9.000
16.07.17;3:18:55 PM;10.50;94.480;30.440;40071.000;9.000
16.07.17;3:19:10 PM;10.75;94.310;30.460;40069.000;9.000
16.07.17;3:19:25 PM;11.00;93.580;30.540;40095.000;9.000
16.07.17;3:19:40 PM;11.25;94.360;30.450;40028.000;9.000
16.07.17;3:19:55 PM;11.50;94.170;30.470;40071.000;9.000
16.07.17;3:20:10 PM;11.75;94.400;30.450;40065.000;9.000
16.07.17;3:20:25 PM;12.00;94.240;30.460;40061.000;9.000
16.07.17;3:20:40 PM;12.25;94.300;30.460;40074.000;9.000
16.07.17;3:20:55 PM;12.50;94.590;30.420;40042.000;9.000
16.07.17;3:21:10 PM;12.75;94.450;30.440;40081.000;9.000
16.07.17;3:21:25 PM;13.00;94.120;30.480;40085.000;9.000
16.07.17;3:21:40 PM;13.25;94.230;30.470;40052.000;9.000
16.07.17;3:21:55 PM;13.50;94.230;30.470;40036.000;9.000
16.07.17;3:22:10 PM;13.75;94.520;30.430;40070.000;9.000
16.07.17;3:22:25 PM;14.00;94.340;30.450;40061.000;9.000
16.07.17;3:22:40 PM;14.25;93.820;30.520;40106.000;9.000
16.07.17;3:22:55 PM;14.50;94.040;30.490;40101.000;9.000
16.07.17;3:23:10 PM;14.75;94.060;30.490;40087.000;9.000
16.07.17;3:23:25 PM;15.00;94.000;30.490;40105.000;9.000
16.07.17;3:23:40 PM;15.25;93.930;30.500;40114.000;9.000
16.07.17;3:23:55 PM;15.50;94.720;30.410;40118.000;9.000
16.07.17;3:24:10 PM;15.75;94.310;30.460;40080.000;9.000
16.07.17;3:24:25 PM;16.00;94.250;30.460;40143.000;9.000
16.07.17;3:24:40 PM;16.25;93.420;30.560;40115.000;9.000
16.07.17;3:24:55 PM;16.50;94.240;30.470;40128.000;9.000
16.07.17;3:25:10 PM;16.75;94.180;30.470;40107.000;9.000
16.07.17;3:25:25 PM;17.00;94.000;30.490;40099.000;9.000
16.07.17;3:25:40 PM;17.25;94.820;30.400;40137.000;9.000
16.07.17;3:25:55 PM;17.50;94.180;30.470;40051.000;9.000
16.07.17;3:26:10 PM;17.75;94.270;30.460;40156.000;9.000
16.07.17;3:26:25 PM;18.00;94.190;30.470;40080.000;9.000
16.07.17;3:26:40 PM;18.25;94.290;30.460;40092.000;9.000
16.07.17;3:26:55 PM;18.50;94.180;30.470;40093.000;9.000
16.07.17;3:27:10 PM;18.75;93.740;30.530;40125.000;9.000
16.07.17;3:27:25 PM;19.00;94.190;30.470;40080.000;9.000
16.07.17;3:27:40 PM;19.25;94.160;30.470;40112.000;9.000
16.07.17;3:27:55 PM;19.50;93.620;30.540;40111.000;9.000
16.07.17;3:28:10 PM;19.75;93.630;30.540;40140.000;9.000
16.07.17;3:28:25 PM;20.00;94.420;30.440;40131.000;9.000
16.07.17;3:28:40 PM;20.25;93.610;30.540;40122.000;9.000
16.07.17;3:28:55 PM;20.50;93.930;30.500;40150.000;9.000
16.07.17;3:29:10 PM;20.75;93.960;30.500;40120.000;9.000
16.07.17;3:29:25 PM;21.00;93.640;30.540;40163.000;9.000
16.07.17;3:29:40 PM;21.25;94.270;30.460;40115.000;9.000
16.07.17;3:29:55 PM;21.50;94.140;30.480;40134.000;9.000
16.07.17;3:30:10 PM;21.75;94.390;30.450;40159.000;9.000
