17.07.17/8:58 AM SW ver:OXY10v3_33
Header Ch-4
Description: WBF4-18
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 98138
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
17.07.17;8:58:07 AM;0.00;95.190;28.580;36734.000;18.000
17.07.17;8:58:19 AM;0.20;94.860;28.620;36733.000;18.000
17.07.17;8:58:34 AM;0.45;94.340;28.680;36692.000;18.000
17.07.17;8:58:49 AM;0.70;94.530;28.650;36702.000;18.000
17.07.17;8:59:04 AM;0.95;93.890;28.730;36673.000;18.000
17.07.17;8:59:19 AM;1.20;94.620;28.640;36734.000;18.000
17.07.17;8:59:34 AM;1.45;94.460;28.660;36710.000;18.000
17.07.17;8:59:49 AM;1.70;93.940;28.720;36706.000;18.000
17.07.17;9:00:04 AM;1.95;94.420;28.670;36729.000;18.000
17.07.17;9:00:19 AM;2.20;94.480;28.660;36703.000;18.000
17.07.17;9:00:34 AM;2.45;94.520;28.650;36707.000;18.000
17.07.17;9:00:49 AM;2.70;94.350;28.670;36721.000;18.000
17.07.17;9:01:04 AM;2.95;94.230;28.690;36722.000;18.000
17.07.17;9:01:19 AM;3.20;94.570;28.650;36715.000;18.000
17.07.17;9:01:34 AM;3.45;94.740;28.630;36707.000;18.000
17.07.17;9:01:49 AM;3.70;94.600;28.650;36721.000;18.000
17.07.17;9:02:04 AM;3.95;93.850;28.730;36710.000;18.000
17.07.17;9:02:19 AM;4.20;93.950;28.720;36704.000;18.000
17.07.17;9:02:34 AM;4.45;94.180;28.690;36713.000;18.000
17.07.17;9:02:49 AM;4.70;94.080;28.710;36730.000;18.000
17.07.17;9:03:04 AM;4.95;94.380;28.670;36699.000;18.000
17.07.17;9:03:19 AM;5.20;94.260;28.680;36696.000;18.000
17.07.17;9:03:34 AM;5.45;94.300;28.680;36697.000;18.000
17.07.17;9:03:49 AM;5.70;93.690;28.750;36699.000;18.000
17.07.17;9:04:04 AM;5.95;94.190;28.690;36710.000;18.000
17.07.17;9:04:19 AM;6.20;94.840;28.620;36658.000;18.000
17.07.17;9:04:34 AM;6.45;94.700;28.630;36720.000;18.000
17.07.17;9:04:49 AM;6.70;94.480;28.660;36701.000;18.000
17.07.17;9:05:04 AM;6.95;94.510;28.660;36693.000;18.000
17.07.17;9:05:19 AM;7.20;94.070;28.710;36681.000;18.000
17.07.17;9:05:34 AM;7.45;94.550;28.650;36697.000;18.000
17.07.17;9:05:49 AM;7.70;94.130;28.700;36669.000;18.000
17.07.17;9:06:04 AM;7.95;94.310;28.680;36694.000;18.000
17.07.17;9:06:19 AM;8.20;94.690;28.640;36711.000;18.000
17.07.17;9:06:34 AM;8.45;94.280;28.680;36715.000;18.000
17.07.17;9:06:49 AM;8.70;94.100;28.700;36658.000;18.000
17.07.17;9:07:04 AM;8.95;94.170;28.700;36715.000;18.000
17.07.17;9:07:19 AM;9.20;93.950;28.720;36678.000;18.000
17.07.17;9:07:34 AM;9.45;94.140;28.700;36698.000;18.000
17.07.17;9:07:49 AM;9.70;94.610;28.640;36673.000;18.000
17.07.17;9:08:04 AM;9.95;94.120;28.700;36679.000;18.000
17.07.17;9:08:19 AM;10.20;93.850;28.730;36684.000;18.000
17.07.17;9:08:34 AM;10.45;93.770;28.740;36670.000;18.000
17.07.17;9:08:49 AM;10.70;94.260;28.680;36693.000;18.000
17.07.17;9:09:04 AM;10.95;94.150;28.700;36711.000;18.000
17.07.17;9:09:19 AM;11.20;94.080;28.710;36700.000;18.000
17.07.17;9:09:34 AM;11.45;94.390;28.670;36681.000;18.000
17.07.17;9:09:49 AM;11.70;93.970;28.720;36699.000;18.000
17.07.17;9:10:04 AM;11.95;94.510;28.660;36696.000;18.000
17.07.17;9:10:19 AM;12.20;94.000;28.720;36688.000;18.000
17.07.17;9:10:34 AM;12.45;93.920;28.720;36694.000;18.000
17.07.17;9:10:49 AM;12.70;94.150;28.700;36703.000;18.000
17.07.17;9:11:04 AM;12.95;94.120;28.700;36663.000;18.000
17.07.17;9:11:19 AM;13.20;94.250;28.690;36682.000;18.000
17.07.17;9:11:34 AM;13.45;94.640;28.640;36665.000;18.000
17.07.17;9:11:49 AM;13.70;94.720;28.630;36681.000;18.000
17.07.17;9:12:04 AM;13.95;93.740;28.750;36632.000;18.000
17.07.17;9:12:19 AM;14.20;93.800;28.740;36647.000;18.000
17.07.17;9:12:34 AM;14.45;93.660;28.750;36683.000;18.000
17.07.17;9:12:49 AM;14.70;93.830;28.740;36685.000;18.000
17.07.17;9:13:04 AM;14.95;94.670;28.640;36686.000;18.000
17.07.17;9:13:19 AM;15.20;94.140;28.700;36680.000;18.000
17.07.17;9:13:34 AM;15.45;93.100;28.820;36691.000;18.000
17.07.17;9:13:49 AM;15.70;94.180;28.690;36667.000;18.000
17.07.17;9:14:04 AM;15.95;93.220;28.810;36675.000;18.000
17.07.17;9:14:19 AM;16.20;93.920;28.720;36664.000;18.000
17.07.17;9:14:34 AM;16.45;93.070;28.820;36684.000;18.000
