17.07.17/10:38 AM SW ver:OXY10v3_33
Header Ch-8
Description: WWC2-22
IDENTIFICATION
PHIboard number   : v1231480
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 08

PARAMETERS
Signal LED current: 050
Ref LED current   : 071
Ref LED amplitude : 101543
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 038800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 025100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
17.07.17;10:38:55 AM;0.00;95.000;27.860;28907.000;22.000
17.07.17;10:39:10 AM;0.24;94.780;27.890;28934.000;22.000
17.07.17;10:39:25 AM;0.49;94.720;27.890;28907.000;22.000
17.07.17;10:39:40 AM;0.74;94.870;27.880;28874.000;22.000
17.07.17;10:39:55 AM;0.99;94.610;27.910;28903.000;22.000
17.07.17;10:40:10 AM;1.24;94.770;27.890;28882.000;22.000
17.07.17;10:40:25 AM;1.49;94.530;27.920;28880.000;22.000
17.07.17;10:40:40 AM;1.74;94.770;27.890;28912.000;22.000
17.07.17;10:40:55 AM;1.99;94.050;27.970;28931.000;22.000
17.07.17;10:41:10 AM;2.24;95.450;27.810;28921.000;22.000
17.07.17;10:41:25 AM;2.49;94.620;27.910;28894.000;22.000
17.07.17;10:41:40 AM;2.74;95.150;27.850;28905.000;22.000
17.07.17;10:41:55 AM;2.99;94.530;27.920;28900.000;22.000
17.07.17;10:42:10 AM;3.25;95.220;27.840;28912.000;22.000
17.07.17;10:42:25 AM;3.49;94.360;27.940;28919.000;22.000
17.07.17;10:42:40 AM;3.74;94.540;27.920;28913.000;22.000
17.07.17;10:42:55 AM;3.99;95.730;27.780;28947.000;22.000
17.07.17;10:43:10 AM;4.24;95.660;27.790;28917.000;22.000
17.07.17;10:43:25 AM;4.49;94.270;27.950;28899.000;22.000
17.07.17;10:43:40 AM;4.75;94.670;27.900;28914.000;22.000
17.07.17;10:43:55 AM;4.99;94.710;27.900;28964.000;22.000
17.07.17;10:44:10 AM;5.25;94.750;27.890;28897.000;22.000
17.07.17;10:44:25 AM;5.49;94.410;27.930;28915.000;22.000
17.07.17;10:44:40 AM;5.74;94.210;27.950;28955.000;22.000
17.07.17;10:44:55 AM;5.99;94.130;27.960;28936.000;22.000
17.07.17;10:45:10 AM;6.24;94.670;27.900;28894.000;22.000
17.07.17;10:45:25 AM;6.49;95.250;27.830;28924.000;22.000
17.07.17;10:45:40 AM;6.74;94.420;27.930;28925.000;22.000
17.07.17;10:45:55 AM;6.99;94.870;27.880;28924.000;22.000
17.07.17;10:46:10 AM;7.24;94.700;27.900;28911.000;22.000
17.07.17;10:46:25 AM;7.50;95.070;27.850;28915.000;22.000
17.07.17;10:46:40 AM;7.74;94.660;27.900;28895.000;22.000
17.07.17;10:46:55 AM;7.99;94.600;27.910;28926.000;22.000
17.07.17;10:47:10 AM;8.24;95.190;27.840;28972.000;22.000
17.07.17;10:47:25 AM;8.49;94.600;27.910;28933.000;22.000
17.07.17;10:47:40 AM;8.74;94.760;27.890;28923.000;22.000
17.07.17;10:47:55 AM;8.99;94.100;27.970;28910.000;22.000
17.07.17;10:48:10 AM;9.24;94.400;27.930;28923.000;22.000
17.07.17;10:48:25 AM;9.49;94.770;27.890;28981.000;22.000
17.07.17;10:48:40 AM;9.74;94.500;27.920;28949.000;22.000
17.07.17;10:48:55 AM;9.99;94.290;27.940;28995.000;22.000
17.07.17;10:49:10 AM;10.24;94.230;27.950;28970.000;22.000
17.07.17;10:49:25 AM;10.49;94.710;27.900;28962.000;22.000
17.07.17;10:49:40 AM;10.74;94.150;27.960;28988.000;22.000
17.07.17;10:49:55 AM;10.99;94.200;27.950;28900.000;22.000
17.07.17;10:50:10 AM;11.25;94.610;27.910;28964.000;22.000
17.07.17;10:50:25 AM;11.49;94.440;27.930;28959.000;22.000
17.07.17;10:50:40 AM;11.74;94.460;27.920;28979.000;22.000
17.07.17;10:50:55 AM;11.99;93.880;27.990;28971.000;22.000
17.07.17;10:51:10 AM;12.24;94.770;27.890;28994.000;22.000
17.07.17;10:51:25 AM;12.49;94.510;27.920;29021.000;22.000
17.07.17;10:51:40 AM;12.74;95.090;27.850;28977.000;22.000
17.07.17;10:51:55 AM;12.99;93.780;28.000;28986.000;22.000
17.07.17;10:52:10 AM;13.24;94.410;27.930;28958.000;22.000
17.07.17;10:52:25 AM;13.50;94.330;27.940;28970.000;22.000
17.07.17;10:52:40 AM;13.74;94.120;27.960;28960.000;22.000
17.07.17;10:52:55 AM;13.99;93.490;28.040;29004.000;22.000
17.07.17;10:53:10 AM;14.24;94.490;27.920;29019.000;22.000
17.07.17;10:53:25 AM;14.49;94.270;27.950;28987.000;22.000
17.07.17;10:53:40 AM;14.74;94.180;27.960;28981.000;22.000
17.07.17;10:53:55 AM;14.99;93.890;27.990;28974.000;22.000
17.07.17;10:54:10 AM;15.24;94.290;27.940;29019.000;22.000
17.07.17;10:54:25 AM;15.49;94.080;27.970;29005.000;22.000
17.07.17;10:54:40 AM;15.74;94.300;27.940;28959.000;22.000
17.07.17;10:54:55 AM;15.99;94.620;27.910;28958.000;22.000
17.07.17;10:55:10 AM;16.24;93.830;28.000;28993.000;22.000
17.07.17;10:55:25 AM;16.49;93.990;27.980;28966.000;22.000
17.07.17;10:55:40 AM;16.74;93.440;28.040;29013.000;22.000
17.07.17;10:55:55 AM;16.99;93.560;28.030;29006.000;22.000
17.07.17;10:56:10 AM;17.24;94.260;27.950;29002.000;22.000
17.07.17;10:56:25 AM;17.49;95.010;27.860;29020.000;22.000
17.07.17;10:56:40 AM;17.74;94.320;27.940;29032.000;22.000
17.07.17;10:56:55 AM;17.99;94.620;27.910;28953.000;22.000
17.07.17;10:57:10 AM;18.24;94.030;27.970;29013.000;22.000
17.07.17;10:57:25 AM;18.49;93.920;27.990;28990.000;22.000
17.07.17;10:57:40 AM;18.74;93.920;27.990;28968.000;22.000
17.07.17;10:57:55 AM;18.99;93.390;28.050;29018.000;22.000
17.07.17;10:58:10 AM;19.24;93.780;28.000;29023.000;22.000
17.07.17;10:58:25 AM;19.49;94.170;27.960;29028.000;22.000
17.07.17;10:58:40 AM;19.74;94.030;27.970;29000.000;22.000
17.07.17;10:58:55 AM;19.99;93.760;28.000;29047.000;22.000
17.07.17;10:59:10 AM;20.24;93.740;28.010;29032.000;22.000
17.07.17;10:59:25 AM;20.49;93.350;28.050;29050.000;22.000
17.07.17;10:59:40 AM;20.74;94.390;27.930;29027.000;22.000
17.07.17;10:59:55 AM;20.99;94.720;27.890;29023.000;22.000
17.07.17;11:00:10 AM;21.24;94.500;27.920;29024.000;22.000
17.07.17;11:00:25 AM;21.49;94.180;27.960;29056.000;22.000
17.07.17;11:00:40 AM;21.74;93.830;28.000;29074.000;22.000
17.07.17;11:00:55 AM;22.00;94.740;27.890;29069.000;22.000
17.07.17;11:01:10 AM;22.24;94.050;27.970;29061.000;22.000
17.07.17;11:01:25 AM;22.49;94.110;27.960;29041.000;22.000
17.07.17;11:01:40 AM;22.74;93.640;28.020;29064.000;22.000
17.07.17;11:01:55 AM;22.99;93.440;28.040;29080.000;22.000
