17.07.17/10:05 AM SW ver:OXY10v3_33
Header Ch-8
Description: WWC2-22
IDENTIFICATION
PHIboard number   : v1231480
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 08

PARAMETERS
Signal LED current: 050
Ref LED current   : 071
Ref LED amplitude : 101543
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 038800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 025100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
17.07.17;10:05:45 AM;0.00;95.350;27.820;28986.000;22.000
17.07.17;10:05:55 AM;0.17;94.990;27.860;28969.000;22.000
17.07.17;10:06:10 AM;0.42;95.010;27.860;28995.000;22.000
17.07.17;10:06:25 AM;0.67;95.230;27.840;28911.000;22.000
17.07.17;10:06:40 AM;0.92;95.140;27.850;28968.000;22.000
17.07.17;10:06:55 AM;1.17;95.590;27.800;28943.000;22.000
17.07.17;10:07:10 AM;1.42;95.120;27.850;28973.000;22.000
17.07.17;10:07:25 AM;1.67;95.090;27.850;28967.000;22.000
17.07.17;10:07:40 AM;1.92;95.510;27.810;28978.000;22.000
17.07.17;10:07:55 AM;2.17;94.800;27.890;28978.000;22.000
17.07.17;10:08:10 AM;2.42;94.990;27.860;28941.000;22.000
17.07.17;10:08:25 AM;2.67;94.650;27.900;29008.000;22.000
17.07.17;10:08:40 AM;2.92;94.930;27.870;28957.000;22.000
17.07.17;10:08:55 AM;3.17;94.560;27.910;28997.000;22.000
17.07.17;10:09:10 AM;3.42;94.700;27.900;28980.000;22.000
17.07.17;10:09:25 AM;3.67;94.990;27.860;29009.000;22.000
17.07.17;10:09:40 AM;3.92;95.140;27.850;28993.000;22.000
17.07.17;10:09:55 AM;4.17;95.130;27.850;28987.000;22.000
17.07.17;10:10:10 AM;4.42;94.840;27.880;28988.000;22.000
17.07.17;10:10:25 AM;4.67;94.740;27.890;29016.000;22.000
17.07.17;10:10:40 AM;4.92;94.800;27.890;29031.000;22.000
17.07.17;10:10:55 AM;5.17;94.790;27.890;29018.000;22.000
17.07.17;10:11:10 AM;5.42;95.000;27.860;28989.000;22.000
17.07.17;10:11:25 AM;5.67;94.670;27.900;29003.000;22.000
17.07.17;10:11:40 AM;5.92;94.580;27.910;28993.000;22.000
17.07.17;10:11:55 AM;6.17;94.900;27.870;28992.000;22.000
17.07.17;10:12:10 AM;6.42;94.590;27.910;29027.000;22.000
17.07.17;10:12:25 AM;6.67;94.780;27.890;29022.000;22.000
17.07.17;10:12:40 AM;6.92;94.550;27.910;29016.000;22.000
17.07.17;10:12:55 AM;7.17;94.970;27.870;29028.000;22.000
17.07.17;10:13:10 AM;7.42;94.690;27.900;29025.000;22.000
17.07.17;10:13:25 AM;7.67;94.260;27.950;29022.000;22.000
17.07.17;10:13:40 AM;7.92;94.740;27.890;29021.000;22.000
17.07.17;10:13:55 AM;8.17;94.700;27.900;29041.000;22.000
17.07.17;10:14:10 AM;8.42;94.730;27.890;29041.000;22.000
17.07.17;10:14:25 AM;8.67;94.340;27.940;29069.000;22.000
17.07.17;10:14:40 AM;8.92;94.850;27.880;29064.000;22.000
17.07.17;10:14:55 AM;9.17;94.570;27.910;29055.000;22.000
17.07.17;10:15:10 AM;9.42;94.540;27.920;29079.000;22.000
17.07.17;10:15:25 AM;9.67;94.200;27.950;29057.000;22.000
17.07.17;10:15:40 AM;9.92;94.690;27.900;29072.000;22.000
17.07.17;10:15:55 AM;10.17;94.620;27.910;29048.000;22.000
17.07.17;10:16:10 AM;10.42;94.240;27.950;29091.000;22.000
17.07.17;10:16:25 AM;10.67;94.300;27.940;29065.000;22.000
17.07.17;10:16:40 AM;10.92;94.540;27.920;29071.000;22.000
17.07.17;10:16:55 AM;11.17;94.000;27.980;29107.000;22.000
17.07.17;10:17:10 AM;11.42;94.410;27.930;29089.000;22.000
17.07.17;10:17:25 AM;11.67;94.520;27.920;29079.000;22.000
17.07.17;10:17:40 AM;11.92;94.180;27.960;29077.000;22.000
17.07.17;10:17:55 AM;12.17;94.070;27.970;29072.000;22.000
17.07.17;10:18:10 AM;12.42;94.220;27.950;29096.000;22.000
17.07.17;10:18:25 AM;12.67;94.020;27.970;29105.000;22.000
17.07.17;10:18:40 AM;12.92;94.270;27.950;29085.000;22.000
17.07.17;10:18:55 AM;13.17;93.810;28.000;29103.000;22.000
17.07.17;10:19:10 AM;13.42;94.030;27.970;29115.000;22.000
17.07.17;10:19:25 AM;13.67;93.920;27.990;29102.000;22.000
17.07.17;10:19:40 AM;13.92;93.770;28.000;29136.000;22.000
17.07.17;10:19:55 AM;14.17;94.710;27.900;29105.000;22.000
17.07.17;10:20:10 AM;14.42;94.210;27.950;29121.000;22.000
17.07.17;10:20:25 AM;14.67;94.390;27.930;29118.000;22.000
17.07.17;10:20:40 AM;14.92;94.130;27.960;29142.000;22.000
17.07.17;10:20:55 AM;15.17;94.370;27.930;29121.000;22.000
17.07.17;10:21:10 AM;15.42;93.700;28.010;29126.000;22.000
17.07.17;10:21:25 AM;15.67;93.670;28.010;29111.000;22.000
17.07.17;10:21:40 AM;15.92;93.680;28.010;29143.000;22.000
17.07.17;10:21:55 AM;16.17;93.520;28.030;29135.000;22.000
17.07.17;10:22:10 AM;16.42;93.470;28.040;29144.000;22.000
17.07.17;10:22:25 AM;16.67;93.720;28.010;29106.000;22.000
17.07.17;10:22:40 AM;16.92;93.820;28.000;29133.000;22.000
17.07.17;10:22:55 AM;17.17;93.670;28.010;29155.000;22.000
17.07.17;10:23:10 AM;17.42;93.650;28.020;29143.000;22.000
17.07.17;10:23:25 AM;17.67;93.630;28.020;29169.000;22.000
17.07.17;10:23:40 AM;17.92;93.640;28.020;29147.000;22.000
17.07.17;10:23:55 AM;18.17;93.700;28.010;29170.000;22.000
17.07.17;10:24:10 AM;18.42;93.570;28.030;29183.000;22.000
17.07.17;10:24:25 AM;18.67;93.390;28.050;29171.000;22.000
17.07.17;10:24:40 AM;18.92;93.670;28.010;29169.000;22.000
17.07.17;10:24:55 AM;19.17;93.140;28.080;29201.000;22.000
17.07.17;10:25:10 AM;19.42;93.110;28.080;29191.000;22.000
