17.07.17/12:26 PM SW ver:OXY10v3_33
Header Ch-4
Description: WBF4-26
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 98138
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
17.07.17;12:26:48 PM;0.00;95.000;27.160;31358.000;26.000
17.07.17;12:26:58 PM;0.17;94.340;27.230;31367.000;26.000
17.07.17;12:27:13 PM;0.42;94.440;27.220;31366.000;26.000
17.07.17;12:27:28 PM;0.67;93.590;27.310;31370.000;26.000
17.07.17;12:27:43 PM;0.92;94.390;27.220;31352.000;26.000
17.07.17;12:27:58 PM;1.17;94.800;27.180;31356.000;26.000
17.07.17;12:28:13 PM;1.42;94.220;27.240;31366.000;26.000
17.07.17;12:28:28 PM;1.67;94.770;27.180;31408.000;26.000
17.07.17;12:28:43 PM;1.92;94.170;27.250;31397.000;26.000
17.07.17;12:28:58 PM;2.17;94.080;27.260;31386.000;26.000
17.07.17;12:29:13 PM;2.42;94.160;27.250;31406.000;26.000
17.07.17;12:29:28 PM;2.67;94.210;27.240;31422.000;26.000
17.07.17;12:29:43 PM;2.92;94.140;27.250;31409.000;26.000
17.07.17;12:29:58 PM;3.17;94.360;27.230;31384.000;26.000
17.07.17;12:30:13 PM;3.42;94.700;27.190;31384.000;26.000
17.07.17;12:30:28 PM;3.67;93.970;27.270;31388.000;26.000
17.07.17;12:30:43 PM;3.92;94.440;27.220;31362.000;26.000
17.07.17;12:30:58 PM;4.17;93.520;27.320;31346.000;26.000
17.07.17;12:31:13 PM;4.42;95.100;27.140;31350.000;26.000
17.07.17;12:31:28 PM;4.67;93.900;27.280;31407.000;26.000
17.07.17;12:31:43 PM;4.92;94.230;27.240;31389.000;26.000
17.07.17;12:31:58 PM;5.17;94.480;27.210;31391.000;26.000
17.07.17;12:32:13 PM;5.42;94.330;27.230;31415.000;26.000
