17.07.17/12:26 PM SW ver:OXY10v3_33
Header Ch-5
Description: TBE4-26
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 102954
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
17.07.17;12:26:49 PM;0.00;93.070;27.370;41565.000;26.000
17.07.17;12:27:00 PM;0.19;93.360;27.340;41571.000;26.000
17.07.17;12:27:15 PM;0.44;93.450;27.330;41597.000;26.000
17.07.17;12:27:30 PM;0.69;93.330;27.340;41618.000;26.000
17.07.17;12:27:45 PM;0.94;93.980;27.270;41603.000;26.000
17.07.17;12:28:00 PM;1.19;93.710;27.300;41628.000;26.000
17.07.17;12:28:15 PM;1.44;93.710;27.300;41624.000;26.000
17.07.17;12:28:30 PM;1.69;93.410;27.330;41651.000;26.000
17.07.17;12:28:45 PM;1.94;92.730;27.410;41644.000;26.000
17.07.17;12:29:00 PM;2.19;92.890;27.390;41618.000;26.000
17.07.17;12:29:15 PM;2.44;93.070;27.370;41686.000;26.000
17.07.17;12:29:30 PM;2.69;93.330;27.340;41665.000;26.000
17.07.17;12:29:45 PM;2.94;93.000;27.380;41617.000;26.000
17.07.17;12:30:00 PM;3.19;93.320;27.340;41640.000;26.000
17.07.17;12:30:15 PM;3.44;93.570;27.320;41619.000;26.000
17.07.17;12:30:30 PM;3.69;93.260;27.350;41675.000;26.000
17.07.17;12:30:45 PM;3.94;93.370;27.340;41691.000;26.000
17.07.17;12:31:00 PM;4.19;93.320;27.340;41683.000;26.000
17.07.17;12:31:15 PM;4.44;93.160;27.360;41661.000;26.000
17.07.17;12:31:30 PM;4.69;93.230;27.360;41650.000;26.000
17.07.17;12:31:45 PM;4.94;93.200;27.360;41690.000;26.000
17.07.17;12:32:00 PM;5.19;92.740;27.410;41667.000;26.000
17.07.17;12:32:15 PM;5.44;92.840;27.400;41728.000;26.000
17.07.17;12:32:30 PM;5.69;92.900;27.390;41693.000;26.000
17.07.17;12:32:45 PM;5.94;92.610;27.430;41653.000;26.000
17.07.17;12:33:00 PM;6.19;93.160;27.360;41694.000;26.000
17.07.17;12:33:15 PM;6.44;92.690;27.420;41674.000;26.000
17.07.17;12:33:30 PM;6.69;92.550;27.430;41706.000;26.000
17.07.17;12:33:45 PM;6.94;92.950;27.390;41724.000;26.000
17.07.17;12:34:00 PM;7.19;92.690;27.420;41697.000;26.000
17.07.17;12:34:15 PM;7.44;92.590;27.430;41693.000;26.000
17.07.17;12:34:30 PM;7.69;92.670;27.420;41681.000;26.000
17.07.17;12:34:45 PM;7.94;92.740;27.410;41711.000;26.000
17.07.17;12:35:00 PM;8.19;93.080;27.370;41745.000;26.000
17.07.17;12:35:15 PM;8.44;92.920;27.390;41780.000;26.000
17.07.17;12:35:30 PM;8.69;93.020;27.380;41743.000;26.000
