17.07.17/11:53 AM SW ver:OXY10v3_33
Header Ch-10
Description: TBO5-26
IDENTIFICATION
PHIboard number   : v1231482
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 10

PARAMETERS
Signal LED current: 050
Ref LED current   : 068
Ref LED amplitude : 100013
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 045200
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
17.07.17;11:53:16 AM;0.00;95.280;27.120;40536.000;26.000
17.07.17;11:53:17 AM;0.01;95.000;27.160;40520.000;26.000
17.07.17;11:53:25 AM;0.15;95.300;27.120;40524.000;26.000
17.07.17;11:53:40 AM;0.40;95.300;27.120;40505.000;26.000
17.07.17;11:53:55 AM;0.65;94.930;27.160;40511.000;26.000
17.07.17;11:54:10 AM;0.90;95.510;27.100;40529.000;26.000
17.07.17;11:54:25 AM;1.15;95.450;27.110;40568.000;26.000
17.07.17;11:54:40 AM;1.40;94.900;27.170;40540.000;26.000
17.07.17;11:54:55 AM;1.65;95.330;27.120;40548.000;26.000
17.07.17;11:55:10 AM;1.90;95.360;27.120;40546.000;26.000
17.07.17;11:55:25 AM;2.15;94.860;27.170;40567.000;26.000
17.07.17;11:55:40 AM;2.40;95.330;27.120;40563.000;26.000
17.07.17;11:55:55 AM;2.65;95.050;27.150;40574.000;26.000
17.07.17;11:56:10 AM;2.90;94.850;27.170;40574.000;26.000
17.07.17;11:56:25 AM;3.15;94.970;27.160;40535.000;26.000
17.07.17;11:56:40 AM;3.40;94.640;27.200;40574.000;26.000
17.07.17;11:56:55 AM;3.65;95.270;27.130;40586.000;26.000
17.07.17;11:57:10 AM;3.90;94.940;27.160;40582.000;26.000
17.07.17;11:57:25 AM;4.15;95.110;27.140;40577.000;26.000
17.07.17;11:57:40 AM;4.40;95.200;27.130;40603.000;26.000
17.07.17;11:57:55 AM;4.65;95.180;27.140;40601.000;26.000
17.07.17;11:58:10 AM;4.90;94.830;27.170;40616.000;26.000
17.07.17;11:58:25 AM;5.15;95.100;27.140;40619.000;26.000
17.07.17;11:58:40 AM;5.40;95.140;27.140;40645.000;26.000
17.07.17;11:58:55 AM;5.65;94.750;27.180;40599.000;26.000
17.07.17;11:59:10 AM;5.90;94.960;27.160;40655.000;26.000
17.07.17;11:59:25 AM;6.15;94.960;27.160;40657.000;26.000
17.07.17;11:59:40 AM;6.40;94.900;27.170;40666.000;26.000
17.07.17;11:59:55 AM;6.65;94.400;27.220;40666.000;26.000
17.07.17;12:00:10 PM;6.90;94.450;27.220;40676.000;26.000
17.07.17;12:00:25 PM;7.15;94.150;27.250;40664.000;26.000
17.07.17;12:00:40 PM;7.40;94.470;27.210;40740.000;26.000
17.07.17;12:00:55 PM;7.65;94.620;27.200;40687.000;26.000
17.07.17;12:01:10 PM;7.90;94.730;27.190;40696.000;26.000
17.07.17;12:01:25 PM;8.15;94.240;27.240;40693.000;26.000
17.07.17;12:01:40 PM;8.40;94.550;27.210;40739.000;26.000
17.07.17;12:01:55 PM;8.65;94.400;27.220;40725.000;26.000
17.07.17;12:02:10 PM;8.90;94.210;27.240;40716.000;26.000
17.07.17;12:02:25 PM;9.15;94.370;27.230;40739.000;26.000
17.07.17;12:02:40 PM;9.40;94.390;27.220;40756.000;26.000
17.07.17;12:02:55 PM;9.65;93.860;27.280;40736.000;26.000
17.07.17;12:03:10 PM;9.90;94.130;27.250;40775.000;26.000
17.07.17;12:03:25 PM;10.15;94.060;27.260;40781.000;26.000
17.07.17;12:03:40 PM;10.40;94.040;27.260;40816.000;26.000
17.07.17;12:03:55 PM;10.65;94.250;27.240;40817.000;26.000
17.07.17;12:04:10 PM;10.90;93.990;27.270;40830.000;26.000
17.07.17;12:04:25 PM;11.15;94.240;27.240;40783.000;26.000
17.07.17;12:04:40 PM;11.40;94.160;27.250;40847.000;26.000
17.07.17;12:04:55 PM;11.65;93.960;27.270;40812.000;26.000
17.07.17;12:05:10 PM;11.90;93.820;27.290;40822.000;26.000
17.07.17;12:05:25 PM;12.15;93.780;27.290;40842.000;26.000
17.07.17;12:05:40 PM;12.40;93.460;27.330;40870.000;26.000
17.07.17;12:05:55 PM;12.65;93.370;27.340;40867.000;26.000
17.07.17;12:06:10 PM;12.90;93.690;27.300;40889.000;26.000
17.07.17;12:06:25 PM;13.15;93.450;27.330;40922.000;26.000
17.07.17;12:06:40 PM;13.40;93.520;27.320;40911.000;26.000
17.07.17;12:06:55 PM;13.65;93.370;27.340;40918.000;26.000
17.07.17;12:07:10 PM;13.90;93.420;27.330;40911.000;26.000
17.07.17;12:07:25 PM;14.15;93.380;27.340;40950.000;26.000
17.07.17;12:07:40 PM;14.40;93.440;27.330;40961.000;26.000
17.07.17;12:07:55 PM;14.65;93.600;27.310;40964.000;26.000
17.07.17;12:08:10 PM;14.90;93.470;27.330;40989.000;26.000
17.07.17;12:08:25 PM;15.15;93.410;27.330;40971.000;26.000
17.07.17;12:08:40 PM;15.40;93.170;27.360;40998.000;26.000
17.07.17;12:08:55 PM;15.65;93.340;27.340;40964.000;26.000
17.07.17;12:09:10 PM;15.90;92.930;27.390;40955.000;26.000
17.07.17;12:09:25 PM;16.15;92.980;27.380;41019.000;26.000
17.07.17;12:09:40 PM;16.40;93.230;27.350;41015.000;26.000
17.07.17;12:09:55 PM;16.65;93.250;27.350;41028.000;26.000
17.07.17;12:10:10 PM;16.90;93.450;27.330;41028.000;26.000
17.07.17;12:10:25 PM;17.15;93.450;27.330;41037.000;26.000
17.07.17;12:10:40 PM;17.40;93.200;27.360;41063.000;26.000
17.07.17;12:10:55 PM;17.65;93.090;27.370;41065.000;26.000
17.07.17;12:11:10 PM;17.90;92.920;27.390;41069.000;26.000
