17.07.17/11:53 AM SW ver:OXY10v3_33
Header Ch-2
Description: DRIFT-26
IDENTIFICATION
PHIboard number   : v1231474
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 075
Ref LED amplitude : 101010
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 029100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 029400
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
17.07.17;11:53:09 AM;0.00;94.510;27.210;15630.000;26.000
17.07.17;11:53:10 AM;0.02;95.910;27.060;15604.000;26.000
17.07.17;11:53:24 AM;0.25;95.350;27.120;15628.000;26.000
17.07.17;11:53:39 AM;0.50;95.420;27.110;15615.000;26.000
17.07.17;11:53:54 AM;0.75;95.550;27.090;15586.000;26.000
17.07.17;11:54:09 AM;1.00;96.030;27.040;15588.000;26.000
17.07.17;11:54:24 AM;1.25;95.150;27.140;15577.000;26.000
17.07.17;11:54:39 AM;1.50;94.950;27.160;15558.000;26.000
17.07.17;11:54:54 AM;1.75;96.120;27.030;15566.000;26.000
17.07.17;11:55:09 AM;2.00;95.900;27.060;15568.000;26.000
17.07.17;11:55:24 AM;2.25;95.740;27.070;15575.000;26.000
17.07.17;11:55:39 AM;2.50;95.610;27.090;15568.000;26.000
17.07.17;11:55:54 AM;2.75;95.100;27.140;15545.000;26.000
17.07.17;11:56:09 AM;3.00;95.610;27.090;15552.000;26.000
17.07.17;11:56:24 AM;3.25;95.740;27.070;15530.000;26.000
17.07.17;11:56:39 AM;3.50;96.170;27.030;15547.000;26.000
17.07.17;11:56:54 AM;3.75;95.280;27.120;15536.000;26.000
17.07.17;11:57:09 AM;4.00;95.670;27.080;15546.000;26.000
17.07.17;11:57:24 AM;4.25;95.480;27.100;15531.000;26.000
17.07.17;11:57:39 AM;4.50;96.230;27.020;15505.000;26.000
17.07.17;11:57:54 AM;4.75;95.020;27.150;15542.000;26.000
17.07.17;11:58:09 AM;5.00;95.550;27.090;15529.000;26.000
17.07.17;11:58:24 AM;5.25;95.940;27.050;15530.000;26.000
17.07.17;11:58:39 AM;5.50;95.290;27.120;15551.000;26.000
17.07.17;11:58:54 AM;5.75;95.520;27.100;15504.000;26.000
17.07.17;11:59:09 AM;6.00;95.070;27.150;15534.000;26.000
17.07.17;11:59:24 AM;6.25;95.660;27.080;15528.000;26.000
17.07.17;11:59:39 AM;6.50;95.720;27.080;15530.000;26.000
17.07.17;11:59:54 AM;6.75;95.790;27.070;15531.000;26.000
17.07.17;12:00:09 PM;7.00;95.370;27.110;15527.000;26.000
17.07.17;12:00:24 PM;7.25;96.140;27.030;15516.000;26.000
17.07.17;12:00:39 PM;7.50;96.190;27.020;15529.000;26.000
17.07.17;12:00:54 PM;7.75;94.950;27.160;15520.000;26.000
17.07.17;12:01:09 PM;8.00;95.220;27.130;15506.000;26.000
17.07.17;12:01:24 PM;8.25;95.580;27.090;15506.000;26.000
17.07.17;12:01:39 PM;8.50;95.000;27.160;15521.000;26.000
17.07.17;12:01:54 PM;8.75;95.130;27.140;15513.000;26.000
17.07.17;12:02:09 PM;9.00;95.520;27.100;15514.000;26.000
17.07.17;12:02:24 PM;9.25;95.380;27.110;15518.000;26.000
17.07.17;12:02:39 PM;9.50;95.560;27.090;15518.000;26.000
