17.07.17/11:53 AM SW ver:OXY10v3_33
Header Ch-6
Description: TWA3-26
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 100548
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
17.07.17;11:53:13 AM;0.00;96.870;26.950;35387.000;26.000
17.07.17;11:53:17 AM;0.08;96.440;27.000;35434.000;26.000
17.07.17;11:53:32 AM;0.33;96.080;27.040;35455.000;26.000
17.07.17;11:53:47 AM;0.57;96.430;27.000;35447.000;26.000
17.07.17;11:54:02 AM;0.82;96.480;26.990;35461.000;26.000
17.07.17;11:54:17 AM;1.07;96.010;27.040;35456.000;26.000
17.07.17;11:54:32 AM;1.32;95.990;27.050;35430.000;26.000
17.07.17;11:54:47 AM;1.57;95.910;27.050;35506.000;26.000
17.07.17;11:55:02 AM;1.82;96.370;27.000;35460.000;26.000
17.07.17;11:55:17 AM;2.07;96.010;27.040;35447.000;26.000
17.07.17;11:55:32 AM;2.32;96.190;27.020;35511.000;26.000
17.07.17;11:55:47 AM;2.57;96.110;27.030;35457.000;26.000
17.07.17;11:56:02 AM;2.82;96.880;26.950;35500.000;26.000
17.07.17;11:56:17 AM;3.07;96.240;27.020;35482.000;26.000
17.07.17;11:56:32 AM;3.32;96.210;27.020;35490.000;26.000
17.07.17;11:56:47 AM;3.57;96.000;27.050;35542.000;26.000
17.07.17;11:57:02 AM;3.82;95.590;27.090;35491.000;26.000
17.07.17;11:57:17 AM;4.07;95.790;27.070;35552.000;26.000
17.07.17;11:57:32 AM;4.32;96.390;27.000;35568.000;26.000
17.07.17;11:57:47 AM;4.57;96.040;27.040;35544.000;26.000
17.07.17;11:58:02 AM;4.82;96.190;27.020;35549.000;26.000
17.07.17;11:58:17 AM;5.07;96.320;27.010;35537.000;26.000
17.07.17;11:58:32 AM;5.32;96.540;26.990;35598.000;26.000
17.07.17;11:58:47 AM;5.57;95.950;27.050;35537.000;26.000
17.07.17;11:59:02 AM;5.82;95.530;27.100;35571.000;26.000
17.07.17;11:59:17 AM;6.07;95.760;27.070;35606.000;26.000
17.07.17;11:59:32 AM;6.32;95.750;27.070;35607.000;26.000
17.07.17;11:59:47 AM;6.58;96.420;27.000;35579.000;26.000
17.07.17;12:00:02 PM;6.82;95.900;27.060;35554.000;26.000
17.07.17;12:00:17 PM;7.08;96.090;27.040;35586.000;26.000
17.07.17;12:00:32 PM;7.32;96.350;27.010;35600.000;26.000
17.07.17;12:00:47 PM;7.57;95.970;27.050;35604.000;26.000
17.07.17;12:01:02 PM;7.82;95.140;27.140;35654.000;26.000
17.07.17;12:01:17 PM;8.07;95.190;27.130;35611.000;26.000
17.07.17;12:01:32 PM;8.32;95.150;27.140;35618.000;26.000
17.07.17;12:01:47 PM;8.57;95.250;27.130;35602.000;26.000
17.07.17;12:02:02 PM;8.83;95.370;27.110;35692.000;26.000
17.07.17;12:02:17 PM;9.07;95.150;27.140;35677.000;26.000
17.07.17;12:02:32 PM;9.32;95.360;27.120;35640.000;26.000
17.07.17;12:02:47 PM;9.57;96.020;27.040;35650.000;26.000
17.07.17;12:03:02 PM;9.82;96.130;27.030;35670.000;26.000
17.07.17;12:03:17 PM;10.07;94.760;27.180;35704.000;26.000
17.07.17;12:03:32 PM;10.33;95.620;27.090;35724.000;26.000
17.07.17;12:03:47 PM;10.57;95.350;27.120;35694.000;26.000
17.07.17;12:04:02 PM;10.82;95.330;27.120;35692.000;26.000
17.07.17;12:04:17 PM;11.07;95.360;27.120;35733.000;26.000
17.07.17;12:04:32 PM;11.32;94.970;27.160;35730.000;26.000
17.07.17;12:04:47 PM;11.57;94.590;27.200;35757.000;26.000
17.07.17;12:05:02 PM;11.83;95.210;27.130;35743.000;26.000
17.07.17;12:05:17 PM;12.07;94.710;27.190;35699.000;26.000
17.07.17;12:05:32 PM;12.32;94.640;27.200;35780.000;26.000
17.07.17;12:05:47 PM;12.58;94.950;27.160;35795.000;26.000
17.07.17;12:06:02 PM;12.82;94.810;27.180;35731.000;26.000
17.07.17;12:06:17 PM;13.07;94.730;27.190;35771.000;26.000
17.07.17;12:06:32 PM;13.32;94.530;27.210;35804.000;26.000
17.07.17;12:06:47 PM;13.57;93.990;27.270;35767.000;26.000
17.07.17;12:07:02 PM;13.82;94.880;27.170;35791.000;26.000
17.07.17;12:07:17 PM;14.07;95.330;27.120;35807.000;26.000
17.07.17;12:07:32 PM;14.32;95.090;27.150;35791.000;26.000
17.07.17;12:07:47 PM;14.57;95.060;27.150;35823.000;26.000
17.07.17;12:08:02 PM;14.83;94.250;27.240;35810.000;26.000
17.07.17;12:08:17 PM;15.07;94.390;27.220;35822.000;26.000
17.07.17;12:08:32 PM;15.32;95.270;27.130;35851.000;26.000
17.07.17;12:08:47 PM;15.58;93.270;27.350;35898.000;26.000
17.07.17;12:09:02 PM;15.83;93.900;27.280;35848.000;26.000
17.07.17;12:09:17 PM;16.07;94.720;27.190;35830.000;26.000
17.07.17;12:09:32 PM;16.32;94.020;27.270;35879.000;26.000
17.07.17;12:09:47 PM;16.57;94.220;27.240;35881.000;26.000
17.07.17;12:10:02 PM;16.83;93.710;27.300;35859.000;26.000
17.07.17;12:10:17 PM;17.07;94.380;27.220;35909.000;26.000
17.07.17;12:10:32 PM;17.32;94.650;27.190;35837.000;26.000
17.07.17;12:10:47 PM;17.58;94.480;27.210;35943.000;26.000
17.07.17;12:11:02 PM;17.82;93.450;27.330;35933.000;26.000
17.07.17;12:11:17 PM;18.07;93.450;27.330;35879.000;26.000
17.07.17;12:11:32 PM;18.32;94.380;27.230;35958.000;26.000
17.07.17;12:11:47 PM;18.58;94.700;27.190;35898.000;26.000
17.07.17;12:12:02 PM;18.82;94.250;27.240;35974.000;26.000
17.07.17;12:12:17 PM;19.08;94.290;27.240;35933.000;26.000
17.07.17;12:12:32 PM;19.33;93.970;27.270;35965.000;26.000
17.07.17;12:12:47 PM;19.57;94.080;27.260;35937.000;26.000
17.07.17;12:13:02 PM;19.82;93.750;27.300;35947.000;26.000
