17.07.17/11:53 AM SW ver:OXY10v3_33
Header Ch-7
Description: WWI1-26
IDENTIFICATION
PHIboard number   : v1231479
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 07

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 96138
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 040800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 027000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
17.07.17;11:53:13 AM;0.00;93.850;27.280;30683.000;26.000
17.07.17;11:53:19 AM;0.10;93.950;27.270;30678.000;26.000
17.07.17;11:53:34 AM;0.35;94.020;27.270;30665.000;26.000
17.07.17;11:53:49 AM;0.60;93.650;27.310;30700.000;26.000
17.07.17;11:54:04 AM;0.85;94.150;27.250;30691.000;26.000
17.07.17;11:54:19 AM;1.10;93.900;27.280;30681.000;26.000
17.07.17;11:54:34 AM;1.35;93.720;27.300;30698.000;26.000
17.07.17;11:54:49 AM;1.60;94.060;27.260;30699.000;26.000
17.07.17;11:55:04 AM;1.85;93.610;27.310;30745.000;26.000
17.07.17;11:55:19 AM;2.10;93.960;27.270;30748.000;26.000
17.07.17;11:55:34 AM;2.35;94.330;27.230;30767.000;26.000
17.07.17;11:55:49 AM;2.60;93.580;27.320;30745.000;26.000
17.07.17;11:56:04 AM;2.85;93.760;27.290;30745.000;26.000
17.07.17;11:56:19 AM;3.10;93.520;27.320;30785.000;26.000
17.07.17;11:56:34 AM;3.35;93.300;27.350;30789.000;26.000
17.07.17;11:56:49 AM;3.60;93.030;27.380;30795.000;26.000
17.07.17;11:57:04 AM;3.85;93.450;27.330;30787.000;26.000
17.07.17;11:57:19 AM;4.10;93.340;27.340;30818.000;26.000
17.07.17;11:57:34 AM;4.35;93.050;27.380;30802.000;26.000
17.07.17;11:57:49 AM;4.60;92.880;27.400;30807.000;26.000
17.07.17;11:58:04 AM;4.85;93.010;27.380;30828.000;26.000
17.07.17;11:58:19 AM;5.10;92.860;27.400;30869.000;26.000
17.07.17;11:58:34 AM;5.35;93.140;27.370;30845.000;26.000
17.07.17;11:58:49 AM;5.60;93.140;27.370;30876.000;26.000
17.07.17;11:59:04 AM;5.85;92.880;27.400;30886.000;26.000
17.07.17;11:59:19 AM;6.10;92.820;27.400;30899.000;26.000
17.07.17;11:59:34 AM;6.35;92.980;27.380;30891.000;26.000
17.07.17;11:59:49 AM;6.60;92.760;27.410;30911.000;26.000
17.07.17;12:00:04 PM;6.85;92.720;27.410;30892.000;26.000
17.07.17;12:00:19 PM;7.10;92.550;27.430;30916.000;26.000
