17.07.17/2:05 PM SW ver:OXY10v3_33
Header Ch-3
Description: WBG3-29
IDENTIFICATION
PHIboard number   : v1231475
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 104086
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 030000
100.00%a.s.phase 2: 27.68 at 020.0°C amp 033000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
17.07.17;2:05:13 PM;0.00;93.810;26.780;28141.000;29.000
17.07.17;2:05:23 PM;0.17;94.520;26.700;28195.000;29.000
17.07.17;2:05:38 PM;0.42;94.500;26.700;28087.000;29.000
17.07.17;2:05:53 PM;0.67;95.100;26.630;28152.000;29.000
17.07.17;2:06:08 PM;0.92;93.800;26.780;28146.000;29.000
17.07.17;2:06:23 PM;1.17;93.840;26.770;28154.000;29.000
17.07.17;2:06:38 PM;1.42;94.650;26.680;28141.000;29.000
17.07.17;2:06:53 PM;1.67;94.450;26.700;28173.000;29.000
17.07.17;2:07:08 PM;1.92;93.000;26.870;28153.000;29.000
17.07.17;2:07:23 PM;2.17;93.930;26.760;28152.000;29.000
17.07.17;2:07:38 PM;2.42;94.190;26.730;28133.000;29.000
17.07.17;2:07:53 PM;2.67;95.070;26.640;28180.000;29.000
17.07.17;2:08:08 PM;2.92;94.650;26.680;28197.000;29.000
17.07.17;2:08:23 PM;3.17;93.270;26.840;28203.000;29.000
17.07.17;2:08:38 PM;3.42;93.670;26.790;28191.000;29.000
