17.07.17/2:05 PM SW ver:OXY10v3_33
Header Ch-6
Description: TWA3-29
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 100548
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
17.07.17;2:05:15 PM;0.00;95.580;26.580;34431.000;29.000
17.07.17;2:05:29 PM;0.23;96.140;26.520;34412.000;29.000
17.07.17;2:05:44 PM;0.48;95.300;26.610;34416.000;29.000
17.07.17;2:05:59 PM;0.73;95.510;26.590;34408.000;29.000
17.07.17;2:06:14 PM;0.98;96.270;26.510;34420.000;29.000
17.07.17;2:06:29 PM;1.23;97.070;26.420;34465.000;29.000
17.07.17;2:06:44 PM;1.48;97.170;26.410;34478.000;29.000
17.07.17;2:06:59 PM;1.73;96.430;26.490;34416.000;29.000
17.07.17;2:07:14 PM;1.98;96.030;26.530;34493.000;29.000
17.07.17;2:07:29 PM;2.23;95.870;26.550;34430.000;29.000
17.07.17;2:07:44 PM;2.48;95.850;26.550;34539.000;29.000
17.07.17;2:07:59 PM;2.73;95.570;26.580;34531.000;29.000
17.07.17;2:08:14 PM;2.98;96.160;26.520;34530.000;29.000
17.07.17;2:08:29 PM;3.23;95.570;26.580;34550.000;29.000
17.07.17;2:08:44 PM;3.48;96.350;26.500;34527.000;29.000
17.07.17;2:08:59 PM;3.73;94.760;26.670;34506.000;29.000
17.07.17;2:09:14 PM;3.98;95.440;26.600;34540.000;29.000
17.07.17;2:09:29 PM;4.23;96.900;26.440;34488.000;29.000
17.07.17;2:09:44 PM;4.48;95.250;26.620;34599.000;29.000
17.07.17;2:09:59 PM;4.73;95.590;26.580;34567.000;29.000
17.07.17;2:10:14 PM;4.98;95.290;26.610;34557.000;29.000
17.07.17;2:10:29 PM;5.23;95.570;26.580;34571.000;29.000
17.07.17;2:10:44 PM;5.48;95.130;26.630;34591.000;29.000
17.07.17;2:10:59 PM;5.73;95.920;26.540;34604.000;29.000
17.07.17;2:11:14 PM;5.98;95.740;26.560;34572.000;29.000
17.07.17;2:11:29 PM;6.23;95.390;26.600;34603.000;29.000
17.07.17;2:11:44 PM;6.48;95.230;26.620;34620.000;29.000
17.07.17;2:11:59 PM;6.73;95.860;26.550;34604.000;29.000
17.07.17;2:12:14 PM;6.98;94.850;26.660;34543.000;29.000
17.07.17;2:12:29 PM;7.23;95.460;26.590;34592.000;29.000
17.07.17;2:12:44 PM;7.48;94.360;26.710;34606.000;29.000
17.07.17;2:12:59 PM;7.73;95.220;26.620;34642.000;29.000
17.07.17;2:13:14 PM;7.98;95.460;26.590;34615.000;29.000
17.07.17;2:13:29 PM;8.23;95.400;26.600;34676.000;29.000
17.07.17;2:13:44 PM;8.48;94.690;26.680;34659.000;29.000
17.07.17;2:13:59 PM;8.73;94.260;26.730;34663.000;29.000
17.07.17;2:14:14 PM;8.98;93.900;26.770;34624.000;29.000
17.07.17;2:14:29 PM;9.23;95.460;26.590;34661.000;29.000
17.07.17;2:14:44 PM;9.48;95.250;26.620;34639.000;29.000
17.07.17;2:14:59 PM;9.73;94.560;26.690;34671.000;29.000
17.07.17;2:15:14 PM;9.98;95.580;26.580;34713.000;29.000
17.07.17;2:15:29 PM;10.23;95.360;26.600;34715.000;29.000
17.07.17;2:15:44 PM;10.48;93.920;26.760;34681.000;29.000
17.07.17;2:15:59 PM;10.73;94.150;26.740;34697.000;29.000
17.07.17;2:16:14 PM;10.98;94.170;26.740;34720.000;29.000
17.07.17;2:16:29 PM;11.23;94.420;26.710;34714.000;29.000
17.07.17;2:16:44 PM;11.48;93.610;26.800;34732.000;29.000
17.07.17;2:16:59 PM;11.73;94.070;26.750;34779.000;29.000
17.07.17;2:17:14 PM;11.98;94.470;26.700;34789.000;29.000
17.07.17;2:17:29 PM;12.23;95.090;26.630;34759.000;29.000
17.07.17;2:17:44 PM;12.48;94.120;26.740;34775.000;29.000
17.07.17;2:17:59 PM;12.73;94.800;26.670;34741.000;29.000
17.07.17;2:18:14 PM;12.98;93.990;26.760;34712.000;29.000
17.07.17;2:18:29 PM;13.23;94.730;26.670;34784.000;29.000
17.07.17;2:18:44 PM;13.48;94.630;26.680;34772.000;29.000
17.07.17;2:18:59 PM;13.73;94.720;26.670;34787.000;29.000
17.07.17;2:19:14 PM;13.98;94.740;26.670;34866.000;29.000
17.07.17;2:19:29 PM;14.23;93.750;26.780;34802.000;29.000
17.07.17;2:19:44 PM;14.48;94.900;26.650;34769.000;29.000
17.07.17;2:19:59 PM;14.73;93.830;26.770;34755.000;29.000
17.07.17;2:20:14 PM;14.98;94.460;26.700;34827.000;29.000
17.07.17;2:20:29 PM;15.23;94.400;26.710;34804.000;29.000
17.07.17;2:20:44 PM;15.48;94.160;26.740;34798.000;29.000
17.07.17;2:20:59 PM;15.73;94.260;26.730;34840.000;29.000
17.07.17;2:21:14 PM;15.98;94.470;26.700;34864.000;29.000
17.07.17;2:21:29 PM;16.23;94.270;26.720;34904.000;29.000
17.07.17;2:21:44 PM;16.48;93.650;26.790;34905.000;29.000
17.07.17;2:21:59 PM;16.73;93.500;26.810;34849.000;29.000
17.07.17;2:22:14 PM;16.98;93.660;26.790;34836.000;29.000
17.07.17;2:22:29 PM;17.23;93.520;26.810;34849.000;29.000
17.07.17;2:22:44 PM;17.48;94.990;26.640;34846.000;29.000
17.07.17;2:22:59 PM;17.73;94.510;26.700;34900.000;29.000
17.07.17;2:23:14 PM;17.98;94.690;26.680;34883.000;29.000
17.07.17;2:23:29 PM;18.23;92.960;26.870;34871.000;29.000
17.07.17;2:23:44 PM;18.48;94.040;26.750;34938.000;29.000
17.07.17;2:23:59 PM;18.73;94.420;26.710;34915.000;29.000
17.07.17;2:24:14 PM;18.98;92.940;26.870;34893.000;29.000
17.07.17;2:24:29 PM;19.23;93.950;26.760;34898.000;29.000
17.07.17;2:24:44 PM;19.48;94.360;26.710;34868.000;29.000
17.07.17;2:24:59 PM;19.73;92.460;26.930;34984.000;29.000
17.07.17;2:25:14 PM;19.98;93.430;26.820;34942.000;29.000
17.07.17;2:25:29 PM;20.23;94.060;26.750;34987.000;29.000
17.07.17;2:25:44 PM;20.48;94.350;26.720;34950.000;29.000
17.07.17;2:25:59 PM;20.73;94.460;26.700;34983.000;29.000
17.07.17;2:26:14 PM;20.98;93.050;26.860;34980.000;29.000
17.07.17;2:26:29 PM;21.23;92.410;26.930;34959.000;29.000
17.07.17;2:26:44 PM;21.48;93.290;26.830;34991.000;29.000
17.07.17;2:26:59 PM;21.73;93.840;26.770;35067.000;29.000
17.07.17;2:27:14 PM;21.98;93.860;26.770;34979.000;29.000
17.07.17;2:27:29 PM;22.23;93.020;26.860;34986.000;29.000
17.07.17;2:27:44 PM;22.48;93.440;26.820;34987.000;29.000
17.07.17;2:27:59 PM;22.73;93.390;26.820;35001.000;29.000
17.07.17;2:28:14 PM;22.98;92.980;26.870;35044.000;29.000
17.07.17;2:28:29 PM;23.23;92.760;26.890;35001.000;29.000
17.07.17;2:28:44 PM;23.48;92.940;26.870;35055.000;29.000
17.07.17;2:28:59 PM;23.73;92.600;26.910;35070.000;29.000
17.07.17;2:29:14 PM;23.98;92.600;26.910;35045.000;29.000
17.07.17;2:29:29 PM;24.23;93.090;26.860;35064.000;29.000
17.07.17;2:29:44 PM;24.48;92.900;26.880;35086.000;29.000
