17.07.17/1:32 PM SW ver:OXY10v3_33
Header Ch-10
Description: TBO5-29
IDENTIFICATION
PHIboard number   : v1231482
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 10

PARAMETERS
Signal LED current: 050
Ref LED current   : 068
Ref LED amplitude : 100013
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 045200
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
17.07.17;1:32:25 PM;0.00;94.920;26.650;39650.000;29.000
17.07.17;1:32:37 PM;0.20;95.640;26.570;39667.000;29.000
17.07.17;1:32:52 PM;0.45;95.020;26.640;39649.000;29.000
17.07.17;1:33:07 PM;0.70;95.010;26.640;39667.000;29.000
17.07.17;1:33:22 PM;0.95;94.910;26.650;39643.000;29.000
17.07.17;1:33:37 PM;1.20;95.190;26.620;39622.000;29.000
17.07.17;1:33:52 PM;1.45;95.090;26.630;39668.000;29.000
17.07.17;1:34:07 PM;1.70;95.220;26.620;39654.000;29.000
17.07.17;1:34:22 PM;1.95;94.610;26.690;39657.000;29.000
17.07.17;1:34:37 PM;2.20;95.000;26.640;39659.000;29.000
17.07.17;1:34:52 PM;2.45;94.900;26.650;39664.000;29.000
17.07.17;1:35:07 PM;2.70;94.940;26.650;39650.000;29.000
17.07.17;1:35:22 PM;2.95;95.170;26.620;39670.000;29.000
17.07.17;1:35:37 PM;3.20;94.720;26.670;39710.000;29.000
17.07.17;1:35:52 PM;3.45;95.040;26.640;39713.000;29.000
17.07.17;1:36:07 PM;3.70;94.390;26.710;39717.000;29.000
17.07.17;1:36:22 PM;3.95;94.680;26.680;39710.000;29.000
17.07.17;1:36:37 PM;4.20;94.740;26.670;39689.000;29.000
17.07.17;1:36:52 PM;4.45;94.730;26.670;39730.000;29.000
17.07.17;1:37:07 PM;4.70;94.850;26.660;39721.000;29.000
17.07.17;1:37:22 PM;4.95;94.830;26.660;39760.000;29.000
17.07.17;1:37:37 PM;5.20;94.360;26.710;39754.000;29.000
17.07.17;1:37:52 PM;5.45;94.640;26.680;39753.000;29.000
17.07.17;1:38:07 PM;5.70;94.550;26.690;39764.000;29.000
17.07.17;1:38:22 PM;5.95;94.760;26.670;39781.000;29.000
17.07.17;1:38:37 PM;6.20;94.300;26.720;39784.000;29.000
17.07.17;1:38:52 PM;6.45;94.480;26.700;39765.000;29.000
17.07.17;1:39:07 PM;6.70;93.920;26.760;39847.000;29.000
17.07.17;1:39:22 PM;6.95;94.460;26.700;39811.000;29.000
17.07.17;1:39:37 PM;7.20;94.250;26.730;39838.000;29.000
17.07.17;1:39:52 PM;7.45;94.240;26.730;39847.000;29.000
17.07.17;1:40:07 PM;7.70;94.350;26.720;39845.000;29.000
17.07.17;1:40:22 PM;7.95;94.310;26.720;39859.000;29.000
17.07.17;1:40:37 PM;8.20;93.950;26.760;39881.000;29.000
17.07.17;1:40:52 PM;8.45;93.900;26.770;39882.000;29.000
17.07.17;1:41:07 PM;8.70;94.090;26.740;39866.000;29.000
17.07.17;1:41:22 PM;8.95;94.010;26.750;39887.000;29.000
17.07.17;1:41:37 PM;9.20;93.580;26.800;39932.000;29.000
17.07.17;1:41:52 PM;9.45;93.990;26.760;39905.000;29.000
17.07.17;1:42:07 PM;9.70;93.820;26.770;39954.000;29.000
17.07.17;1:42:22 PM;9.95;93.630;26.800;39978.000;29.000
17.07.17;1:42:37 PM;10.20;93.460;26.810;39985.000;29.000
17.07.17;1:42:52 PM;10.45;93.520;26.810;39951.000;29.000
17.07.17;1:43:07 PM;10.70;93.180;26.850;39981.000;29.000
17.07.17;1:43:22 PM;10.95;93.300;26.830;40005.000;29.000
17.07.17;1:43:37 PM;11.20;93.340;26.830;40045.000;29.000
17.07.17;1:43:52 PM;11.45;93.420;26.820;40013.000;29.000
17.07.17;1:44:07 PM;11.70;93.010;26.870;40011.000;29.000
17.07.17;1:44:22 PM;11.95;93.080;26.860;40024.000;29.000
17.07.17;1:44:37 PM;12.20;93.260;26.840;40076.000;29.000
17.07.17;1:44:52 PM;12.45;93.120;26.850;40061.000;29.000
17.07.17;1:45:07 PM;12.70;93.450;26.820;40072.000;29.000
17.07.17;1:45:22 PM;12.95;92.950;26.870;40077.000;29.000
17.07.17;1:45:37 PM;13.20;92.770;26.890;40116.000;29.000
17.07.17;1:45:52 PM;13.45;92.950;26.870;40105.000;29.000
17.07.17;1:46:07 PM;13.70;92.890;26.880;40152.000;29.000
17.07.17;1:46:22 PM;13.95;92.560;26.920;40124.000;29.000
17.07.17;1:46:37 PM;14.20;92.640;26.910;40142.000;29.000
17.07.17;1:46:52 PM;14.45;92.420;26.930;40160.000;29.000
17.07.17;1:47:07 PM;14.70;92.430;26.930;40192.000;29.000
17.07.17;1:47:22 PM;14.95;92.250;26.950;40174.000;29.000
17.07.17;1:47:37 PM;15.20;92.540;26.920;40211.000;29.000
17.07.17;1:47:52 PM;15.45;92.500;26.920;40193.000;29.000
17.07.17;1:48:07 PM;15.70;92.220;26.950;40192.000;29.000
17.07.17;1:48:22 PM;15.95;92.340;26.940;40218.000;29.000
17.07.17;1:48:37 PM;16.20;92.220;26.950;40233.000;29.000
17.07.17;1:48:52 PM;16.45;92.670;26.900;40255.000;29.000
17.07.17;1:49:07 PM;16.70;92.540;26.920;40295.000;29.000
17.07.17;1:49:22 PM;16.95;92.470;26.930;40290.000;29.000
17.07.17;1:49:37 PM;17.20;92.370;26.940;40314.000;29.000
17.07.17;1:49:52 PM;17.45;92.270;26.950;40300.000;29.000
17.07.17;1:50:07 PM;17.70;91.900;26.990;40292.000;29.000
17.07.17;1:50:22 PM;17.95;91.970;26.980;40324.000;29.000
17.07.17;1:50:37 PM;18.20;91.920;26.990;40323.000;29.000
17.07.17;1:50:52 PM;18.45;91.780;27.010;40338.000;29.000
17.07.17;1:51:07 PM;18.70;91.560;27.030;40362.000;29.000
17.07.17;1:51:22 PM;18.95;91.810;27.000;40344.000;29.000
