17.07.17/1:32 PM SW ver:OXY10v3_33
Header Ch-6
Description: TWA3-29
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 100548
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
17.07.17;1:32:22 PM;0.00;97.620;26.360;34541.000;29.000
17.07.17;1:32:29 PM;0.11;96.280;26.500;34442.000;29.000
17.07.17;1:32:44 PM;0.36;96.410;26.490;34508.000;29.000
17.07.17;1:32:59 PM;0.61;96.010;26.530;34437.000;29.000
17.07.17;1:33:14 PM;0.86;95.970;26.540;34500.000;29.000
17.07.17;1:33:29 PM;1.11;95.520;26.590;34500.000;29.000
17.07.17;1:33:44 PM;1.36;96.510;26.480;34498.000;29.000
17.07.17;1:33:59 PM;1.62;95.610;26.580;34493.000;29.000
17.07.17;1:34:14 PM;1.86;95.910;26.540;34479.000;29.000
17.07.17;1:34:29 PM;2.11;96.480;26.480;34474.000;29.000
17.07.17;1:34:44 PM;2.36;96.380;26.490;34470.000;29.000
17.07.17;1:34:59 PM;2.61;96.400;26.490;34500.000;29.000
17.07.17;1:35:14 PM;2.86;96.440;26.490;34533.000;29.000
17.07.17;1:35:29 PM;3.11;96.580;26.470;34492.000;29.000
17.07.17;1:35:44 PM;3.36;95.800;26.560;34554.000;29.000
17.07.17;1:35:59 PM;3.62;95.680;26.570;34556.000;29.000
17.07.17;1:36:14 PM;3.86;96.170;26.520;34538.000;29.000
17.07.17;1:36:29 PM;4.11;95.870;26.550;34547.000;29.000
17.07.17;1:36:44 PM;4.36;95.120;26.630;34586.000;29.000
