17.07.17/1:32 PM SW ver:OXY10v3_33
Header Ch-7
Description: WWI1-29
IDENTIFICATION
PHIboard number   : v1231479
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 07

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 96138
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 040800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 027000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
17.07.17;1:32:22 PM;0.00;94.100;26.740;29780.000;29.000
17.07.17;1:32:31 PM;0.14;93.590;26.800;29783.000;29.000
17.07.17;1:32:46 PM;0.39;94.750;26.670;29798.000;29.000
17.07.17;1:33:01 PM;0.64;93.770;26.780;29782.000;29.000
17.07.17;1:33:16 PM;0.89;93.840;26.770;29802.000;29.000
17.07.17;1:33:31 PM;1.14;93.960;26.760;29801.000;29.000
17.07.17;1:33:46 PM;1.39;93.870;26.770;29815.000;29.000
17.07.17;1:34:01 PM;1.64;93.920;26.760;29822.000;29.000
17.07.17;1:34:16 PM;1.89;93.760;26.780;29847.000;29.000
17.07.17;1:34:31 PM;2.14;93.660;26.790;29821.000;29.000
17.07.17;1:34:46 PM;2.39;93.310;26.830;29825.000;29.000
17.07.17;1:35:01 PM;2.64;93.840;26.770;29860.000;29.000
17.07.17;1:35:16 PM;2.89;93.660;26.790;29871.000;29.000
17.07.17;1:35:31 PM;3.14;93.200;26.840;29858.000;29.000
17.07.17;1:35:46 PM;3.39;93.550;26.800;29883.000;29.000
17.07.17;1:36:01 PM;3.64;93.300;26.830;29900.000;29.000
17.07.17;1:36:16 PM;3.89;93.370;26.820;29919.000;29.000
17.07.17;1:36:31 PM;4.14;93.190;26.840;29929.000;29.000
17.07.17;1:36:46 PM;4.39;93.100;26.860;29904.000;29.000
17.07.17;1:37:01 PM;4.64;93.380;26.820;29933.000;29.000
17.07.17;1:37:16 PM;4.89;92.660;26.900;29916.000;29.000
17.07.17;1:37:31 PM;5.14;92.990;26.870;29942.000;29.000
17.07.17;1:37:46 PM;5.39;93.090;26.860;29981.000;29.000
17.07.17;1:38:01 PM;5.64;92.670;26.900;29992.000;29.000
17.07.17;1:38:16 PM;5.89;92.700;26.900;29965.000;29.000
17.07.17;1:38:31 PM;6.14;92.370;26.940;29989.000;29.000
17.07.17;1:38:46 PM;6.39;92.310;26.940;30008.000;29.000
17.07.17;1:39:01 PM;6.64;92.270;26.950;30024.000;29.000
17.07.17;1:39:16 PM;6.89;92.430;26.930;30047.000;29.000
17.07.17;1:39:31 PM;7.14;92.310;26.940;30037.000;29.000
17.07.17;1:39:46 PM;7.39;92.310;26.940;30060.000;29.000
17.07.17;1:40:01 PM;7.64;92.300;26.950;30088.000;29.000
17.07.17;1:40:16 PM;7.89;91.920;26.990;30115.000;29.000
17.07.17;1:40:31 PM;8.14;92.400;26.930;30088.000;29.000
17.07.17;1:40:46 PM;8.39;92.130;26.970;30124.000;29.000
17.07.17;1:41:01 PM;8.64;91.790;27.000;30130.000;29.000
17.07.17;1:41:16 PM;8.89;92.190;26.960;30139.000;29.000
17.07.17;1:41:31 PM;9.14;91.520;27.030;30145.000;29.000
17.07.17;1:41:46 PM;9.39;92.160;26.960;30139.000;29.000
17.07.17;1:42:01 PM;9.64;91.780;27.010;30142.000;29.000
17.07.17;1:42:16 PM;9.89;91.520;27.040;30162.000;29.000
17.07.17;1:42:31 PM;10.14;91.580;27.030;30202.000;29.000
17.07.17;1:42:46 PM;10.39;91.260;27.060;30235.000;29.000
17.07.17;1:43:01 PM;10.64;91.510;27.040;30194.000;29.000
17.07.17;1:43:16 PM;10.89;90.980;27.100;30217.000;29.000
17.07.17;1:43:31 PM;11.14;91.130;27.080;30220.000;29.000
17.07.17;1:43:46 PM;11.39;91.140;27.080;30243.000;29.000
17.07.17;1:44:01 PM;11.64;91.340;27.060;30235.000;29.000
17.07.17;1:44:16 PM;11.89;91.500;27.040;30247.000;29.000
17.07.17;1:44:31 PM;12.14;91.070;27.090;30289.000;29.000
17.07.17;1:44:46 PM;12.39;90.400;27.160;30312.000;29.000
17.07.17;1:45:01 PM;12.64;90.930;27.100;30319.000;29.000
17.07.17;1:45:16 PM;12.89;90.430;27.160;30318.000;29.000
17.07.17;1:45:31 PM;13.14;90.980;27.100;30325.000;29.000
17.07.17;1:45:46 PM;13.39;90.790;27.120;30314.000;29.000
17.07.17;1:46:01 PM;13.64;90.400;27.160;30353.000;29.000
17.07.17;1:46:16 PM;13.89;90.740;27.130;30346.000;29.000
17.07.17;1:46:31 PM;14.14;90.360;27.170;30356.000;29.000
17.07.17;1:46:46 PM;14.39;90.110;27.200;30391.000;29.000
17.07.17;1:47:01 PM;14.64;90.240;27.180;30384.000;29.000
17.07.17;1:47:16 PM;14.89;90.350;27.170;30400.000;29.000
17.07.17;1:47:31 PM;15.14;90.080;27.200;30428.000;29.000
17.07.17;1:47:46 PM;15.39;90.070;27.200;30392.000;29.000
17.07.17;1:48:01 PM;15.64;89.440;27.280;30413.000;29.000
17.07.17;1:48:16 PM;15.89;89.990;27.210;30434.000;29.000
17.07.17;1:48:31 PM;16.14;90.310;27.180;30493.000;29.000
17.07.17;1:48:46 PM;16.39;89.970;27.220;30460.000;29.000
17.07.17;1:49:01 PM;16.64;89.600;27.260;30538.000;29.000
17.07.17;1:49:16 PM;16.89;90.130;27.200;30505.000;29.000
