18.07.17/8:12 AM SW ver:OXY10v3_33
Header Ch-10
Description: WWD1-18
IDENTIFICATION
PHIboard number   : v1231482
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 10

PARAMETERS
Signal LED current: 050
Ref LED current   : 068
Ref LED amplitude : 100032
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 045200
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
18.07.17;8:12:53 AM;0.00;96.430;28.440;43151.000;18.000
18.07.17;8:12:54 AM;0.01;95.750;28.510;43114.000;18.000
18.07.17;8:13:02 AM;0.15;96.300;28.450;43128.000;18.000
18.07.17;8:13:17 AM;0.40;96.240;28.460;43105.000;18.000
18.07.17;8:13:32 AM;0.65;96.480;28.430;43106.000;18.000
18.07.17;8:13:47 AM;0.90;95.970;28.490;43122.000;18.000
18.07.17;8:14:02 AM;1.15;95.970;28.490;43107.000;18.000
18.07.17;8:14:17 AM;1.40;96.140;28.470;43151.000;18.000
18.07.17;8:14:32 AM;1.65;95.930;28.490;43123.000;18.000
18.07.17;8:14:47 AM;1.90;95.980;28.490;43161.000;18.000
18.07.17;8:15:02 AM;2.15;96.120;28.470;43129.000;18.000
18.07.17;8:15:17 AM;2.40;95.960;28.490;43097.000;18.000
18.07.17;8:15:32 AM;2.65;96.170;28.470;43123.000;18.000
18.07.17;8:15:47 AM;2.90;96.250;28.460;43121.000;18.000
18.07.17;8:16:02 AM;3.15;96.030;28.480;43111.000;18.000
18.07.17;8:16:17 AM;3.40;96.260;28.460;43147.000;18.000
18.07.17;8:16:32 AM;3.65;95.970;28.490;43095.000;18.000
18.07.17;8:16:47 AM;3.90;96.160;28.470;43117.000;18.000
18.07.17;8:17:02 AM;4.15;95.870;28.500;43099.000;18.000
18.07.17;8:17:17 AM;4.40;95.930;28.490;43107.000;18.000
18.07.17;8:17:32 AM;4.65;96.070;28.480;43110.000;18.000
18.07.17;8:17:47 AM;4.90;96.020;28.480;43095.000;18.000
18.07.17;8:18:02 AM;5.15;95.880;28.500;43126.000;18.000
18.07.17;8:18:17 AM;5.40;95.730;28.520;43112.000;18.000
18.07.17;8:18:32 AM;5.65;96.030;28.480;43111.000;18.000
18.07.17;8:18:47 AM;5.90;95.700;28.520;43108.000;18.000
18.07.17;8:19:02 AM;6.15;96.130;28.470;43105.000;18.000
18.07.17;8:19:17 AM;6.40;95.890;28.500;43119.000;18.000
18.07.17;8:19:32 AM;6.65;95.730;28.520;43110.000;18.000
18.07.17;8:19:47 AM;6.90;96.160;28.470;43115.000;18.000
18.07.17;8:20:02 AM;7.15;96.170;28.470;43098.000;18.000
18.07.17;8:20:17 AM;7.40;96.050;28.480;43124.000;18.000
18.07.17;8:20:32 AM;7.65;95.900;28.500;43104.000;18.000
18.07.17;8:20:47 AM;7.90;95.770;28.510;43101.000;18.000
18.07.17;8:21:02 AM;8.15;95.910;28.500;43063.000;18.000
18.07.17;8:21:17 AM;8.40;95.800;28.510;43127.000;18.000
18.07.17;8:21:32 AM;8.65;95.740;28.510;43113.000;18.000
18.07.17;8:21:47 AM;8.90;95.800;28.510;43090.000;18.000
18.07.17;8:22:02 AM;9.15;95.690;28.520;43111.000;18.000
18.07.17;8:22:17 AM;9.40;95.590;28.530;43097.000;18.000
18.07.17;8:22:32 AM;9.65;95.560;28.540;43130.000;18.000
18.07.17;8:22:47 AM;9.90;95.440;28.550;43107.000;18.000
18.07.17;8:23:02 AM;10.15;95.800;28.510;43117.000;18.000
18.07.17;8:23:17 AM;10.40;96.180;28.460;43110.000;18.000
18.07.17;8:23:32 AM;10.65;95.740;28.510;43120.000;18.000
18.07.17;8:23:47 AM;10.90;95.650;28.530;43119.000;18.000
18.07.17;8:24:02 AM;11.15;95.770;28.510;43132.000;18.000
18.07.17;8:24:17 AM;11.40;95.880;28.500;43128.000;18.000
18.07.17;8:24:32 AM;11.65;95.640;28.530;43123.000;18.000
18.07.17;8:24:47 AM;11.90;95.580;28.530;43119.000;18.000
18.07.17;8:25:02 AM;12.15;95.540;28.540;43133.000;18.000
18.07.17;8:25:17 AM;12.40;95.770;28.510;43149.000;18.000
18.07.17;8:25:32 AM;12.65;95.680;28.520;43126.000;18.000
18.07.17;8:25:47 AM;12.90;96.010;28.480;43165.000;18.000
18.07.17;8:26:02 AM;13.15;95.170;28.580;43156.000;18.000
18.07.17;8:26:17 AM;13.40;95.210;28.580;43157.000;18.000
18.07.17;8:26:32 AM;13.65;95.500;28.540;43171.000;18.000
18.07.17;8:26:47 AM;13.90;95.480;28.540;43147.000;18.000
18.07.17;8:27:02 AM;14.15;95.400;28.550;43147.000;18.000
18.07.17;8:27:17 AM;14.40;95.380;28.560;43167.000;18.000
18.07.17;8:27:32 AM;14.65;95.310;28.560;43168.000;18.000
18.07.17;8:27:47 AM;14.90;95.130;28.580;43173.000;18.000
18.07.17;8:28:02 AM;15.15;95.400;28.550;43155.000;18.000
18.07.17;8:28:17 AM;15.40;95.300;28.570;43168.000;18.000
18.07.17;8:28:32 AM;15.65;95.300;28.570;43179.000;18.000
18.07.17;8:28:47 AM;15.90;95.460;28.550;43166.000;18.000
18.07.17;8:29:02 AM;16.15;95.170;28.580;43134.000;18.000
18.07.17;8:29:17 AM;16.40;95.520;28.540;43188.000;18.000
18.07.17;8:29:32 AM;16.65;94.870;28.610;43183.000;18.000
18.07.17;8:29:47 AM;16.90;95.030;28.600;43210.000;18.000
18.07.17;8:30:02 AM;17.15;94.990;28.600;43189.000;18.000
