18.07.17/8:12 AM SW ver:OXY10v3_33
Header Ch-3
Description: TBN6-18
IDENTIFICATION
PHIboard number   : v1231475
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 104190
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 030000
100.00%a.s.phase 2: 27.68 at 020.0°C amp 033000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
18.07.17;8:12:44 AM;0.00;94.880;28.610;31548.000;18.000
18.07.17;8:12:49 AM;0.08;95.180;28.580;31540.000;18.000
18.07.17;8:13:04 AM;0.33;94.890;28.610;31523.000;18.000
18.07.17;8:13:18 AM;0.58;95.350;28.560;31542.000;18.000
18.07.17;8:13:33 AM;0.83;94.630;28.640;31526.000;18.000
18.07.17;8:13:48 AM;1.08;94.510;28.660;31555.000;18.000
18.07.17;8:14:03 AM;1.33;95.630;28.530;31547.000;18.000
18.07.17;8:14:18 AM;1.58;94.870;28.610;31515.000;18.000
18.07.17;8:14:33 AM;1.83;94.770;28.630;31508.000;18.000
18.07.17;8:14:48 AM;2.08;94.960;28.600;31513.000;18.000
18.07.17;8:15:04 AM;2.33;94.810;28.620;31498.000;18.000
18.07.17;8:15:19 AM;2.58;95.050;28.590;31522.000;18.000
18.07.17;8:15:33 AM;2.83;95.220;28.570;31522.000;18.000
18.07.17;8:15:49 AM;3.08;94.790;28.620;31547.000;18.000
18.07.17;8:16:03 AM;3.33;94.850;28.620;31506.000;18.000
18.07.17;8:16:19 AM;3.58;94.790;28.620;31509.000;18.000
18.07.17;8:16:33 AM;3.83;95.090;28.590;31514.000;18.000
18.07.17;8:16:48 AM;4.08;94.610;28.640;31518.000;18.000
18.07.17;8:17:03 AM;4.33;94.840;28.620;31515.000;18.000
