18.07.17/8:12 AM SW ver:OXY10v3_33
Header Ch-5
Description: WBI3-18
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 102998
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
18.07.17;8:12:45 AM;0.00;94.710;28.630;46201.000;18.000
18.07.17;8:12:46 AM;0.02;94.710;28.630;46187.000;18.000
18.07.17;8:12:53 AM;0.13;94.610;28.640;46154.000;18.000
18.07.17;8:13:07 AM;0.37;94.560;28.650;46132.000;18.000
18.07.17;8:13:22 AM;0.62;94.450;28.660;46149.000;18.000
18.07.17;8:13:37 AM;0.87;94.610;28.640;46112.000;18.000
18.07.17;8:13:52 AM;1.12;94.510;28.660;46096.000;18.000
18.07.17;8:14:07 AM;1.37;94.370;28.670;46072.000;18.000
18.07.17;8:14:22 AM;1.62;94.600;28.650;46065.000;18.000
18.07.17;8:14:37 AM;1.87;94.840;28.620;46049.000;18.000
18.07.17;8:14:52 AM;2.12;94.900;28.610;46013.000;18.000
18.07.17;8:15:07 AM;2.37;94.520;28.650;46010.000;18.000
18.07.17;8:15:22 AM;2.62;94.470;28.660;45996.000;18.000
18.07.17;8:15:37 AM;2.87;94.580;28.650;45948.000;18.000
18.07.17;8:15:52 AM;3.12;94.550;28.650;45965.000;18.000
18.07.17;8:16:07 AM;3.37;94.370;28.670;45972.000;18.000
18.07.17;8:16:22 AM;3.62;94.520;28.650;45925.000;18.000
18.07.17;8:16:37 AM;3.87;94.480;28.660;45913.000;18.000
18.07.17;8:16:52 AM;4.12;94.600;28.650;45911.000;18.000
18.07.17;8:17:07 AM;4.37;94.380;28.670;45902.000;18.000
18.07.17;8:17:22 AM;4.62;94.450;28.660;45878.000;18.000
18.07.17;8:17:37 AM;4.87;94.580;28.650;45852.000;18.000
18.07.17;8:17:52 AM;5.12;94.330;28.680;45862.000;18.000
18.07.17;8:18:07 AM;5.37;94.840;28.620;45834.000;18.000
18.07.17;8:18:22 AM;5.62;94.500;28.660;45820.000;18.000
18.07.17;8:18:37 AM;5.87;94.200;28.690;45813.000;18.000
18.07.17;8:18:52 AM;6.12;94.430;28.670;45802.000;18.000
18.07.17;8:19:07 AM;6.37;94.410;28.670;45793.000;18.000
18.07.17;8:19:22 AM;6.62;94.680;28.640;45750.000;18.000
18.07.17;8:19:37 AM;6.87;94.470;28.660;45742.000;18.000
18.07.17;8:19:52 AM;7.12;94.420;28.670;45750.000;18.000
