18.07.17/8:12 AM SW ver:OXY10v3_33
Header Ch-9
Description: WWJ1-18
IDENTIFICATION
PHIboard number   : v1231481
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 09

PARAMETERS
Signal LED current: 050
Ref LED current   : 072
Ref LED amplitude : 102275
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 034700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 023000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
18.07.17;8:12:50 AM;0.00;96.170;28.470;34835.000;18.000
18.07.17;8:12:52 AM;0.03;96.480;28.430;34808.000;18.000
18.07.17;8:13:00 AM;0.16;96.080;28.480;34813.000;18.000
18.07.17;8:13:15 AM;0.41;96.330;28.450;34841.000;18.000
18.07.17;8:13:30 AM;0.66;96.410;28.440;34840.000;18.000
18.07.17;8:13:45 AM;0.91;96.290;28.450;34832.000;18.000
18.07.17;8:14:00 AM;1.16;96.380;28.440;34839.000;18.000
18.07.17;8:14:15 AM;1.41;96.220;28.460;34850.000;18.000
18.07.17;8:14:30 AM;1.66;96.610;28.420;34857.000;18.000
18.07.17;8:14:45 AM;1.91;96.010;28.480;34867.000;18.000
18.07.17;8:15:00 AM;2.16;96.300;28.450;34859.000;18.000
18.07.17;8:15:15 AM;2.41;96.190;28.460;34876.000;18.000
18.07.17;8:15:30 AM;2.66;96.280;28.450;34863.000;18.000
18.07.17;8:15:45 AM;2.91;95.730;28.520;34882.000;18.000
18.07.17;8:16:00 AM;3.16;96.080;28.480;34876.000;18.000
18.07.17;8:16:15 AM;3.41;96.080;28.480;34876.000;18.000
18.07.17;8:16:30 AM;3.66;96.200;28.460;34897.000;18.000
18.07.17;8:16:45 AM;3.91;95.970;28.490;34889.000;18.000
18.07.17;8:17:00 AM;4.16;96.150;28.470;34925.000;18.000
18.07.17;8:17:15 AM;4.41;95.660;28.520;34922.000;18.000
18.07.17;8:17:30 AM;4.66;95.620;28.530;34920.000;18.000
18.07.17;8:17:45 AM;4.91;95.880;28.500;34934.000;18.000
18.07.17;8:18:00 AM;5.16;95.650;28.530;34923.000;18.000
18.07.17;8:18:15 AM;5.41;95.620;28.530;34922.000;18.000
18.07.17;8:18:30 AM;5.66;95.610;28.530;34940.000;18.000
18.07.17;8:18:45 AM;5.91;95.720;28.520;34950.000;18.000
18.07.17;8:19:00 AM;6.16;95.610;28.530;34955.000;18.000
18.07.17;8:19:15 AM;6.41;95.740;28.510;34941.000;18.000
18.07.17;8:19:30 AM;6.66;95.680;28.520;34929.000;18.000
18.07.17;8:19:45 AM;6.91;95.320;28.560;34949.000;18.000
18.07.17;8:20:00 AM;7.16;95.230;28.570;34967.000;18.000
18.07.17;8:20:15 AM;7.41;95.330;28.560;34978.000;18.000
18.07.17;8:20:30 AM;7.66;95.230;28.570;34972.000;18.000
