18.07.17/10:27 AM SW ver:OXY10v3_33
Header Ch-2
Description: DRIFT-22
IDENTIFICATION
PHIboard number   : v1231474
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 075
Ref LED amplitude : 100994
Frequency         : 006
Sending interval  : 0001
Averaging         : 3
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 029100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 029400
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
18.07.17;10:27:28 AM;0.00;95.380;27.820;13077.000;22.000
18.07.17;10:27:36 AM;0.14;97.050;27.630;13090.000;22.000
18.07.17;10:27:51 AM;0.39;97.010;27.640;13106.000;22.000
18.07.17;10:28:06 AM;0.64;96.460;27.700;13035.000;22.000
18.07.17;10:28:21 AM;0.89;96.390;27.710;13130.000;22.000
18.07.17;10:28:36 AM;1.14;96.570;27.690;13041.000;22.000
18.07.17;10:28:51 AM;1.39;98.270;27.500;13085.000;22.000
18.07.17;10:29:06 AM;1.64;96.360;27.710;13063.000;22.000
18.07.17;10:29:21 AM;1.89;95.790;27.770;13071.000;22.000
18.07.17;10:29:36 AM;2.14;97.440;27.590;13087.000;22.000
18.07.17;10:29:51 AM;2.39;96.980;27.640;13072.000;22.000
18.07.17;10:30:06 AM;2.64;95.420;27.820;13054.000;22.000
18.07.17;10:30:21 AM;2.89;96.630;27.680;13065.000;22.000
18.07.17;10:30:36 AM;3.14;96.230;27.720;13092.000;22.000
18.07.17;10:30:51 AM;3.39;96.950;27.650;13097.000;22.000
18.07.17;10:31:06 AM;3.64;97.550;27.580;13079.000;22.000
18.07.17;10:31:21 AM;3.89;95.910;27.760;13057.000;22.000
18.07.17;10:31:36 AM;4.14;96.250;27.720;13063.000;22.000
18.07.17;10:31:51 AM;4.39;96.580;27.690;13066.000;22.000
18.07.17;10:32:06 AM;4.64;97.560;27.580;13050.000;22.000
18.07.17;10:32:21 AM;4.89;95.880;27.760;13081.000;22.000
18.07.17;10:32:36 AM;5.14;96.630;27.680;13078.000;22.000
18.07.17;10:32:51 AM;5.39;96.440;27.700;13092.000;22.000
18.07.17;10:33:06 AM;5.64;96.180;27.730;13090.000;22.000
18.07.17;10:33:21 AM;5.89;96.080;27.740;13041.000;22.000
18.07.17;10:33:36 AM;6.14;96.870;27.650;13053.000;22.000
18.07.17;10:33:51 AM;6.39;96.180;27.730;13088.000;22.000
18.07.17;10:34:06 AM;6.64;97.740;27.560;13045.000;22.000
18.07.17;10:34:21 AM;6.89;97.150;27.620;13085.000;22.000
18.07.17;10:34:36 AM;7.14;97.520;27.580;13063.000;22.000
18.07.17;10:34:51 AM;7.39;96.540;27.690;13066.000;22.000
18.07.17;10:35:06 AM;7.64;96.630;27.680;13067.000;22.000
18.07.17;10:35:21 AM;7.89;96.770;27.660;13055.000;22.000
18.07.17;10:35:36 AM;8.14;96.070;27.740;13092.000;22.000
18.07.17;10:35:51 AM;8.39;96.100;27.740;13088.000;22.000
18.07.17;10:36:06 AM;8.64;96.990;27.640;13078.000;22.000
18.07.17;10:36:21 AM;8.89;96.690;27.670;13077.000;22.000
18.07.17;10:36:36 AM;9.14;95.710;27.780;13061.000;22.000
18.07.17;10:36:51 AM;9.39;96.080;27.740;13062.000;22.000
18.07.17;10:37:06 AM;9.64;97.680;27.560;13075.000;22.000
18.07.17;10:37:21 AM;9.89;97.780;27.550;13069.000;22.000
18.07.17;10:37:36 AM;10.14;96.840;27.660;13024.000;22.000
18.07.17;10:37:51 AM;10.39;96.170;27.730;13082.000;22.000
18.07.17;10:38:06 AM;10.64;96.120;27.740;13107.000;22.000
18.07.17;10:38:21 AM;10.89;97.070;27.630;13059.000;22.000
18.07.17;10:38:36 AM;11.14;96.680;27.670;13050.000;22.000
18.07.17;10:38:51 AM;11.39;96.710;27.670;13024.000;22.000
18.07.17;10:39:06 AM;11.64;96.920;27.650;13064.000;22.000
18.07.17;10:39:21 AM;11.89;95.610;27.790;13087.000;22.000
18.07.17;10:39:36 AM;12.14;95.930;27.760;13084.000;22.000
18.07.17;10:39:51 AM;12.39;97.620;27.570;13090.000;22.000
18.07.17;10:40:06 AM;12.64;96.400;27.710;13070.000;22.000
18.07.17;10:40:21 AM;12.89;96.130;27.740;13088.000;22.000
18.07.17;10:40:36 AM;13.14;96.870;27.650;13075.000;22.000
18.07.17;10:40:51 AM;13.39;95.960;27.750;13064.000;22.000
18.07.17;10:41:06 AM;13.64;97.500;27.580;13085.000;22.000
18.07.17;10:41:21 AM;13.89;95.470;27.810;13046.000;22.000
18.07.17;10:41:36 AM;14.14;96.250;27.720;13071.000;22.000
18.07.17;10:41:51 AM;14.39;96.530;27.690;13029.000;22.000
18.07.17;10:42:06 AM;14.64;96.720;27.670;13076.000;22.000
18.07.17;10:42:21 AM;14.89;95.630;27.790;13099.000;22.000
18.07.17;10:42:36 AM;15.14;94.670;27.900;13054.000;22.000
18.07.17;10:42:51 AM;15.39;95.680;27.790;13045.000;22.000
18.07.17;10:43:06 AM;15.64;96.140;27.730;13062.000;22.000
18.07.17;10:43:21 AM;15.89;98.030;27.530;13063.000;22.000
18.07.17;10:43:36 AM;16.14;95.900;27.760;13051.000;22.000
18.07.17;10:43:51 AM;16.39;95.960;27.760;13029.000;22.000
18.07.17;10:44:06 AM;16.64;98.060;27.520;13057.000;22.000
18.07.17;10:44:21 AM;16.89;96.090;27.740;13095.000;22.000
18.07.17;10:44:36 AM;17.14;96.990;27.640;13037.000;22.000
18.07.17;10:44:51 AM;17.39;96.850;27.660;13029.000;22.000
18.07.17;10:45:06 AM;17.64;96.300;27.720;13036.000;22.000
18.07.17;10:45:21 AM;17.89;95.650;27.790;13076.000;22.000
18.07.17;10:45:36 AM;18.14;95.930;27.760;13076.000;22.000
18.07.17;10:45:51 AM;18.39;95.880;27.760;13062.000;22.000
18.07.17;10:46:06 AM;18.64;96.680;27.670;13057.000;22.000
18.07.17;10:46:21 AM;18.89;96.720;27.670;13081.000;22.000
18.07.17;10:46:36 AM;19.14;96.340;27.710;13065.000;22.000
18.07.17;10:46:51 AM;19.39;96.320;27.710;13076.000;22.000
18.07.17;10:47:06 AM;19.64;96.960;27.640;13090.000;22.000
18.07.17;10:47:21 AM;19.89;97.140;27.620;13053.000;22.000
18.07.17;10:47:36 AM;20.14;96.280;27.720;13043.000;22.000
18.07.17;10:47:51 AM;20.39;96.680;27.670;13030.000;22.000
18.07.17;10:48:06 AM;20.64;97.380;27.600;13085.000;22.000
18.07.17;10:48:21 AM;20.89;96.010;27.750;13054.000;22.000
18.07.17;10:48:36 AM;21.14;97.020;27.640;13085.000;22.000
18.07.17;10:48:51 AM;21.39;94.630;27.900;13082.000;22.000
