18.07.17/10:27 AM SW ver:OXY10v3_33
Header Ch-3
Description: TBN6-22
IDENTIFICATION
PHIboard number   : v1231475
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 104190
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 030000
100.00%a.s.phase 2: 27.68 at 020.0°C amp 033000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
18.07.17;10:27:29 AM;0.00;94.490;27.920;28854.000;22.000
18.07.17;10:27:38 AM;0.16;95.180;27.840;28860.000;22.000
18.07.17;10:27:53 AM;0.41;94.840;27.880;28832.000;22.000
18.07.17;10:28:08 AM;0.66;94.620;27.910;28876.000;22.000
18.07.17;10:28:23 AM;0.91;95.260;27.830;28877.000;22.000
18.07.17;10:28:38 AM;1.16;94.860;27.880;28903.000;22.000
18.07.17;10:28:53 AM;1.41;95.140;27.850;28863.000;22.000
18.07.17;10:29:08 AM;1.66;95.220;27.840;28868.000;22.000
18.07.17;10:29:23 AM;1.91;94.810;27.880;28859.000;22.000
18.07.17;10:29:38 AM;2.16;94.840;27.880;28831.000;22.000
18.07.17;10:29:53 AM;2.41;94.730;27.890;28851.000;22.000
18.07.17;10:30:08 AM;2.66;95.040;27.860;28831.000;22.000
18.07.17;10:30:23 AM;2.91;94.750;27.890;28897.000;22.000
18.07.17;10:30:38 AM;3.16;94.270;27.950;28923.000;22.000
18.07.17;10:30:53 AM;3.41;94.690;27.900;28875.000;22.000
18.07.17;10:31:08 AM;3.66;95.220;27.840;28898.000;22.000
18.07.17;10:31:23 AM;3.91;94.830;27.880;28850.000;22.000
18.07.17;10:31:38 AM;4.16;94.040;27.970;28894.000;22.000
18.07.17;10:31:53 AM;4.41;94.650;27.900;28888.000;22.000
18.07.17;10:32:08 AM;4.66;94.310;27.940;28883.000;22.000
18.07.17;10:32:23 AM;4.91;94.650;27.900;28904.000;22.000
18.07.17;10:32:38 AM;5.16;94.790;27.890;28892.000;22.000
18.07.17;10:32:53 AM;5.41;95.190;27.840;28880.000;22.000
18.07.17;10:33:08 AM;5.66;94.580;27.910;28907.000;22.000
18.07.17;10:33:23 AM;5.91;94.800;27.890;28891.000;22.000
18.07.17;10:33:38 AM;6.16;94.050;27.970;28907.000;22.000
18.07.17;10:33:53 AM;6.41;94.700;27.900;28880.000;22.000
18.07.17;10:34:08 AM;6.66;94.840;27.880;28850.000;22.000
18.07.17;10:34:23 AM;6.91;94.550;27.910;28868.000;22.000
18.07.17;10:34:38 AM;7.16;94.880;27.880;28886.000;22.000
18.07.17;10:34:53 AM;7.41;94.470;27.920;28907.000;22.000
18.07.17;10:35:08 AM;7.66;94.300;27.940;28911.000;22.000
18.07.17;10:35:23 AM;7.91;94.350;27.940;28887.000;22.000
18.07.17;10:35:38 AM;8.16;95.100;27.850;28898.000;22.000
18.07.17;10:35:53 AM;8.41;94.980;27.870;28893.000;22.000
18.07.17;10:36:08 AM;8.66;95.080;27.850;28872.000;22.000
18.07.17;10:36:23 AM;8.91;94.350;27.940;28895.000;22.000
18.07.17;10:36:38 AM;9.16;93.990;27.980;28921.000;22.000
18.07.17;10:36:53 AM;9.41;94.510;27.920;28969.000;22.000
18.07.17;10:37:08 AM;9.66;93.880;27.990;28909.000;22.000
18.07.17;10:37:23 AM;9.91;94.020;27.970;28899.000;22.000
18.07.17;10:37:38 AM;10.16;94.430;27.930;28947.000;22.000
18.07.17;10:37:53 AM;10.41;94.730;27.890;28923.000;22.000
18.07.17;10:38:08 AM;10.66;93.850;27.990;28918.000;22.000
18.07.17;10:38:23 AM;10.91;93.910;27.990;28956.000;22.000
18.07.17;10:38:38 AM;11.16;94.680;27.900;28952.000;22.000
18.07.17;10:38:53 AM;11.41;93.980;27.980;28943.000;22.000
18.07.17;10:39:08 AM;11.66;94.220;27.950;28941.000;22.000
18.07.17;10:39:23 AM;11.91;93.820;28.000;28988.000;22.000
18.07.17;10:39:38 AM;12.16;94.320;27.940;28954.000;22.000
18.07.17;10:39:53 AM;12.41;93.720;28.010;28959.000;22.000
18.07.17;10:40:08 AM;12.66;94.500;27.920;28980.000;22.000
18.07.17;10:40:23 AM;12.91;94.050;27.970;28910.000;22.000
18.07.17;10:40:38 AM;13.16;94.410;27.930;28965.000;22.000
18.07.17;10:40:53 AM;13.41;92.830;28.110;28962.000;22.000
18.07.17;10:41:08 AM;13.66;93.740;28.010;28973.000;22.000
18.07.17;10:41:23 AM;13.91;94.510;27.920;28986.000;22.000
18.07.17;10:41:38 AM;14.16;94.690;27.900;28969.000;22.000
18.07.17;10:41:53 AM;14.41;93.630;28.020;28977.000;22.000
18.07.17;10:42:08 AM;14.66;93.620;28.020;28998.000;22.000
18.07.17;10:42:23 AM;14.91;94.330;27.940;29011.000;22.000
18.07.17;10:42:38 AM;15.16;94.480;27.920;28987.000;22.000
18.07.17;10:42:53 AM;15.41;93.570;28.030;29011.000;22.000
18.07.17;10:43:08 AM;15.66;94.260;27.950;29001.000;22.000
18.07.17;10:43:23 AM;15.91;93.650;28.020;28976.000;22.000
18.07.17;10:43:38 AM;16.16;93.240;28.060;29023.000;22.000
18.07.17;10:43:53 AM;16.41;93.830;28.000;28998.000;22.000
18.07.17;10:44:08 AM;16.66;93.910;27.990;29013.000;22.000
18.07.17;10:44:23 AM;16.91;94.300;27.940;29011.000;22.000
18.07.17;10:44:38 AM;17.16;93.510;28.030;29044.000;22.000
18.07.17;10:44:53 AM;17.41;93.920;27.990;28993.000;22.000
18.07.17;10:45:08 AM;17.66;93.050;28.090;29020.000;22.000
18.07.17;10:45:23 AM;17.91;94.190;27.960;29005.000;22.000
18.07.17;10:45:38 AM;18.16;94.210;27.950;29038.000;22.000
18.07.17;10:45:53 AM;18.41;92.970;28.100;29036.000;22.000
18.07.17;10:46:08 AM;18.66;93.450;28.040;29005.000;22.000
18.07.17;10:46:23 AM;18.91;93.140;28.080;29023.000;22.000
18.07.17;10:46:38 AM;19.16;93.680;28.010;29061.000;22.000
18.07.17;10:46:53 AM;19.41;93.840;28.000;29043.000;22.000
18.07.17;10:47:08 AM;19.66;93.400;28.050;29063.000;22.000
18.07.17;10:47:23 AM;19.91;93.520;28.030;28992.000;22.000
18.07.17;10:47:38 AM;20.16;92.950;28.100;29027.000;22.000
18.07.17;10:47:53 AM;20.41;93.380;28.050;29059.000;22.000
18.07.17;10:48:08 AM;20.66;93.490;28.040;29063.000;22.000
18.07.17;10:48:23 AM;20.91;92.940;28.100;29034.000;22.000
18.07.17;10:48:38 AM;21.16;92.780;28.120;29068.000;22.000
