Chamber	Time/hh:mm:ss	Logtime/min	Oxy/% air sat.	Phase/°	Amp	Temp/°C	% air-sat.	% oxygen	pO2 (hPa)	pO2 (Torr)	cO2 [mg/L]	cO2 [µmol/L]	Salinity	chlorinity	SalCorcO2 [mg/L]	SalCorcO2 [µmol/L]
6	10:27:30	0.00	96.430	27.700	36604.000	22.000	96.499331	20.2166099	199.435496	149.589337	8.40638596	262.699561	35	19.3739612	6.86567106	214.552221
6	10:27:44	0.23	97.130	27.630	36593.000	22.000	97.132652	20.3492907	200.744383	150.571086	8.46155674	264.423648	35	19.3739612	6.91073019	215.960318
6	10:27:59	0.48	96.980	27.640	36600.000	22.000	97.041865	20.3302708	200.556753	150.430351	8.45364796	264.176499	35	19.3739612	6.90427092	215.758466
6	10:28:14	0.73	96.690	27.670	36635.000	22.000	96.770130	20.2733423	199.995157	150.009118	8.42997618	263.436756	35	19.3739612	6.88493769	215.154303
6	10:28:29	0.98	96.210	27.730	36615.000	22.000	96.229464	20.1600728	198.877761	149.171000	8.38287693	261.964904	35	19.3739612	6.84647074	213.952211
6	10:28:44	1.23	96.680	27.670	36628.000	22.000	96.770130	20.2733423	199.995157	150.009118	8.42997618	263.436756	35	19.3739612	6.88493769	215.154303
6	10:28:59	1.48	96.620	27.680	36597.000	22.000	96.679760	20.2544097	199.808389	149.869030	8.42210373	263.190742	35	19.3739612	6.87850809	214.953378
6	10:29:14	1.73	96.080	27.740	36672.000	22.000	96.139715	20.1412703	198.692276	149.031874	8.37505857	261.720580	35	19.3739612	6.84008532	213.752666
6	10:29:29	1.98	96.620	27.680	36615.000	22.000	96.679760	20.2544097	199.808389	149.869030	8.42210373	263.190742	35	19.3739612	6.87850809	214.953378
6	10:29:44	2.23	96.490	27.700	36627.000	22.000	96.499331	20.2166099	199.435496	149.589337	8.40638596	262.699561	35	19.3739612	6.86567106	214.552221
6	10:29:59	2.48	96.720	27.670	36629.000	22.000	96.770130	20.2733423	199.995157	150.009118	8.42997618	263.436756	35	19.3739612	6.88493769	215.154303
6	10:30:14	2.73	96.900	27.650	36647.000	22.000	96.951183	20.3112728	200.369339	150.289779	8.44574828	263.929634	35	19.3739612	6.89781909	215.556847
6	10:30:29	2.98	97.060	27.630	36649.000	22.000	97.132652	20.3492907	200.744383	150.571086	8.46155674	264.423648	35	19.3739612	6.91073019	215.960318
6	10:30:44	3.23	96.300	27.720	36639.000	22.000	96.319317	20.1788968	199.063459	149.310286	8.39070427	262.209508	35	19.3739612	6.85286350	214.151984
6	10:30:59	3.48	96.710	27.670	36654.000	22.000	96.770130	20.2733423	199.995157	150.009118	8.42997618	263.436756	35	19.3739612	6.88493769	215.154303
6	10:31:14	3.73	96.690	27.670	36662.000	22.000	96.770130	20.2733423	199.995157	150.009118	8.42997618	263.436756	35	19.3739612	6.88493769	215.154303
6	10:31:29	3.98	95.880	27.760	36631.000	22.000	95.960525	20.1037300	198.321944	148.754102	8.35944874	261.232773	35	19.3739612	6.82733645	213.354264
6	10:31:44	4.23	96.810	27.660	36666.000	22.000	96.860604	20.2922966	200.182140	150.149368	8.43785770	263.683053	35	19.3739612	6.89137468	215.355459
6	10:31:59	4.48	96.630	27.680	36642.000	22.000	96.679760	20.2544097	199.808389	149.869030	8.42210373	263.190742	35	19.3739612	6.87850809	214.953378
6	10:32:14	4.73	95.630	27.790	36655.000	22.000	95.692510	20.0475809	197.768036	148.338636	8.33610103	260.503157	35	19.3739612	6.80826789	212.758372
6	10:32:29	4.98	96.680	27.670	36685.000	22.000	96.770130	20.2733423	199.995157	150.009118	8.42997618	263.436756	35	19.3739612	6.88493769	215.154303
6	10:32:44	5.23	97.050	27.630	36699.000	22.000	97.132652	20.3492907	200.744383	150.571086	8.46155674	264.423648	35	19.3739612	6.91073019	215.960318
