18.07.17/10:27 AM SW ver:OXY10v3_33
Header Ch-7
Description: WBK1-22
IDENTIFICATION
PHIboard number   : v1231479
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 07

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 96149
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 040800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 027000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
18.07.17;10:27:31 AM;0.00;94.350;27.940;31440.000;22.000
18.07.17;10:27:46 AM;0.25;93.960;27.980;31449.000;22.000
18.07.17;10:28:01 AM;0.50;94.210;27.950;31509.000;22.000
18.07.17;10:28:16 AM;0.75;94.410;27.930;31516.000;22.000
18.07.17;10:28:31 AM;1.00;94.260;27.950;31461.000;22.000
18.07.17;10:28:46 AM;1.25;94.300;27.940;31480.000;22.000
18.07.17;10:29:01 AM;1.50;95.140;27.850;31488.000;22.000
18.07.17;10:29:16 AM;1.75;94.330;27.940;31471.000;22.000
18.07.17;10:29:31 AM;2.00;95.170;27.840;31492.000;22.000
18.07.17;10:29:46 AM;2.25;94.830;27.880;31497.000;22.000
18.07.17;10:30:01 AM;2.50;94.750;27.890;31449.000;22.000
18.07.17;10:30:16 AM;2.75;94.550;27.910;31512.000;22.000
18.07.17;10:30:31 AM;3.00;94.000;27.980;31537.000;22.000
18.07.17;10:30:46 AM;3.25;94.030;27.970;31491.000;22.000
18.07.17;10:31:01 AM;3.50;94.730;27.890;31501.000;22.000
18.07.17;10:31:16 AM;3.75;94.770;27.890;31510.000;22.000
18.07.17;10:31:31 AM;4.00;94.010;27.980;31515.000;22.000
18.07.17;10:31:46 AM;4.25;94.540;27.920;31507.000;22.000
18.07.17;10:32:01 AM;4.50;94.560;27.910;31515.000;22.000
18.07.17;10:32:16 AM;4.75;94.150;27.960;31513.000;22.000
18.07.17;10:32:31 AM;5.00;94.170;27.960;31509.000;22.000
18.07.17;10:32:46 AM;5.25;93.790;28.000;31511.000;22.000
18.07.17;10:33:01 AM;5.50;94.050;27.970;31525.000;22.000
18.07.17;10:33:16 AM;5.75;94.330;27.940;31516.000;22.000
18.07.17;10:33:31 AM;6.00;94.760;27.890;31528.000;22.000
18.07.17;10:33:46 AM;6.25;93.620;28.020;31514.000;22.000
18.07.17;10:34:01 AM;6.50;94.640;27.900;31528.000;22.000
18.07.17;10:34:16 AM;6.75;94.070;27.970;31511.000;22.000
18.07.17;10:34:31 AM;7.00;94.610;27.910;31540.000;22.000
18.07.17;10:34:46 AM;7.25;93.800;28.000;31545.000;22.000
18.07.17;10:35:01 AM;7.50;94.770;27.890;31516.000;22.000
18.07.17;10:35:16 AM;7.75;94.760;27.890;31561.000;22.000
18.07.17;10:35:31 AM;8.00;93.880;27.990;31519.000;22.000
18.07.17;10:35:46 AM;8.25;94.320;27.940;31549.000;22.000
18.07.17;10:36:01 AM;8.50;94.460;27.920;31549.000;22.000
18.07.17;10:36:16 AM;8.75;94.020;27.970;31545.000;22.000
18.07.17;10:36:31 AM;9.00;94.370;27.930;31539.000;22.000
18.07.17;10:36:46 AM;9.25;94.200;27.950;31537.000;22.000
18.07.17;10:37:01 AM;9.50;94.560;27.910;31584.000;22.000
18.07.17;10:37:16 AM;9.75;94.630;27.900;31562.000;22.000
18.07.17;10:37:31 AM;10.00;94.310;27.940;31555.000;22.000
18.07.17;10:37:46 AM;10.25;94.330;27.940;31540.000;22.000
18.07.17;10:38:01 AM;10.50;94.210;27.950;31615.000;22.000
18.07.17;10:38:16 AM;10.75;93.830;28.000;31572.000;22.000
18.07.17;10:38:31 AM;11.00;94.480;27.920;31584.000;22.000
18.07.17;10:38:46 AM;11.25;94.070;27.970;31596.000;22.000
18.07.17;10:39:01 AM;11.50;93.920;27.990;31577.000;22.000
18.07.17;10:39:16 AM;11.75;93.960;27.980;31576.000;22.000
18.07.17;10:39:31 AM;12.00;93.990;27.980;31599.000;22.000
18.07.17;10:39:46 AM;12.25;94.000;27.980;31589.000;22.000
18.07.17;10:40:01 AM;12.50;93.780;28.000;31601.000;22.000
18.07.17;10:40:16 AM;12.75;94.470;27.920;31612.000;22.000
18.07.17;10:40:31 AM;13.00;93.660;28.020;31595.000;22.000
18.07.17;10:40:46 AM;13.25;93.410;28.040;31595.000;22.000
18.07.17;10:41:01 AM;13.50;93.520;28.030;31607.000;22.000
18.07.17;10:41:16 AM;13.75;94.120;27.960;31596.000;22.000
18.07.17;10:41:31 AM;14.00;94.550;27.910;31608.000;22.000
18.07.17;10:41:46 AM;14.25;93.940;27.980;31612.000;22.000
18.07.17;10:42:01 AM;14.50;93.690;28.010;31603.000;22.000
18.07.17;10:42:16 AM;14.75;93.730;28.010;31604.000;22.000
18.07.17;10:42:31 AM;15.00;93.620;28.020;31653.000;22.000
18.07.17;10:42:46 AM;15.25;93.740;28.010;31629.000;22.000
18.07.17;10:43:01 AM;15.50;93.460;28.040;31605.000;22.000
18.07.17;10:43:16 AM;15.75;93.710;28.010;31608.000;22.000
18.07.17;10:43:31 AM;16.00;94.180;27.960;31645.000;22.000
18.07.17;10:43:46 AM;16.25;93.260;28.060;31623.000;22.000
18.07.17;10:44:01 AM;16.50;93.820;28.000;31651.000;22.000
18.07.17;10:44:16 AM;16.75;93.430;28.040;31699.000;22.000
18.07.17;10:44:31 AM;17.00;93.520;28.030;31657.000;22.000
18.07.17;10:44:46 AM;17.25;93.450;28.040;31681.000;22.000
18.07.17;10:45:01 AM;17.50;93.380;28.050;31659.000;22.000
18.07.17;10:45:16 AM;17.75;93.920;27.990;31690.000;22.000
18.07.17;10:45:31 AM;18.00;93.860;27.990;31657.000;22.000
18.07.17;10:45:46 AM;18.25;93.390;28.050;31696.000;22.000
18.07.17;10:46:01 AM;18.50;93.810;28.000;31669.000;22.000
18.07.17;10:46:16 AM;18.75;92.910;28.100;31683.000;22.000
18.07.17;10:46:31 AM;19.00;93.410;28.040;31680.000;22.000
18.07.17;10:46:46 AM;19.25;93.990;27.980;31682.000;22.000
18.07.17;10:47:01 AM;19.50;93.660;28.020;31671.000;22.000
18.07.17;10:47:16 AM;19.75;93.960;27.980;31725.000;22.000
18.07.17;10:47:31 AM;20.00;94.030;27.970;31731.000;22.000
18.07.17;10:47:46 AM;20.25;93.810;28.000;31682.000;22.000
18.07.17;10:48:01 AM;20.50;93.200;28.070;31725.000;22.000
18.07.17;10:48:16 AM;20.75;93.470;28.040;31725.000;22.000
18.07.17;10:48:31 AM;21.00;92.770;28.120;31683.000;22.000
18.07.17;10:48:46 AM;21.25;93.120;28.080;31700.000;22.000
