18.07.17/9:53 AM SW ver:OXY10v3_33
Header Ch-4
Description: TWK3-22
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 98081
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
18.07.17;9:53:27 AM;0.00;94.480;27.920;36712.000;22.000
18.07.17;9:53:40 AM;0.22;95.080;27.850;36724.000;22.000
18.07.17;9:53:55 AM;0.47;94.880;27.880;36715.000;22.000
18.07.17;9:54:10 AM;0.72;94.720;27.890;36685.000;22.000
18.07.17;9:54:25 AM;0.97;93.880;27.990;36686.000;22.000
18.07.17;9:54:40 AM;1.22;94.570;27.910;36676.000;22.000
18.07.17;9:54:55 AM;1.47;94.530;27.920;36738.000;22.000
18.07.17;9:55:10 AM;1.72;94.410;27.930;36713.000;22.000
18.07.17;9:55:25 AM;1.97;94.790;27.890;36704.000;22.000
18.07.17;9:55:40 AM;2.22;94.840;27.880;36728.000;22.000
18.07.17;9:55:55 AM;2.47;94.650;27.900;36709.000;22.000
18.07.17;9:56:10 AM;2.72;94.950;27.870;36733.000;22.000
18.07.17;9:56:25 AM;2.97;94.470;27.920;36727.000;22.000
18.07.17;9:56:40 AM;3.22;94.620;27.910;36727.000;22.000
18.07.17;9:56:55 AM;3.47;94.350;27.940;36742.000;22.000
18.07.17;9:57:10 AM;3.72;94.620;27.910;36728.000;22.000
18.07.17;9:57:25 AM;3.97;94.730;27.890;36745.000;22.000
18.07.17;9:57:40 AM;4.22;94.330;27.940;36754.000;22.000
18.07.17;9:57:55 AM;4.47;93.810;28.000;36743.000;22.000
18.07.17;9:58:10 AM;4.72;94.180;27.960;36747.000;22.000
18.07.17;9:58:25 AM;4.97;94.490;27.920;36763.000;22.000
18.07.17;9:58:40 AM;5.22;94.500;27.920;36742.000;22.000
18.07.17;9:58:55 AM;5.47;94.090;27.970;36751.000;22.000
18.07.17;9:59:10 AM;5.72;94.550;27.910;36758.000;22.000
18.07.17;9:59:25 AM;5.97;94.070;27.970;36769.000;22.000
18.07.17;9:59:40 AM;6.22;94.180;27.960;36770.000;22.000
18.07.17;9:59:55 AM;6.47;94.230;27.950;36779.000;22.000
18.07.17;10:00:10 AM;6.72;94.120;27.960;36784.000;22.000
18.07.17;10:00:25 AM;6.97;94.330;27.940;36779.000;22.000
18.07.17;10:00:40 AM;7.22;94.540;27.920;36800.000;22.000
18.07.17;10:00:55 AM;7.47;94.090;27.970;36793.000;22.000
18.07.17;10:01:10 AM;7.72;94.140;27.960;36796.000;22.000
18.07.17;10:01:25 AM;7.97;94.070;27.970;36820.000;22.000
18.07.17;10:01:40 AM;8.22;93.940;27.980;36807.000;22.000
18.07.17;10:01:55 AM;8.47;93.650;28.020;36800.000;22.000
18.07.17;10:02:10 AM;8.72;93.780;28.000;36826.000;22.000
18.07.17;10:02:25 AM;8.97;94.200;27.950;36801.000;22.000
