18.07.17/12:13 PM SW ver:OXY10v3_33
Header Ch-6
Description: TBI1-26
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 100520
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
18.07.17;12:13:34 PM;0.00;96.790;26.960;35556.000;26.000
18.07.17;12:13:49 PM;0.25;96.630;26.980;35589.000;26.000
18.07.17;12:14:04 PM;0.50;95.690;27.080;35580.000;26.000
18.07.17;12:14:19 PM;0.75;96.470;26.990;35618.000;26.000
18.07.17;12:14:34 PM;1.00;95.760;27.070;35591.000;26.000
18.07.17;12:14:49 PM;1.25;96.870;26.950;35608.000;26.000
18.07.17;12:15:04 PM;1.50;95.990;27.050;35613.000;26.000
18.07.17;12:15:19 PM;1.75;95.090;27.150;35638.000;26.000
18.07.17;12:15:34 PM;2.00;95.520;27.100;35657.000;26.000
18.07.17;12:15:49 PM;2.25;96.310;27.010;35658.000;26.000
18.07.17;12:16:04 PM;2.50;95.650;27.080;35674.000;26.000
18.07.17;12:16:19 PM;2.75;96.100;27.030;35596.000;26.000
18.07.17;12:16:34 PM;3.00;96.670;26.970;35643.000;26.000
18.07.17;12:16:49 PM;3.25;95.980;27.050;35644.000;26.000
18.07.17;12:17:04 PM;3.50;96.090;27.040;35592.000;26.000
18.07.17;12:17:19 PM;3.75;96.200;27.020;35622.000;26.000
