18.07.17/12:13 PM SW ver:OXY10v3_33
Header Ch-7
Description: WBK1-26
IDENTIFICATION
PHIboard number   : v1231479
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 07

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 96149
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 040800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 027000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
18.07.17;12:13:36 PM;0.00;94.100;27.260;30439.000;26.000
18.07.17;12:13:51 PM;0.25;94.400;27.220;30460.000;26.000
18.07.17;12:14:06 PM;0.50;94.250;27.240;30499.000;26.000
18.07.17;12:14:21 PM;0.75;93.820;27.290;30450.000;26.000
18.07.17;12:14:36 PM;1.00;94.420;27.220;30465.000;26.000
18.07.17;12:14:51 PM;1.25;94.630;27.200;30469.000;26.000
18.07.17;12:15:06 PM;1.50;94.370;27.230;30470.000;26.000
18.07.17;12:15:21 PM;1.75;93.940;27.270;30519.000;26.000
18.07.17;12:15:36 PM;2.00;93.890;27.280;30514.000;26.000
18.07.17;12:15:51 PM;2.25;94.170;27.250;30491.000;26.000
18.07.17;12:16:06 PM;2.50;93.980;27.270;30490.000;26.000
18.07.17;12:16:21 PM;2.75;94.350;27.230;30501.000;26.000
18.07.17;12:16:36 PM;3.00;93.750;27.300;30492.000;26.000
18.07.17;12:16:51 PM;3.25;93.930;27.280;30498.000;26.000
18.07.17;12:17:06 PM;3.50;94.260;27.240;30499.000;26.000
18.07.17;12:17:21 PM;3.75;94.070;27.260;30513.000;26.000
18.07.17;12:17:36 PM;4.00;93.520;27.320;30511.000;26.000
18.07.17;12:17:51 PM;4.25;93.790;27.290;30501.000;26.000
18.07.17;12:18:06 PM;4.50;93.750;27.300;30550.000;26.000
18.07.17;12:18:21 PM;4.75;93.350;27.340;30524.000;26.000
18.07.17;12:18:36 PM;5.00;93.870;27.280;30508.000;26.000
18.07.17;12:18:51 PM;5.25;94.110;27.260;30534.000;26.000
18.07.17;12:19:06 PM;5.50;93.670;27.300;30552.000;26.000
18.07.17;12:19:21 PM;5.75;93.680;27.300;30561.000;26.000
18.07.17;12:19:36 PM;6.00;93.270;27.350;30537.000;26.000
18.07.17;12:19:51 PM;6.25;93.530;27.320;30576.000;26.000
18.07.17;12:20:06 PM;6.50;93.800;27.290;30559.000;26.000
18.07.17;12:20:21 PM;6.75;93.720;27.300;30514.000;26.000
18.07.17;12:20:36 PM;7.00;93.660;27.310;30568.000;26.000
18.07.17;12:20:51 PM;7.25;93.300;27.350;30553.000;26.000
18.07.17;12:21:06 PM;7.50;92.980;27.380;30567.000;26.000
18.07.17;12:21:21 PM;7.75;92.940;27.390;30565.000;26.000
18.07.17;12:21:36 PM;8.00;93.570;27.320;30544.000;26.000
18.07.17;12:21:51 PM;8.25;93.710;27.300;30591.000;26.000
18.07.17;12:22:06 PM;8.50;93.120;27.370;30593.000;26.000
18.07.17;12:22:21 PM;8.75;93.360;27.340;30581.000;26.000
18.07.17;12:22:36 PM;9.00;93.320;27.340;30613.000;26.000
18.07.17;12:22:51 PM;9.25;93.490;27.330;30597.000;26.000
18.07.17;12:23:06 PM;9.50;92.480;27.440;30623.000;26.000
18.07.17;12:23:21 PM;9.75;92.950;27.390;30622.000;26.000
18.07.17;12:23:36 PM;10.00;93.120;27.370;30618.000;26.000
18.07.17;12:23:51 PM;10.25;93.530;27.320;30627.000;26.000
18.07.17;12:24:06 PM;10.50;93.130;27.370;30605.000;26.000
18.07.17;12:24:21 PM;10.75;93.520;27.320;30625.000;26.000
18.07.17;12:24:36 PM;11.00;93.480;27.330;30601.000;26.000
18.07.17;12:24:51 PM;11.25;93.370;27.340;30631.000;26.000
18.07.17;12:25:06 PM;11.50;93.190;27.360;30645.000;26.000
18.07.17;12:25:21 PM;11.75;93.200;27.360;30672.000;26.000
18.07.17;12:25:36 PM;12.00;92.780;27.410;30622.000;26.000
18.07.17;12:25:51 PM;12.25;92.990;27.380;30627.000;26.000
18.07.17;12:26:06 PM;12.50;93.090;27.370;30646.000;26.000
18.07.17;12:26:21 PM;12.75;93.020;27.380;30662.000;26.000
18.07.17;12:26:36 PM;13.00;93.260;27.350;30666.000;26.000
18.07.17;12:26:51 PM;13.25;92.380;27.450;30660.000;26.000
18.07.17;12:27:06 PM;13.50;93.280;27.350;30683.000;26.000
18.07.17;12:27:21 PM;13.75;93.050;27.380;30634.000;26.000
18.07.17;12:27:36 PM;14.00;93.510;27.320;30661.000;26.000
18.07.17;12:27:51 PM;14.25;92.320;27.460;30662.000;26.000
18.07.17;12:28:06 PM;14.50;93.330;27.340;30650.000;26.000
18.07.17;12:28:21 PM;14.75;93.520;27.320;30675.000;26.000
18.07.17;12:28:36 PM;15.00;92.910;27.390;30707.000;26.000
