18.07.17/11:39 AM SW ver:OXY10v3_33
Header Ch-8
Description: TWJ1-26
IDENTIFICATION
PHIboard number   : v1231480
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 08

PARAMETERS
Signal LED current: 050
Ref LED current   : 071
Ref LED amplitude : 101580
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 038800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 025100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
18.07.17;11:39:16 AM;0.00;94.880;27.170;28043.000;26.000
18.07.17;11:39:23 AM;0.11;94.360;27.230;28031.000;26.000
18.07.17;11:39:38 AM;0.36;94.540;27.210;28033.000;26.000
18.07.17;11:39:53 AM;0.61;94.250;27.240;27988.000;26.000
18.07.17;11:40:08 AM;0.86;94.020;27.270;28061.000;26.000
18.07.17;11:40:23 AM;1.11;94.460;27.220;28034.000;26.000
18.07.17;11:40:38 AM;1.36;94.520;27.210;28042.000;26.000
18.07.17;11:40:53 AM;1.61;95.020;27.150;28044.000;26.000
18.07.17;11:41:08 AM;1.86;94.620;27.200;28045.000;26.000
18.07.17;11:41:23 AM;2.11;94.880;27.170;28055.000;26.000
18.07.17;11:41:38 AM;2.36;95.210;27.130;28018.000;26.000
18.07.17;11:41:53 AM;2.61;94.890;27.170;28030.000;26.000
18.07.17;11:42:08 AM;2.86;94.730;27.190;28052.000;26.000
18.07.17;11:42:23 AM;3.11;94.790;27.180;28055.000;26.000
18.07.17;11:42:38 AM;3.36;94.380;27.230;28051.000;26.000
18.07.17;11:42:53 AM;3.61;94.850;27.170;28045.000;26.000
18.07.17;11:43:08 AM;3.86;95.040;27.150;28076.000;26.000
18.07.17;11:43:23 AM;4.11;94.440;27.220;28037.000;26.000
18.07.17;11:43:38 AM;4.36;94.330;27.230;28075.000;26.000
18.07.17;11:43:53 AM;4.61;94.850;27.170;28084.000;26.000
18.07.17;11:44:08 AM;4.86;94.840;27.170;28068.000;26.000
18.07.17;11:44:23 AM;5.11;94.480;27.210;28070.000;26.000
18.07.17;11:44:38 AM;5.36;94.810;27.180;28088.000;26.000
18.07.17;11:44:53 AM;5.61;94.250;27.240;28113.000;26.000
18.07.17;11:45:08 AM;5.86;94.440;27.220;28079.000;26.000
18.07.17;11:45:23 AM;6.11;94.210;27.240;28087.000;26.000
18.07.17;11:45:38 AM;6.36;94.670;27.190;28097.000;26.000
18.07.17;11:45:53 AM;6.61;93.970;27.270;28092.000;26.000
18.07.17;11:46:08 AM;6.86;94.340;27.230;28128.000;26.000
18.07.17;11:46:23 AM;7.11;94.380;27.230;28088.000;26.000
18.07.17;11:46:38 AM;7.36;93.940;27.270;28116.000;26.000
18.07.17;11:46:53 AM;7.61;94.220;27.240;28115.000;26.000
18.07.17;11:47:08 AM;7.86;94.170;27.250;28108.000;26.000
18.07.17;11:47:23 AM;8.11;94.360;27.230;28133.000;26.000
18.07.17;11:47:38 AM;8.36;93.880;27.280;28110.000;26.000
18.07.17;11:47:53 AM;8.61;94.110;27.260;28156.000;26.000
18.07.17;11:48:08 AM;8.86;93.660;27.310;28168.000;26.000
18.07.17;11:48:23 AM;9.11;94.070;27.260;28122.000;26.000
18.07.17;11:48:38 AM;9.36;94.190;27.250;28141.000;26.000
18.07.17;11:48:53 AM;9.61;93.810;27.290;28155.000;26.000
18.07.17;11:49:08 AM;9.86;94.220;27.240;28170.000;26.000
18.07.17;11:49:23 AM;10.11;94.540;27.210;28154.000;26.000
18.07.17;11:49:38 AM;10.36;94.040;27.260;28137.000;26.000
18.07.17;11:49:53 AM;10.61;94.090;27.260;28147.000;26.000
18.07.17;11:50:08 AM;10.86;93.930;27.280;28181.000;26.000
18.07.17;11:50:23 AM;11.11;94.120;27.250;28162.000;26.000
18.07.17;11:50:38 AM;11.36;94.190;27.250;28170.000;26.000
18.07.17;11:50:53 AM;11.61;93.900;27.280;28175.000;26.000
18.07.17;11:51:08 AM;11.86;93.820;27.290;28168.000;26.000
