18.07.17/1:58 PM SW ver:OXY10v3_33
Header Ch-9
Description: WWJ1-29
IDENTIFICATION
PHIboard number   : v1231481
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 09

PARAMETERS
Signal LED current: 050
Ref LED current   : 072
Ref LED amplitude : 102275
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 034700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 023000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
18.07.17;1:58:05 PM;0.00;94.800;26.670;31582.000;29.000
18.07.17;1:58:17 PM;0.21;95.240;26.620;31611.000;29.000
18.07.17;1:58:32 PM;0.46;95.060;26.640;31600.000;29.000
18.07.17;1:58:47 PM;0.71;94.910;26.650;31604.000;29.000
18.07.17;1:59:02 PM;0.96;95.220;26.620;31579.000;29.000
18.07.17;1:59:17 PM;1.21;94.710;26.680;31586.000;29.000
18.07.17;1:59:33 PM;1.47;95.090;26.630;31596.000;29.000
18.07.17;1:59:48 PM;1.72;94.810;26.660;31670.000;29.000
18.07.17;2:00:02 PM;1.96;94.590;26.690;31667.000;29.000
18.07.17;2:00:17 PM;2.21;94.820;26.660;31643.000;29.000
18.07.17;2:00:32 PM;2.46;93.910;26.760;31645.000;29.000
18.07.17;2:00:47 PM;2.71;94.710;26.680;31640.000;29.000
18.07.17;2:01:02 PM;2.96;94.830;26.660;31688.000;29.000
18.07.17;2:01:18 PM;3.22;94.710;26.680;31623.000;29.000
18.07.17;2:01:32 PM;3.46;94.790;26.670;31670.000;29.000
18.07.17;2:01:47 PM;3.72;94.820;26.660;31697.000;29.000
