18.07.17/1:21 PM SW ver:OXY10v3_33
Header Ch-10
Description: WWD1-29
IDENTIFICATION
PHIboard number   : v1231482
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 10

PARAMETERS
Signal LED current: 050
Ref LED current   : 068
Ref LED amplitude : 100032
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 045200
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
18.07.17;1:21:46 PM;0.00;95.020;26.640;39252.000;29.000
18.07.17;1:21:50 PM;0.06;95.420;26.600;39242.000;29.000
18.07.17;1:22:05 PM;0.31;95.200;26.620;39224.000;29.000
18.07.17;1:22:20 PM;0.56;95.150;26.630;39270.000;29.000
18.07.17;1:22:35 PM;0.81;95.360;26.600;39235.000;29.000
18.07.17;1:22:50 PM;1.06;95.130;26.630;39261.000;29.000
18.07.17;1:23:05 PM;1.31;95.350;26.610;39250.000;29.000
18.07.17;1:23:20 PM;1.56;95.300;26.610;39229.000;29.000
18.07.17;1:23:35 PM;1.81;95.040;26.640;39274.000;29.000
18.07.17;1:23:50 PM;2.06;95.240;26.620;39251.000;29.000
18.07.17;1:24:05 PM;2.31;95.040;26.640;39258.000;29.000
18.07.17;1:24:20 PM;2.56;94.710;26.680;39259.000;29.000
18.07.17;1:24:35 PM;2.81;94.620;26.690;39270.000;29.000
18.07.17;1:24:50 PM;3.06;94.990;26.640;39288.000;29.000
18.07.17;1:25:05 PM;3.31;94.980;26.650;39269.000;29.000
18.07.17;1:25:20 PM;3.56;95.140;26.630;39299.000;29.000
18.07.17;1:25:35 PM;3.81;94.910;26.650;39315.000;29.000
18.07.17;1:25:50 PM;4.06;94.730;26.670;39288.000;29.000
18.07.17;1:26:05 PM;4.31;94.960;26.650;39317.000;29.000
18.07.17;1:26:20 PM;4.56;94.540;26.690;39323.000;29.000
18.07.17;1:26:35 PM;4.81;94.870;26.660;39356.000;29.000
18.07.17;1:26:50 PM;5.06;94.660;26.680;39373.000;29.000
18.07.17;1:27:05 PM;5.31;94.820;26.660;39373.000;29.000
18.07.17;1:27:20 PM;5.56;94.370;26.710;39359.000;29.000
18.07.17;1:27:35 PM;5.81;94.650;26.680;39341.000;29.000
18.07.17;1:27:50 PM;6.06;94.290;26.720;39385.000;29.000
18.07.17;1:28:05 PM;6.31;94.810;26.660;39389.000;29.000
18.07.17;1:28:20 PM;6.56;94.380;26.710;39419.000;29.000
18.07.17;1:28:35 PM;6.81;94.130;26.740;39415.000;29.000
18.07.17;1:28:50 PM;7.06;93.800;26.780;39431.000;29.000
18.07.17;1:29:05 PM;7.31;94.520;26.700;39428.000;29.000
18.07.17;1:29:20 PM;7.56;94.360;26.710;39427.000;29.000
18.07.17;1:29:35 PM;7.81;94.220;26.730;39428.000;29.000
18.07.17;1:29:50 PM;8.06;94.550;26.690;39448.000;29.000
18.07.17;1:30:05 PM;8.31;94.160;26.740;39490.000;29.000
18.07.17;1:30:20 PM;8.56;93.810;26.780;39492.000;29.000
18.07.17;1:30:35 PM;8.81;94.060;26.750;39472.000;29.000
18.07.17;1:30:50 PM;9.06;94.100;26.740;39495.000;29.000
18.07.17;1:31:05 PM;9.31;93.840;26.770;39499.000;29.000
18.07.17;1:31:20 PM;9.56;94.020;26.750;39500.000;29.000
18.07.17;1:31:35 PM;9.81;93.640;26.790;39534.000;29.000
18.07.17;1:31:50 PM;10.06;94.030;26.750;39551.000;29.000
18.07.17;1:32:05 PM;10.31;93.690;26.790;39554.000;29.000
18.07.17;1:32:20 PM;10.56;94.000;26.750;39542.000;29.000
18.07.17;1:32:35 PM;10.81;93.800;26.780;39578.000;29.000
18.07.17;1:32:50 PM;11.06;93.900;26.770;39582.000;29.000
18.07.17;1:33:05 PM;11.31;93.840;26.770;39575.000;29.000
18.07.17;1:33:20 PM;11.56;93.370;26.820;39621.000;29.000
18.07.17;1:33:35 PM;11.81;93.340;26.830;39598.000;29.000
18.07.17;1:33:50 PM;12.06;93.500;26.810;39625.000;29.000
18.07.17;1:34:05 PM;12.31;93.620;26.800;39625.000;29.000
18.07.17;1:34:20 PM;12.56;93.300;26.830;39637.000;29.000
18.07.17;1:34:35 PM;12.81;93.580;26.800;39618.000;29.000
18.07.17;1:34:50 PM;13.06;93.130;26.850;39692.000;29.000
18.07.17;1:35:05 PM;13.31;93.470;26.810;39664.000;29.000
18.07.17;1:35:20 PM;13.56;93.360;26.830;39643.000;29.000
18.07.17;1:35:35 PM;13.81;93.070;26.860;39673.000;29.000
18.07.17;1:35:50 PM;14.06;93.030;26.860;39714.000;29.000
18.07.17;1:36:05 PM;14.31;93.340;26.830;39692.000;29.000
18.07.17;1:36:20 PM;14.56;93.120;26.850;39721.000;29.000
18.07.17;1:36:35 PM;14.81;93.220;26.840;39728.000;29.000
18.07.17;1:36:50 PM;15.06;92.730;26.900;39748.000;29.000
18.07.17;1:37:05 PM;15.31;92.790;26.890;39731.000;29.000
18.07.17;1:37:20 PM;15.56;92.930;26.870;39747.000;29.000
18.07.17;1:37:35 PM;15.81;92.780;26.890;39767.000;29.000
18.07.17;1:37:50 PM;16.06;93.100;26.850;39746.000;29.000
18.07.17;1:38:05 PM;16.31;92.950;26.870;39759.000;29.000
18.07.17;1:38:20 PM;16.56;92.610;26.910;39793.000;29.000
18.07.17;1:38:35 PM;16.81;92.840;26.880;39821.000;29.000
18.07.17;1:38:50 PM;17.06;92.860;26.880;39805.000;29.000
18.07.17;1:39:05 PM;17.31;92.710;26.900;39794.000;29.000
18.07.17;1:39:20 PM;17.56;93.100;26.860;39828.000;29.000
18.07.17;1:39:35 PM;17.81;92.520;26.920;39838.000;29.000
18.07.17;1:39:50 PM;18.06;92.630;26.910;39831.000;29.000
18.07.17;1:40:05 PM;18.31;92.450;26.930;39858.000;29.000
18.07.17;1:40:20 PM;18.56;92.250;26.950;39850.000;29.000
18.07.17;1:40:35 PM;18.81;92.610;26.910;39887.000;29.000
18.07.17;1:40:50 PM;19.06;92.220;26.950;39874.000;29.000
18.07.17;1:41:05 PM;19.31;92.240;26.950;39898.000;29.000
18.07.17;1:41:20 PM;19.56;91.970;26.980;39858.000;29.000
