18.07.17/1:21 PM SW ver:OXY10v3_33
Header Ch-2
Description: DRIFT-29
IDENTIFICATION
PHIboard number   : v1231474
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 075
Ref LED amplitude : 100994
Frequency         : 006
Sending interval  : 0001
Averaging         : 3
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 029100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 029400
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
18.07.17;1:21:42 PM;0.00;96.050;26.530;13432.000;29.000
18.07.17;1:21:49 PM;0.12;95.920;26.540;13404.000;29.000
18.07.17;1:22:04 PM;0.37;96.440;26.490;13415.000;29.000
18.07.17;1:22:19 PM;0.62;95.020;26.640;13398.000;29.000
18.07.17;1:22:34 PM;0.87;96.340;26.500;13412.000;29.000
18.07.17;1:22:49 PM;1.12;95.980;26.540;13401.000;29.000
18.07.17;1:23:04 PM;1.37;95.580;26.580;13429.000;29.000
18.07.17;1:23:19 PM;1.62;95.800;26.560;13426.000;29.000
18.07.17;1:23:34 PM;1.87;96.110;26.520;13411.000;29.000
18.07.17;1:23:49 PM;2.12;96.770;26.450;13396.000;29.000
18.07.17;1:24:04 PM;2.37;95.270;26.610;13384.000;29.000
18.07.17;1:24:19 PM;2.62;94.920;26.650;13402.000;29.000
18.07.17;1:24:34 PM;2.87;96.610;26.470;13400.000;29.000
18.07.17;1:24:49 PM;3.12;95.770;26.560;13404.000;29.000
18.07.17;1:25:04 PM;3.37;96.000;26.530;13413.000;29.000
18.07.17;1:25:19 PM;3.62;96.000;26.530;13420.000;29.000
18.07.17;1:25:34 PM;3.87;95.570;26.580;13424.000;29.000
18.07.17;1:25:49 PM;4.12;95.680;26.570;13419.000;29.000
18.07.17;1:26:04 PM;4.37;95.990;26.540;13430.000;29.000
18.07.17;1:26:19 PM;4.62;96.270;26.500;13445.000;29.000
18.07.17;1:26:34 PM;4.87;95.560;26.580;13419.000;29.000
18.07.17;1:26:49 PM;5.12;95.680;26.570;13415.000;29.000
18.07.17;1:27:04 PM;5.37;96.040;26.530;13410.000;29.000
18.07.17;1:27:19 PM;5.62;95.770;26.560;13411.000;29.000
18.07.17;1:27:34 PM;5.87;96.800;26.450;13410.000;29.000
18.07.17;1:27:49 PM;6.12;95.390;26.600;13440.000;29.000
18.07.17;1:28:04 PM;6.37;96.500;26.480;13431.000;29.000
