18.07.17/3:41 PM SW ver:OXY10v3_33
Header Ch-10
Description: WWD1-32
IDENTIFICATION
PHIboard number   : v1231482
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 10

PARAMETERS
Signal LED current: 050
Ref LED current   : 068
Ref LED amplitude : 100032
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 045200
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
18.07.17;3:41:05 PM;0.00;94.950;26.150;38292.000;32.000
18.07.17;3:41:20 PM;0.25;94.990;26.150;38345.000;32.000
18.07.17;3:41:35 PM;0.50;94.890;26.160;38277.000;32.000
18.07.17;3:41:50 PM;0.75;94.660;26.180;38312.000;32.000
18.07.17;3:42:05 PM;1.00;94.500;26.200;38302.000;32.000
18.07.17;3:42:20 PM;1.25;94.750;26.170;38315.000;32.000
18.07.17;3:42:35 PM;1.50;94.350;26.220;38263.000;32.000
18.07.17;3:42:50 PM;1.75;94.710;26.180;38352.000;32.000
18.07.17;3:43:05 PM;2.00;94.220;26.230;38300.000;32.000
18.07.17;3:43:20 PM;2.25;94.620;26.190;38314.000;32.000
18.07.17;3:43:35 PM;2.50;94.640;26.190;38318.000;32.000
18.07.17;3:43:50 PM;2.75;94.500;26.200;38345.000;32.000
18.07.17;3:44:05 PM;3.00;94.730;26.180;38348.000;32.000
18.07.17;3:44:20 PM;3.25;94.430;26.210;38391.000;32.000
18.07.17;3:44:35 PM;3.50;94.390;26.210;38389.000;32.000
18.07.17;3:44:50 PM;3.75;94.400;26.210;38420.000;32.000
18.07.17;3:45:05 PM;4.00;94.770;26.170;38404.000;32.000
18.07.17;3:45:20 PM;4.25;94.560;26.190;38394.000;32.000
18.07.17;3:45:35 PM;4.50;94.490;26.200;38391.000;32.000
18.07.17;3:45:50 PM;4.75;93.850;26.270;38394.000;32.000
18.07.17;3:46:05 PM;5.00;93.760;26.280;38375.000;32.000
18.07.17;3:46:20 PM;5.25;94.260;26.230;38421.000;32.000
18.07.17;3:46:35 PM;5.50;94.220;26.230;38466.000;32.000
18.07.17;3:46:50 PM;5.75;93.740;26.280;38451.000;32.000
18.07.17;3:47:05 PM;6.00;94.310;26.220;38446.000;32.000
18.07.17;3:47:20 PM;6.25;94.060;26.250;38451.000;32.000
18.07.17;3:47:35 PM;6.50;93.850;26.270;38455.000;32.000
18.07.17;3:47:50 PM;6.75;93.740;26.280;38487.000;32.000
18.07.17;3:48:05 PM;7.00;93.920;26.260;38498.000;32.000
18.07.17;3:48:20 PM;7.25;93.480;26.310;38474.000;32.000
18.07.17;3:48:35 PM;7.50;93.240;26.340;38461.000;32.000
18.07.17;3:48:50 PM;7.75;93.690;26.290;38512.000;32.000
18.07.17;3:49:05 PM;8.00;94.030;26.250;38521.000;32.000
18.07.17;3:49:20 PM;8.25;93.830;26.270;38502.000;32.000
18.07.17;3:49:35 PM;8.50;94.180;26.240;38549.000;32.000
18.07.17;3:49:50 PM;8.75;93.600;26.300;38527.000;32.000
18.07.17;3:50:05 PM;9.00;93.660;26.290;38509.000;32.000
18.07.17;3:50:20 PM;9.25;93.560;26.300;38528.000;32.000
18.07.17;3:50:35 PM;9.50;94.050;26.250;38545.000;32.000
18.07.17;3:50:50 PM;9.75;94.100;26.240;38558.000;32.000
18.07.17;3:51:05 PM;10.00;93.910;26.270;38569.000;32.000
18.07.17;3:51:20 PM;10.25;93.650;26.290;38562.000;32.000
18.07.17;3:51:35 PM;10.50;93.840;26.270;38608.000;32.000
18.07.17;3:51:50 PM;10.75;93.390;26.320;38573.000;32.000
18.07.17;3:52:05 PM;11.00;93.230;26.340;38554.000;32.000
18.07.17;3:52:20 PM;11.25;93.210;26.340;38602.000;32.000
18.07.17;3:52:35 PM;11.50;93.380;26.320;38589.000;32.000
18.07.17;3:52:50 PM;11.75;93.080;26.360;38617.000;32.000
18.07.17;3:53:05 PM;12.00;92.900;26.380;38643.000;32.000
18.07.17;3:53:20 PM;12.25;92.800;26.390;38623.000;32.000
18.07.17;3:53:35 PM;12.50;93.190;26.350;38612.000;32.000
18.07.17;3:53:50 PM;12.75;93.340;26.330;38656.000;32.000
18.07.17;3:54:05 PM;13.00;92.630;26.410;38622.000;32.000
18.07.17;3:54:20 PM;13.25;93.170;26.350;38625.000;32.000
18.07.17;3:54:35 PM;13.50;93.590;26.300;38677.000;32.000
18.07.17;3:54:50 PM;13.75;93.200;26.340;38675.000;32.000
18.07.17;3:55:05 PM;14.00;92.590;26.410;38692.000;32.000
18.07.17;3:55:20 PM;14.25;93.010;26.370;38698.000;32.000
18.07.17;3:55:35 PM;14.50;92.900;26.380;38717.000;32.000
18.07.17;3:55:50 PM;14.75;92.970;26.370;38687.000;32.000
18.07.17;3:56:05 PM;15.00;93.330;26.330;38708.000;32.000
18.07.17;3:56:20 PM;15.25;92.420;26.430;38696.000;32.000
18.07.17;3:56:35 PM;15.50;92.300;26.440;38741.000;32.000
18.07.17;3:56:50 PM;15.75;91.900;26.490;38746.000;32.000
18.07.17;3:57:05 PM;16.00;92.900;26.380;38728.000;32.000
18.07.17;3:57:20 PM;16.25;92.610;26.410;38734.000;32.000
18.07.17;3:57:35 PM;16.50;92.550;26.420;38745.000;32.000
18.07.17;3:57:50 PM;16.75;92.300;26.440;38815.000;32.000
18.07.17;3:58:05 PM;17.00;92.880;26.380;38806.000;32.000
18.07.17;3:58:20 PM;17.25;91.820;26.500;38761.000;32.000
18.07.17;3:58:35 PM;17.50;92.410;26.430;38772.000;32.000
18.07.17;3:58:50 PM;17.75;92.920;26.370;38752.000;32.000
18.07.17;3:59:05 PM;18.00;92.000;26.480;38839.000;32.000
18.07.17;3:59:20 PM;18.25;91.990;26.480;38789.000;32.000
18.07.17;3:59:35 PM;18.50;91.580;26.530;38812.000;32.000
18.07.17;3:59:50 PM;18.75;91.430;26.540;38831.000;32.000
