19.07.17/9:19 AM SW ver:OXY10v3_33
Header Ch-8
Description: WWE3-18
IDENTIFICATION
PHIboard number   : v1231480
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 08

PARAMETERS
Signal LED current: 050
Ref LED current   : 071
Ref LED amplitude : 101853
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 038800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 025100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
19.07.17;9:19:19 AM;0.00;95.390;28.550;30083.000;18.000
19.07.17;9:19:27 AM;0.14;95.200;28.580;30025.000;18.000
19.07.17;9:19:42 AM;0.39;95.670;28.520;30111.000;18.000
19.07.17;9:19:57 AM;0.64;95.560;28.540;30098.000;18.000
19.07.17;9:20:12 AM;0.89;95.460;28.550;30082.000;18.000
19.07.17;9:20:27 AM;1.14;94.880;28.610;30129.000;18.000
19.07.17;9:20:42 AM;1.39;95.570;28.530;30102.000;18.000
19.07.17;9:20:57 AM;1.64;95.980;28.490;30143.000;18.000
19.07.17;9:21:12 AM;1.89;95.550;28.540;30108.000;18.000
19.07.17;9:21:27 AM;2.14;95.790;28.510;30082.000;18.000
19.07.17;9:21:42 AM;2.39;95.020;28.600;30107.000;18.000
19.07.17;9:21:57 AM;2.64;95.470;28.550;30103.000;18.000
19.07.17;9:22:12 AM;2.89;94.930;28.610;30113.000;18.000
19.07.17;9:22:27 AM;3.14;95.550;28.540;30104.000;18.000
19.07.17;9:22:42 AM;3.38;94.950;28.610;30072.000;18.000
19.07.17;9:22:57 AM;3.64;95.310;28.560;30121.000;18.000
