19.07.17/12:57 PM SW ver:OXY10v3_33
Header Ch-2
Description: DRIFT-26
IDENTIFICATION
PHIboard number   : v1231474
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 075
Ref LED amplitude : 101323
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 029100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 029400
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
19.07.17;12:57:11 PM;0.00;97.300;26.900;14464.000;26.000
19.07.17;12:57:22 PM;0.20;96.960;26.940;14453.000;26.000
19.07.17;12:57:37 PM;0.45;95.620;27.090;14468.000;26.000
19.07.17;12:57:52 PM;0.70;96.520;26.990;14480.000;26.000
19.07.17;12:58:08 PM;0.95;95.950;27.050;14454.000;26.000
19.07.17;12:58:22 PM;1.20;96.990;26.940;14493.000;26.000
19.07.17;12:58:38 PM;1.45;96.280;27.010;14494.000;26.000
19.07.17;12:58:52 PM;1.70;96.540;26.990;14449.000;26.000
19.07.17;12:59:08 PM;1.95;96.010;27.040;14469.000;26.000
19.07.17;12:59:22 PM;2.20;96.730;26.970;14476.000;26.000
19.07.17;12:59:38 PM;2.45;96.180;27.030;14428.000;26.000
19.07.17;12:59:52 PM;2.70;95.830;27.060;14444.000;26.000
19.07.17;1:00:07 PM;2.95;96.880;26.950;14481.000;26.000
19.07.17;1:00:22 PM;3.20;96.410;27.000;14472.000;26.000
19.07.17;1:00:37 PM;3.45;95.150;27.140;14429.000;26.000
19.07.17;1:00:53 PM;3.70;96.200;27.020;14438.000;26.000
19.07.17;1:01:07 PM;3.95;95.440;27.110;14474.000;26.000
19.07.17;1:01:22 PM;4.20;96.540;26.990;14444.000;26.000
19.07.17;1:01:37 PM;4.45;95.740;27.070;14428.000;26.000
19.07.17;1:01:52 PM;4.70;96.830;26.950;14472.000;26.000
19.07.17;1:02:07 PM;4.95;96.990;26.940;14453.000;26.000
19.07.17;1:02:22 PM;5.20;96.760;26.960;14487.000;26.000
19.07.17;1:02:37 PM;5.45;96.600;26.980;14436.000;26.000
19.07.17;1:02:52 PM;5.70;96.060;27.040;14430.000;26.000
19.07.17;1:03:07 PM;5.95;96.090;27.040;14428.000;26.000
19.07.17;1:03:22 PM;6.20;95.410;27.110;14467.000;26.000
19.07.17;1:03:37 PM;6.45;97.680;26.860;14434.000;26.000
19.07.17;1:03:52 PM;6.70;95.730;27.070;14439.000;26.000
19.07.17;1:04:07 PM;6.95;94.800;27.180;14442.000;26.000
19.07.17;1:04:22 PM;7.20;96.090;27.040;14459.000;26.000
19.07.17;1:04:38 PM;7.45;96.380;27.000;14402.000;26.000
19.07.17;1:04:52 PM;7.70;95.070;27.150;14435.000;26.000
19.07.17;1:05:07 PM;7.95;96.320;27.010;14436.000;26.000
19.07.17;1:05:23 PM;8.20;97.100;26.930;14438.000;26.000
19.07.17;1:05:37 PM;8.45;96.080;27.040;14412.000;26.000
19.07.17;1:05:53 PM;8.70;94.980;27.160;14424.000;26.000
19.07.17;1:06:07 PM;8.95;96.470;26.990;14454.000;26.000
19.07.17;1:06:22 PM;9.20;97.650;26.870;14452.000;26.000
19.07.17;1:06:37 PM;9.45;97.030;26.930;14489.000;26.000
19.07.17;1:06:52 PM;9.70;97.720;26.860;14436.000;26.000
19.07.17;1:07:08 PM;9.95;95.070;27.150;14423.000;26.000
19.07.17;1:07:22 PM;10.20;96.580;26.980;14460.000;26.000
19.07.17;1:07:37 PM;10.45;95.710;27.080;14425.000;26.000
19.07.17;1:07:53 PM;10.70;95.780;27.070;14472.000;26.000
19.07.17;1:08:08 PM;10.95;96.370;27.000;14473.000;26.000
19.07.17;1:08:23 PM;11.20;97.120;26.920;14406.000;26.000
19.07.17;1:08:38 PM;11.45;95.630;27.090;14462.000;26.000
