19.07.17/12:57 PM SW ver:OXY10v3_33
Header Ch-4
Description: TWM4-26
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 98375
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
19.07.17;12:57:12 PM;0.00;94.670;27.190;30784.000;26.000
19.07.17;12:57:27 PM;0.24;94.590;27.200;30839.000;26.000
19.07.17;12:57:42 PM;0.49;94.630;27.200;30773.000;26.000
19.07.17;12:57:57 PM;0.74;94.230;27.240;30813.000;26.000
19.07.17;12:58:12 PM;0.99;94.510;27.210;30833.000;26.000
19.07.17;12:58:27 PM;1.24;94.400;27.220;30823.000;26.000
19.07.17;12:58:42 PM;1.49;93.860;27.280;30847.000;26.000
19.07.17;12:58:57 PM;1.74;94.480;27.210;30873.000;26.000
19.07.17;12:59:12 PM;1.99;94.680;27.190;30843.000;26.000
19.07.17;12:59:27 PM;2.24;95.260;27.130;30863.000;26.000
19.07.17;12:59:42 PM;2.49;93.910;27.280;30888.000;26.000
19.07.17;12:59:57 PM;2.74;94.310;27.230;30891.000;26.000
19.07.17;1:00:12 PM;2.99;94.230;27.240;30871.000;26.000
19.07.17;1:00:27 PM;3.24;93.790;27.290;30876.000;26.000
19.07.17;1:00:42 PM;3.49;93.440;27.330;30910.000;26.000
19.07.17;1:00:57 PM;3.74;94.310;27.230;30861.000;26.000
19.07.17;1:01:12 PM;3.99;94.440;27.220;30850.000;26.000
19.07.17;1:01:27 PM;4.24;95.100;27.140;30894.000;26.000
19.07.17;1:01:42 PM;4.49;93.560;27.320;30906.000;26.000
19.07.17;1:01:57 PM;4.74;93.970;27.270;30860.000;26.000
19.07.17;1:02:12 PM;4.99;94.130;27.250;30871.000;26.000
19.07.17;1:02:27 PM;5.24;93.690;27.300;30931.000;26.000
19.07.17;1:02:42 PM;5.49;94.010;27.270;30865.000;26.000
19.07.17;1:02:57 PM;5.74;93.590;27.310;30945.000;26.000
19.07.17;1:03:12 PM;5.99;93.490;27.330;30926.000;26.000
19.07.17;1:03:27 PM;6.24;93.860;27.280;30923.000;26.000
19.07.17;1:03:42 PM;6.49;93.750;27.300;30904.000;26.000
19.07.17;1:03:57 PM;6.74;94.140;27.250;30903.000;26.000
19.07.17;1:04:12 PM;6.99;93.790;27.290;30906.000;26.000
19.07.17;1:04:27 PM;7.24;93.230;27.350;30870.000;26.000
19.07.17;1:04:42 PM;7.49;94.720;27.190;30923.000;26.000
19.07.17;1:04:57 PM;7.74;94.220;27.240;30952.000;26.000
19.07.17;1:05:12 PM;7.99;93.230;27.360;30923.000;26.000
19.07.17;1:05:27 PM;8.24;94.180;27.250;30923.000;26.000
19.07.17;1:05:42 PM;8.49;93.510;27.320;30949.000;26.000
19.07.17;1:05:57 PM;8.74;93.620;27.310;30924.000;26.000
19.07.17;1:06:12 PM;8.99;93.630;27.310;30924.000;26.000
19.07.17;1:06:27 PM;9.24;93.060;27.370;30948.000;26.000
19.07.17;1:06:42 PM;9.49;93.490;27.330;30953.000;26.000
19.07.17;1:06:57 PM;9.74;94.310;27.230;30965.000;26.000
19.07.17;1:07:12 PM;9.99;94.370;27.230;30944.000;26.000
19.07.17;1:07:27 PM;10.24;93.630;27.310;30986.000;26.000
19.07.17;1:07:42 PM;10.49;92.690;27.420;30937.000;26.000
19.07.17;1:07:57 PM;10.74;92.760;27.410;30991.000;26.000
19.07.17;1:08:12 PM;10.99;93.270;27.350;30993.000;26.000
19.07.17;1:08:27 PM;11.24;93.560;27.320;31014.000;26.000
19.07.17;1:08:42 PM;11.49;92.970;27.380;31022.000;26.000
19.07.17;1:08:57 PM;11.74;93.160;27.360;31012.000;26.000
19.07.17;1:09:12 PM;11.99;93.470;27.330;31022.000;26.000
19.07.17;1:09:27 PM;12.24;93.700;27.300;30995.000;26.000
19.07.17;1:09:42 PM;12.49;92.880;27.400;31001.000;26.000
19.07.17;1:09:57 PM;12.74;92.520;27.440;31000.000;26.000
19.07.17;1:10:12 PM;12.99;92.560;27.430;30982.000;26.000
19.07.17;1:10:27 PM;13.24;93.660;27.310;31009.000;26.000
