19.07.17/12:24 PM SW ver:OXY10v3_33
Header Ch-7
Description: WWK1-26
IDENTIFICATION
PHIboard number   : v1231479
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 07

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 96457
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 040800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 027000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
19.07.17;12:24:43 PM;0.00;94.120;27.250;30771.000;26.000
19.07.17;12:24:47 PM;0.08;94.060;27.260;30784.000;26.000
19.07.17;12:25:02 PM;0.33;94.240;27.240;30768.000;26.000
19.07.17;12:25:17 PM;0.58;94.220;27.240;30775.000;26.000
19.07.17;12:25:32 PM;0.83;94.100;27.260;30804.000;26.000
19.07.17;12:25:47 PM;1.08;94.710;27.190;30837.000;26.000
19.07.17;12:26:02 PM;1.33;94.030;27.260;30825.000;26.000
19.07.17;12:26:17 PM;1.58;94.150;27.250;30813.000;26.000
19.07.17;12:26:32 PM;1.83;94.110;27.260;30885.000;26.000
19.07.17;12:26:47 PM;2.08;93.900;27.280;30842.000;26.000
19.07.17;12:27:02 PM;2.33;94.110;27.260;30887.000;26.000
19.07.17;12:27:17 PM;2.58;93.970;27.270;30894.000;26.000
19.07.17;12:27:32 PM;2.83;93.720;27.300;30887.000;26.000
19.07.17;12:27:47 PM;3.08;93.750;27.300;30918.000;26.000
19.07.17;12:28:02 PM;3.33;93.230;27.350;30910.000;26.000
19.07.17;12:28:17 PM;3.58;93.340;27.340;30963.000;26.000
19.07.17;12:28:32 PM;3.83;92.930;27.390;30968.000;26.000
19.07.17;12:28:47 PM;4.08;93.020;27.380;30972.000;26.000
19.07.17;12:29:02 PM;4.33;92.670;27.420;30987.000;26.000
19.07.17;12:29:17 PM;4.58;92.540;27.430;31006.000;26.000
19.07.17;12:29:32 PM;4.83;92.880;27.400;30997.000;26.000
19.07.17;12:29:47 PM;5.08;92.480;27.440;31064.000;26.000
19.07.17;12:30:02 PM;5.33;92.500;27.440;31060.000;26.000
19.07.17;12:30:17 PM;5.58;92.140;27.480;31056.000;26.000
19.07.17;12:30:32 PM;5.83;92.110;27.480;31102.000;26.000
19.07.17;12:30:47 PM;6.08;92.530;27.440;31082.000;26.000
19.07.17;12:31:02 PM;6.33;92.470;27.440;31114.000;26.000
19.07.17;12:31:17 PM;6.58;92.580;27.430;31121.000;26.000
19.07.17;12:31:32 PM;6.83;92.640;27.420;31142.000;26.000
19.07.17;12:31:47 PM;7.08;91.840;27.510;31161.000;26.000
19.07.17;12:32:02 PM;7.33;91.830;27.520;31160.000;26.000
19.07.17;12:32:17 PM;7.58;92.130;27.480;31183.000;26.000
19.07.17;12:32:32 PM;7.83;91.790;27.520;31199.000;26.000
19.07.17;12:32:47 PM;8.08;91.630;27.540;31211.000;26.000
19.07.17;12:33:02 PM;8.33;91.700;27.530;31211.000;26.000
19.07.17;12:33:17 PM;8.58;91.360;27.570;31224.000;26.000
19.07.17;12:33:32 PM;8.83;91.530;27.550;31242.000;26.000
19.07.17;12:33:47 PM;9.08;91.280;27.580;31275.000;26.000
19.07.17;12:34:02 PM;9.33;91.430;27.560;31263.000;26.000
