19.07.17/2:03 PM SW ver:OXY10v3_33
Header Ch-2
Description: DRIFT-29
IDENTIFICATION
PHIboard number   : v1231474
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 075
Ref LED amplitude : 101323
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 029100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 029400
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
19.07.17;2:03:32 PM;0.00;95.890;26.550;13437.000;29.000
19.07.17;2:03:42 PM;0.16;95.200;26.620;13440.000;29.000
19.07.17;2:03:57 PM;0.41;96.640;26.470;13425.000;29.000
19.07.17;2:04:12 PM;0.66;96.510;26.480;13443.000;29.000
19.07.17;2:04:27 PM;0.91;96.130;26.520;13434.000;29.000
19.07.17;2:04:42 PM;1.16;96.480;26.480;13417.000;29.000
19.07.17;2:04:57 PM;1.41;94.710;26.680;13416.000;29.000
19.07.17;2:05:12 PM;1.66;96.460;26.480;13415.000;29.000
19.07.17;2:05:27 PM;1.91;96.950;26.430;13416.000;29.000
19.07.17;2:05:42 PM;2.16;96.230;26.510;13435.000;29.000
19.07.17;2:05:57 PM;2.41;97.220;26.400;13419.000;29.000
19.07.17;2:06:12 PM;2.66;95.920;26.540;13418.000;29.000
19.07.17;2:06:27 PM;2.91;95.670;26.570;13415.000;29.000
19.07.17;2:06:42 PM;3.16;96.670;26.460;13413.000;29.000
19.07.17;2:06:57 PM;3.41;95.360;26.600;13434.000;29.000
19.07.17;2:07:12 PM;3.66;95.640;26.570;13405.000;29.000
19.07.17;2:07:27 PM;3.91;94.950;26.650;13405.000;29.000
19.07.17;2:07:42 PM;4.16;95.330;26.610;13427.000;29.000
19.07.17;2:07:57 PM;4.41;95.220;26.620;13416.000;29.000
19.07.17;2:08:12 PM;4.66;96.040;26.530;13423.000;29.000
19.07.17;2:08:27 PM;4.91;96.320;26.500;13440.000;29.000
19.07.17;2:08:42 PM;5.16;95.900;26.550;13439.000;29.000
19.07.17;2:08:57 PM;5.41;96.220;26.510;13408.000;29.000
19.07.17;2:09:12 PM;5.66;95.940;26.540;13440.000;29.000
19.07.17;2:09:27 PM;5.91;96.780;26.450;13409.000;29.000
19.07.17;2:09:42 PM;6.16;95.530;26.590;13406.000;29.000
19.07.17;2:09:57 PM;6.41;95.820;26.550;13428.000;29.000
19.07.17;2:10:12 PM;6.66;96.260;26.510;13420.000;29.000
19.07.17;2:10:27 PM;6.91;95.990;26.540;13440.000;29.000
19.07.17;2:10:42 PM;7.16;96.580;26.470;13436.000;29.000
19.07.17;2:10:57 PM;7.41;95.880;26.550;13415.000;29.000
19.07.17;2:11:12 PM;7.66;96.180;26.510;13428.000;29.000
19.07.17;2:11:27 PM;7.92;96.360;26.500;13422.000;29.000
19.07.17;2:11:42 PM;8.16;95.290;26.610;13399.000;29.000
19.07.17;2:11:57 PM;8.41;96.270;26.510;13413.000;29.000
19.07.17;2:12:12 PM;8.66;96.530;26.480;13431.000;29.000
19.07.17;2:12:27 PM;8.91;95.910;26.540;13426.000;29.000
19.07.17;2:12:42 PM;9.16;96.070;26.530;13432.000;29.000
19.07.17;2:12:57 PM;9.41;96.330;26.500;13423.000;29.000
19.07.17;2:13:12 PM;9.66;95.580;26.580;13425.000;29.000
19.07.17;2:13:27 PM;9.92;95.410;26.600;13448.000;29.000
19.07.17;2:13:42 PM;10.16;95.090;26.630;13423.000;29.000
19.07.17;2:13:57 PM;10.41;95.880;26.550;13445.000;29.000
19.07.17;2:14:12 PM;10.66;95.400;26.600;13425.000;29.000
19.07.17;2:14:27 PM;10.92;96.820;26.450;13429.000;29.000
19.07.17;2:14:42 PM;11.16;95.820;26.550;13433.000;29.000
19.07.17;2:14:57 PM;11.41;95.760;26.560;13418.000;29.000
19.07.17;2:15:12 PM;11.66;95.910;26.540;13440.000;29.000
19.07.17;2:15:27 PM;11.92;95.850;26.550;13453.000;29.000
19.07.17;2:15:42 PM;12.17;96.230;26.510;13425.000;29.000
19.07.17;2:15:57 PM;12.41;95.670;26.570;13436.000;29.000
19.07.17;2:16:12 PM;12.66;95.030;26.640;13443.000;29.000
19.07.17;2:16:27 PM;12.91;95.690;26.570;13433.000;29.000
19.07.17;2:16:42 PM;13.17;95.530;26.590;13441.000;29.000
19.07.17;2:16:57 PM;13.41;95.210;26.620;13446.000;29.000
19.07.17;2:17:12 PM;13.66;95.680;26.570;13420.000;29.000
19.07.17;2:17:27 PM;13.91;94.770;26.670;13467.000;29.000
19.07.17;2:17:42 PM;14.16;95.660;26.570;13448.000;29.000
19.07.17;2:17:57 PM;14.41;95.310;26.610;13463.000;29.000
19.07.17;2:18:12 PM;14.66;96.010;26.530;13447.000;29.000
19.07.17;2:18:27 PM;14.91;94.740;26.670;13433.000;29.000
19.07.17;2:18:42 PM;15.16;94.850;26.660;13419.000;29.000
19.07.17;2:18:57 PM;15.41;95.180;26.620;13433.000;29.000
19.07.17;2:19:12 PM;15.66;95.710;26.570;13446.000;29.000
19.07.17;2:19:27 PM;15.91;95.800;26.560;13474.000;29.000
19.07.17;2:19:42 PM;16.16;94.320;26.720;13443.000;29.000
19.07.17;2:19:57 PM;16.41;94.600;26.690;13457.000;29.000
19.07.17;2:20:12 PM;16.66;94.650;26.680;13450.000;29.000
19.07.17;2:20:27 PM;16.91;94.780;26.670;13435.000;29.000
19.07.17;2:20:42 PM;17.17;94.730;26.670;13470.000;29.000
19.07.17;2:20:57 PM;17.41;95.300;26.610;13459.000;29.000
19.07.17;2:21:12 PM;17.66;95.560;26.580;13468.000;29.000
19.07.17;2:21:27 PM;17.91;95.560;26.580;13449.000;29.000
19.07.17;2:21:42 PM;18.16;95.470;26.590;13469.000;29.000
19.07.17;2:21:57 PM;18.41;94.950;26.650;13454.000;29.000
19.07.17;2:22:12 PM;18.66;95.660;26.570;13460.000;29.000
19.07.17;2:22:27 PM;18.91;95.270;26.610;13461.000;29.000
19.07.17;2:22:42 PM;19.16;95.720;26.560;13465.000;29.000
19.07.17;2:22:57 PM;19.41;94.490;26.700;13473.000;29.000
19.07.17;2:23:12 PM;19.66;94.660;26.680;13455.000;29.000
19.07.17;2:23:27 PM;19.91;94.760;26.670;13498.000;29.000
