19.07.17/2:03 PM SW ver:OXY10v3_33
Header Ch-7
Description: WWK1-29
IDENTIFICATION
PHIboard number   : v1231479
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 07

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 96457
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 040800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 027000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
19.07.17;2:03:32 PM;0.00;94.200;26.730;30063.000;29.000
19.07.17;2:03:37 PM;0.09;94.190;26.730;30092.000;29.000
19.07.17;2:03:52 PM;0.34;94.280;26.720;30103.000;29.000
19.07.17;2:04:07 PM;0.59;94.650;26.680;30110.000;29.000
19.07.17;2:04:22 PM;0.84;94.410;26.710;30115.000;29.000
19.07.17;2:04:37 PM;1.09;94.080;26.750;30115.000;29.000
19.07.17;2:04:52 PM;1.34;94.290;26.720;30152.000;29.000
19.07.17;2:05:07 PM;1.59;94.030;26.750;30112.000;29.000
19.07.17;2:05:22 PM;1.84;94.160;26.740;30132.000;29.000
19.07.17;2:05:37 PM;2.09;93.750;26.780;30136.000;29.000
19.07.17;2:05:52 PM;2.34;93.670;26.790;30170.000;29.000
19.07.17;2:06:07 PM;2.59;93.960;26.760;30185.000;29.000
19.07.17;2:06:22 PM;2.84;93.940;26.760;30171.000;29.000
19.07.17;2:06:37 PM;3.09;93.340;26.830;30179.000;29.000
19.07.17;2:06:52 PM;3.34;94.100;26.740;30184.000;29.000
19.07.17;2:07:07 PM;3.59;94.040;26.750;30191.000;29.000
19.07.17;2:07:22 PM;3.84;93.690;26.790;30198.000;29.000
19.07.17;2:07:37 PM;4.09;93.690;26.790;30222.000;29.000
19.07.17;2:07:52 PM;4.34;93.580;26.800;30221.000;29.000
19.07.17;2:08:07 PM;4.59;93.740;26.780;30205.000;29.000
19.07.17;2:08:22 PM;4.84;93.130;26.850;30221.000;29.000
19.07.17;2:08:37 PM;5.09;93.030;26.860;30227.000;29.000
19.07.17;2:08:52 PM;5.34;93.090;26.860;30217.000;29.000
19.07.17;2:09:07 PM;5.59;93.670;26.790;30264.000;29.000
19.07.17;2:09:22 PM;5.84;93.180;26.850;30263.000;29.000
19.07.17;2:09:37 PM;6.09;92.940;26.870;30247.000;29.000
19.07.17;2:09:52 PM;6.34;92.990;26.870;30249.000;29.000
19.07.17;2:10:07 PM;6.59;92.930;26.870;30298.000;29.000
19.07.17;2:10:22 PM;6.84;93.340;26.830;30286.000;29.000
19.07.17;2:10:37 PM;7.09;92.800;26.890;30325.000;29.000
19.07.17;2:10:52 PM;7.34;92.990;26.870;30293.000;29.000
19.07.17;2:11:07 PM;7.59;92.940;26.870;30312.000;29.000
19.07.17;2:11:22 PM;7.84;92.780;26.890;30309.000;29.000
19.07.17;2:11:37 PM;8.09;93.080;26.860;30335.000;29.000
19.07.17;2:11:52 PM;8.34;92.680;26.900;30342.000;29.000
19.07.17;2:12:07 PM;8.59;92.780;26.890;30338.000;29.000
19.07.17;2:12:22 PM;8.84;92.490;26.920;30370.000;29.000
19.07.17;2:12:37 PM;9.09;93.200;26.840;30365.000;29.000
19.07.17;2:12:52 PM;9.34;92.640;26.910;30379.000;29.000
19.07.17;2:13:07 PM;9.59;92.790;26.890;30358.000;29.000
19.07.17;2:13:22 PM;9.84;92.630;26.910;30367.000;29.000
19.07.17;2:13:37 PM;10.09;92.920;26.880;30403.000;29.000
19.07.17;2:13:52 PM;10.34;92.540;26.920;30392.000;29.000
19.07.17;2:14:07 PM;10.59;92.410;26.930;30410.000;29.000
19.07.17;2:14:22 PM;10.84;92.250;26.950;30416.000;29.000
19.07.17;2:14:37 PM;11.09;92.200;26.960;30427.000;29.000
19.07.17;2:14:52 PM;11.34;92.110;26.970;30445.000;29.000
19.07.17;2:15:07 PM;11.59;92.440;26.930;30444.000;29.000
19.07.17;2:15:22 PM;11.84;91.780;27.010;30460.000;29.000
19.07.17;2:15:37 PM;12.09;92.160;26.960;30493.000;29.000
19.07.17;2:15:52 PM;12.34;92.260;26.950;30463.000;29.000
19.07.17;2:16:07 PM;12.59;92.060;26.970;30498.000;29.000
19.07.17;2:16:22 PM;12.84;92.050;26.970;30487.000;29.000
19.07.17;2:16:37 PM;13.09;91.600;27.030;30492.000;29.000
19.07.17;2:16:52 PM;13.34;91.630;27.020;30521.000;29.000
19.07.17;2:17:07 PM;13.59;91.620;27.020;30511.000;29.000
19.07.17;2:17:22 PM;13.84;91.780;27.010;30526.000;29.000
19.07.17;2:17:37 PM;14.09;91.560;27.030;30540.000;29.000
19.07.17;2:17:52 PM;14.34;91.660;27.020;30527.000;29.000
19.07.17;2:18:07 PM;14.59;91.980;26.980;30551.000;29.000
19.07.17;2:18:22 PM;14.84;91.380;27.050;30544.000;29.000
19.07.17;2:18:37 PM;15.09;91.280;27.060;30577.000;29.000
19.07.17;2:18:52 PM;15.34;91.280;27.060;30563.000;29.000
19.07.17;2:19:07 PM;15.59;90.530;27.150;30572.000;29.000
19.07.17;2:19:22 PM;15.84;91.290;27.060;30602.000;29.000
19.07.17;2:19:37 PM;16.09;91.530;27.030;30578.000;29.000
19.07.17;2:19:52 PM;16.34;90.980;27.100;30623.000;29.000
19.07.17;2:20:07 PM;16.59;91.480;27.040;30640.000;29.000
19.07.17;2:20:22 PM;16.84;91.390;27.050;30598.000;29.000
19.07.17;2:20:37 PM;17.09;90.940;27.100;30631.000;29.000
19.07.17;2:20:52 PM;17.34;91.210;27.070;30649.000;29.000
19.07.17;2:21:07 PM;17.59;91.020;27.090;30674.000;29.000
19.07.17;2:21:22 PM;17.84;91.150;27.080;30682.000;29.000
19.07.17;2:21:37 PM;18.09;90.960;27.100;30664.000;29.000
19.07.17;2:21:52 PM;18.34;90.770;27.120;30671.000;29.000
19.07.17;2:22:07 PM;18.59;90.570;27.140;30674.000;29.000
19.07.17;2:22:22 PM;18.84;90.940;27.100;30683.000;29.000
