19.07.17/4:19 PM SW ver:OXY10v3_33
Header Ch-10
Description: TBF5-32
IDENTIFICATION
PHIboard number   : v1231482
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 10

PARAMETERS
Signal LED current: 050
Ref LED current   : 068
Ref LED amplitude : 100256
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 045200
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
19.07.17;4:19:47 PM;0.00;94.600;26.190;38195.000;32.000
19.07.17;4:19:57 PM;0.16;94.420;26.210;38250.000;32.000
19.07.17;4:20:12 PM;0.41;94.220;26.230;38162.000;32.000
19.07.17;4:20:27 PM;0.66;94.250;26.230;38190.000;32.000
19.07.17;4:20:42 PM;0.91;94.670;26.180;38211.000;32.000
19.07.17;4:20:57 PM;1.16;94.710;26.180;38205.000;32.000
19.07.17;4:21:12 PM;1.41;94.280;26.220;38164.000;32.000
19.07.17;4:21:27 PM;1.66;94.960;26.150;38190.000;32.000
19.07.17;4:21:42 PM;1.91;95.010;26.140;38191.000;32.000
19.07.17;4:21:57 PM;2.16;94.560;26.190;38200.000;32.000
19.07.17;4:22:12 PM;2.41;94.820;26.170;38170.000;32.000
19.07.17;4:22:27 PM;2.66;94.550;26.200;38167.000;32.000
19.07.17;4:22:42 PM;2.91;94.300;26.220;38170.000;32.000
19.07.17;4:22:57 PM;3.16;93.980;26.260;38185.000;32.000
19.07.17;4:23:12 PM;3.41;94.340;26.220;38183.000;32.000
19.07.17;4:23:27 PM;3.66;93.940;26.260;38240.000;32.000
19.07.17;4:23:42 PM;3.91;94.210;26.230;38211.000;32.000
19.07.17;4:23:57 PM;4.16;94.560;26.190;38248.000;32.000
19.07.17;4:24:12 PM;4.41;94.080;26.250;38196.000;32.000
19.07.17;4:24:27 PM;4.66;94.070;26.250;38208.000;32.000
19.07.17;4:24:42 PM;4.91;94.240;26.230;38252.000;32.000
19.07.17;4:24:57 PM;5.16;94.090;26.250;38280.000;32.000
19.07.17;4:25:12 PM;5.41;93.880;26.270;38246.000;32.000
19.07.17;4:25:27 PM;5.66;94.240;26.230;38251.000;32.000
19.07.17;4:25:42 PM;5.91;94.460;26.200;38271.000;32.000
19.07.17;4:25:57 PM;6.16;93.790;26.280;38295.000;32.000
19.07.17;4:26:12 PM;6.41;93.950;26.260;38268.000;32.000
19.07.17;4:26:27 PM;6.66;94.400;26.210;38253.000;32.000
19.07.17;4:26:42 PM;6.91;93.480;26.310;38302.000;32.000
19.07.17;4:26:57 PM;7.16;93.330;26.330;38312.000;32.000
19.07.17;4:27:12 PM;7.41;93.570;26.300;38291.000;32.000
19.07.17;4:27:27 PM;7.66;94.040;26.250;38276.000;32.000
19.07.17;4:27:42 PM;7.91;93.620;26.300;38321.000;32.000
19.07.17;4:27:57 PM;8.16;93.260;26.340;38291.000;32.000
19.07.17;4:28:12 PM;8.41;93.930;26.260;38306.000;32.000
19.07.17;4:28:27 PM;8.66;93.940;26.260;38339.000;32.000
19.07.17;4:28:42 PM;8.91;93.500;26.310;38337.000;32.000
19.07.17;4:28:57 PM;9.16;93.370;26.330;38392.000;32.000
19.07.17;4:29:12 PM;9.41;93.280;26.340;38376.000;32.000
19.07.17;4:29:27 PM;9.66;93.120;26.350;38380.000;32.000
19.07.17;4:29:42 PM;9.91;94.330;26.220;38439.000;32.000
19.07.17;4:29:57 PM;10.16;93.840;26.270;38389.000;32.000
19.07.17;4:30:12 PM;10.41;93.370;26.320;38418.000;32.000
19.07.17;4:30:27 PM;10.66;93.850;26.270;38401.000;32.000
19.07.17;4:30:42 PM;10.91;93.070;26.360;38410.000;32.000
19.07.17;4:30:57 PM;11.16;92.620;26.410;38414.000;32.000
19.07.17;4:31:12 PM;11.41;93.250;26.340;38448.000;32.000
19.07.17;4:31:27 PM;11.66;93.260;26.340;38453.000;32.000
19.07.17;4:31:42 PM;11.91;92.920;26.370;38475.000;32.000
19.07.17;4:31:57 PM;12.16;93.560;26.300;38443.000;32.000
19.07.17;4:32:12 PM;12.41;93.630;26.300;38474.000;32.000
