19.07.17/3:45 PM SW ver:OXY10v3_33
Header Ch-3
Description: TBL5-32
IDENTIFICATION
PHIboard number   : v1231475
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 104420
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 030000
100.00%a.s.phase 2: 27.68 at 020.0°C amp 033000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
19.07.17;3:45:43 PM;0.00;94.430;26.210;27775.000;32.000
19.07.17;3:45:57 PM;0.25;94.510;26.200;27745.000;32.000
19.07.17;3:46:12 PM;0.50;94.660;26.180;27764.000;32.000
19.07.17;3:46:27 PM;0.75;94.470;26.200;27752.000;32.000
19.07.17;3:46:42 PM;1.00;94.730;26.180;27774.000;32.000
19.07.17;3:46:57 PM;1.25;94.510;26.200;27800.000;32.000
19.07.17;3:47:12 PM;1.50;94.240;26.230;27808.000;32.000
19.07.17;3:47:27 PM;1.75;94.110;26.240;27803.000;32.000
19.07.17;3:47:42 PM;2.00;94.410;26.210;27790.000;32.000
19.07.17;3:47:57 PM;2.25;94.360;26.220;27809.000;32.000
19.07.17;3:48:13 PM;2.50;94.420;26.210;27814.000;32.000
19.07.17;3:48:27 PM;2.75;94.260;26.230;27823.000;32.000
19.07.17;3:48:42 PM;3.00;94.280;26.220;27825.000;32.000
19.07.17;3:48:57 PM;3.25;94.270;26.230;27837.000;32.000
19.07.17;3:49:12 PM;3.50;93.840;26.270;27827.000;32.000
19.07.17;3:49:27 PM;3.75;94.460;26.200;27868.000;32.000
19.07.17;3:49:43 PM;4.00;94.200;26.230;27864.000;32.000
19.07.17;3:49:57 PM;4.25;93.800;26.280;27862.000;32.000
19.07.17;3:50:12 PM;4.50;94.030;26.250;27894.000;32.000
19.07.17;3:50:28 PM;4.75;93.970;26.260;27873.000;32.000
19.07.17;3:50:42 PM;5.00;93.710;26.290;27888.000;32.000
19.07.17;3:50:57 PM;5.25;93.780;26.280;27883.000;32.000
19.07.17;3:51:13 PM;5.50;93.510;26.310;27892.000;32.000
19.07.17;3:51:27 PM;5.75;93.620;26.300;27908.000;32.000
19.07.17;3:51:42 PM;6.00;93.650;26.290;27926.000;32.000
19.07.17;3:51:58 PM;6.25;93.790;26.280;27932.000;32.000
19.07.17;3:52:12 PM;6.50;92.820;26.390;27924.000;32.000
19.07.17;3:52:27 PM;6.75;93.410;26.320;27948.000;32.000
19.07.17;3:52:42 PM;7.00;93.270;26.340;27971.000;32.000
19.07.17;3:52:57 PM;7.25;93.350;26.330;27949.000;32.000
19.07.17;3:53:13 PM;7.50;93.540;26.310;27956.000;32.000
19.07.17;3:53:27 PM;7.75;93.490;26.310;27971.000;32.000
19.07.17;3:53:42 PM;8.00;93.330;26.330;27979.000;32.000
19.07.17;3:53:57 PM;8.25;93.440;26.320;27996.000;32.000
19.07.17;3:54:12 PM;8.50;92.920;26.370;28005.000;32.000
19.07.17;3:54:27 PM;8.75;93.550;26.300;27983.000;32.000
19.07.17;3:54:43 PM;9.00;92.690;26.400;28004.000;32.000
19.07.17;3:54:57 PM;9.25;92.500;26.420;28014.000;32.000
19.07.17;3:55:12 PM;9.50;93.490;26.310;28024.000;32.000
19.07.17;3:55:27 PM;9.75;93.160;26.350;28056.000;32.000
19.07.17;3:55:42 PM;10.00;92.900;26.380;28035.000;32.000
19.07.17;3:55:57 PM;10.25;92.380;26.440;28081.000;32.000
19.07.17;3:56:12 PM;10.50;92.090;26.470;28087.000;32.000
19.07.17;3:56:27 PM;10.75;92.850;26.380;28082.000;32.000
19.07.17;3:56:42 PM;11.00;92.400;26.430;28108.000;32.000
19.07.17;3:56:57 PM;11.25;92.660;26.400;28106.000;32.000
19.07.17;3:57:12 PM;11.50;91.750;26.510;28136.000;32.000
19.07.17;3:57:27 PM;11.75;92.470;26.430;28140.000;32.000
19.07.17;3:57:42 PM;12.00;92.400;26.430;28139.000;32.000
19.07.17;3:57:57 PM;12.25;91.710;26.510;28144.000;32.000
19.07.17;3:58:12 PM;12.50;91.920;26.490;28186.000;32.000
19.07.17;3:58:27 PM;12.75;92.240;26.450;28171.000;32.000
19.07.17;3:58:42 PM;13.00;91.730;26.510;28174.000;32.000
19.07.17;3:58:58 PM;13.25;92.090;26.470;28195.000;32.000
19.07.17;3:59:12 PM;13.50;92.390;26.430;28221.000;32.000
19.07.17;3:59:27 PM;13.75;91.520;26.530;28205.000;32.000
19.07.17;3:59:42 PM;14.00;91.680;26.510;28237.000;32.000
19.07.17;3:59:57 PM;14.25;92.030;26.480;28228.000;32.000
19.07.17;4:00:12 PM;14.50;91.480;26.540;28243.000;32.000
19.07.17;4:00:28 PM;14.75;91.210;26.570;28256.000;32.000
19.07.17;4:00:42 PM;15.00;91.170;26.570;28252.000;32.000
19.07.17;4:00:57 PM;15.25;91.520;26.530;28277.000;32.000
19.07.17;4:01:12 PM;15.50;91.520;26.530;28301.000;32.000
19.07.17;4:01:27 PM;15.75;91.170;26.570;28292.000;32.000
19.07.17;4:01:42 PM;16.00;91.160;26.570;28303.000;32.000
19.07.17;4:01:57 PM;16.25;90.920;26.600;28336.000;32.000
