19.07.17/3:45 PM SW ver:OXY10v3_33
Header Ch-4
Description: TWM4-32
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 98375
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
19.07.17;3:45:44 PM;0.00;94.500;26.200;27935.000;32.000
19.07.17;3:45:59 PM;0.25;94.940;26.150;27952.000;32.000
19.07.17;3:46:14 PM;0.50;94.720;26.180;27930.000;32.000
19.07.17;3:46:29 PM;0.75;94.890;26.160;27916.000;32.000
19.07.17;3:46:44 PM;1.00;94.930;26.150;27933.000;32.000
19.07.17;3:46:59 PM;1.25;94.830;26.160;27923.000;32.000
19.07.17;3:47:14 PM;1.50;94.970;26.150;27965.000;32.000
19.07.17;3:47:29 PM;1.75;94.060;26.250;27942.000;32.000
19.07.17;3:47:44 PM;2.00;95.000;26.150;27925.000;32.000
19.07.17;3:47:59 PM;2.25;94.160;26.240;27947.000;32.000
19.07.17;3:48:14 PM;2.50;94.780;26.170;27964.000;32.000
19.07.17;3:48:29 PM;2.75;94.120;26.240;27960.000;32.000
19.07.17;3:48:44 PM;3.00;94.550;26.200;27971.000;32.000
19.07.17;3:48:59 PM;3.25;94.330;26.220;27940.000;32.000
19.07.17;3:49:14 PM;3.50;94.130;26.240;27978.000;32.000
19.07.17;3:49:29 PM;3.75;94.590;26.190;27966.000;32.000
19.07.17;3:49:44 PM;4.00;94.500;26.200;27956.000;32.000
19.07.17;3:49:59 PM;4.25;93.720;26.290;27969.000;32.000
19.07.17;3:50:14 PM;4.50;94.110;26.240;27987.000;32.000
19.07.17;3:50:29 PM;4.75;94.240;26.230;28002.000;32.000
19.07.17;3:50:44 PM;5.00;93.870;26.270;28007.000;32.000
19.07.17;3:50:59 PM;5.25;94.150;26.240;28008.000;32.000
19.07.17;3:51:14 PM;5.50;93.900;26.270;27994.000;32.000
19.07.17;3:51:29 PM;5.75;93.840;26.270;28005.000;32.000
19.07.17;3:51:44 PM;6.00;94.050;26.250;28015.000;32.000
19.07.17;3:51:59 PM;6.25;93.460;26.310;28036.000;32.000
19.07.17;3:52:14 PM;6.50;93.910;26.270;28045.000;32.000
19.07.17;3:52:29 PM;6.75;93.960;26.260;28036.000;32.000
19.07.17;3:52:44 PM;7.00;93.020;26.360;28048.000;32.000
19.07.17;3:52:59 PM;7.25;94.080;26.250;28050.000;32.000
19.07.17;3:53:14 PM;7.50;94.160;26.240;28075.000;32.000
19.07.17;3:53:29 PM;7.75;93.740;26.280;28084.000;32.000
19.07.17;3:53:44 PM;8.00;93.530;26.310;28080.000;32.000
19.07.17;3:53:59 PM;8.25;93.400;26.320;28111.000;32.000
19.07.17;3:54:14 PM;8.50;93.650;26.290;28083.000;32.000
19.07.17;3:54:29 PM;8.75;93.380;26.320;28108.000;32.000
19.07.17;3:54:44 PM;9.00;93.100;26.360;28123.000;32.000
19.07.17;3:54:59 PM;9.25;93.430;26.320;28124.000;32.000
19.07.17;3:55:14 PM;9.50;93.100;26.360;28135.000;32.000
19.07.17;3:55:29 PM;9.75;93.330;26.330;28150.000;32.000
19.07.17;3:55:44 PM;10.00;92.960;26.370;28137.000;32.000
19.07.17;3:55:59 PM;10.25;93.100;26.350;28178.000;32.000
19.07.17;3:56:14 PM;10.50;93.190;26.340;28160.000;32.000
19.07.17;3:56:29 PM;10.75;92.770;26.390;28179.000;32.000
19.07.17;3:56:44 PM;11.00;92.840;26.380;28180.000;32.000
19.07.17;3:56:59 PM;11.25;92.470;26.430;28166.000;32.000
19.07.17;3:57:14 PM;11.50;92.460;26.430;28192.000;32.000
19.07.17;3:57:29 PM;11.75;92.690;26.400;28222.000;32.000
19.07.17;3:57:44 PM;12.00;92.750;26.390;28199.000;32.000
19.07.17;3:57:59 PM;12.25;92.710;26.400;28209.000;32.000
19.07.17;3:58:14 PM;12.50;92.160;26.460;28246.000;32.000
19.07.17;3:58:29 PM;12.75;92.600;26.410;28225.000;32.000
19.07.17;3:58:44 PM;13.00;91.880;26.490;28239.000;32.000
19.07.17;3:58:59 PM;13.25;92.340;26.440;28247.000;32.000
19.07.17;3:59:14 PM;13.50;92.340;26.440;28265.000;32.000
19.07.17;3:59:29 PM;13.75;91.870;26.490;28273.000;32.000
19.07.17;3:59:44 PM;14.00;91.800;26.500;28268.000;32.000
19.07.17;3:59:59 PM;14.25;92.190;26.460;28293.000;32.000
19.07.17;4:00:14 PM;14.50;91.910;26.490;28308.000;32.000
19.07.17;4:00:29 PM;14.75;92.110;26.470;28290.000;32.000
19.07.17;4:00:44 PM;15.00;92.180;26.460;28294.000;32.000
19.07.17;4:00:59 PM;15.25;92.000;26.480;28320.000;32.000
19.07.17;4:01:14 PM;15.50;91.760;26.510;28316.000;32.000
19.07.17;4:01:29 PM;15.75;91.630;26.520;28318.000;32.000
19.07.17;4:01:44 PM;16.00;91.320;26.560;28338.000;32.000
19.07.17;4:01:59 PM;16.25;91.630;26.520;28361.000;32.000
19.07.17;4:02:14 PM;16.50;91.620;26.520;28352.000;32.000
19.07.17;4:02:29 PM;16.75;91.550;26.530;28367.000;32.000
19.07.17;4:02:44 PM;17.00;90.940;26.600;28388.000;32.000
19.07.17;4:02:59 PM;17.25;91.440;26.540;28373.000;32.000
19.07.17;4:03:14 PM;17.50;91.380;26.550;28388.000;32.000
19.07.17;4:03:29 PM;17.75;91.370;26.550;28410.000;32.000
19.07.17;4:03:44 PM;18.00;91.280;26.560;28395.000;32.000
19.07.17;4:03:59 PM;18.25;90.890;26.600;28405.000;32.000
19.07.17;4:04:14 PM;18.50;91.300;26.560;28395.000;32.000
19.07.17;4:04:29 PM;18.75;90.860;26.610;28432.000;32.000
19.07.17;4:04:44 PM;19.00;91.150;26.570;28429.000;32.000
19.07.17;4:04:59 PM;19.25;90.890;26.600;28427.000;32.000
19.07.17;4:05:14 PM;19.50;90.800;26.620;28463.000;32.000
19.07.17;4:05:29 PM;19.75;90.820;26.610;28440.000;32.000
19.07.17;4:05:44 PM;20.00;90.380;26.660;28440.000;32.000
19.07.17;4:05:59 PM;20.25;90.780;26.620;28470.000;32.000
19.07.17;4:06:14 PM;20.50;91.010;26.590;28492.000;32.000
