21.07.17/8:58 AM SW ver:OXY10v3_33
Header Ch-10
Description: TWH3-18
IDENTIFICATION
PHIboard number   : v1231482
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 10

PARAMETERS
Signal LED current: 050
Ref LED current   : 068
Ref LED amplitude : 101442
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 045200
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
21.07.17;8:58:20 AM;0.00;96.050;28.480;43068.000;18.000
21.07.17;8:58:34 AM;0.23;95.620;28.530;43013.000;18.000
21.07.17;8:58:49 AM;0.48;95.410;28.550;43038.000;18.000
21.07.17;8:59:04 AM;0.73;96.180;28.460;43051.000;18.000
21.07.17;8:59:19 AM;0.98;95.450;28.550;43015.000;18.000
21.07.17;8:59:34 AM;1.23;96.090;28.480;43054.000;18.000
21.07.17;8:59:49 AM;1.48;95.790;28.510;43083.000;18.000
21.07.17;9:00:04 AM;1.73;95.630;28.530;43062.000;18.000
21.07.17;9:00:19 AM;1.98;95.780;28.510;43058.000;18.000
21.07.17;9:00:34 AM;2.23;95.520;28.540;43056.000;18.000
21.07.17;9:00:49 AM;2.48;95.590;28.530;43077.000;18.000
21.07.17;9:01:04 AM;2.73;95.470;28.550;43044.000;18.000
21.07.17;9:01:19 AM;2.98;95.370;28.560;43024.000;18.000
21.07.17;9:01:34 AM;3.23;95.470;28.550;43094.000;18.000
21.07.17;9:01:49 AM;3.48;94.980;28.600;43049.000;18.000
21.07.17;9:02:04 AM;3.73;95.310;28.560;43074.000;18.000
21.07.17;9:02:19 AM;3.98;95.240;28.570;43072.000;18.000
21.07.17;9:02:34 AM;4.23;95.490;28.540;43113.000;18.000
21.07.17;9:02:49 AM;4.48;95.100;28.590;43072.000;18.000
21.07.17;9:03:04 AM;4.73;94.970;28.600;43075.000;18.000
21.07.17;9:03:19 AM;4.98;94.780;28.620;43100.000;18.000
21.07.17;9:03:34 AM;5.23;94.850;28.620;43101.000;18.000
21.07.17;9:03:49 AM;5.48;95.390;28.550;43107.000;18.000
21.07.17;9:04:04 AM;5.73;95.250;28.570;43120.000;18.000
21.07.17;9:04:19 AM;5.98;95.230;28.570;43153.000;18.000
21.07.17;9:04:34 AM;6.23;95.120;28.590;43129.000;18.000
21.07.17;9:04:49 AM;6.48;95.130;28.580;43181.000;18.000
21.07.17;9:05:04 AM;6.73;94.690;28.640;43191.000;18.000
21.07.17;9:05:19 AM;6.98;95.210;28.580;43169.000;18.000
21.07.17;9:05:34 AM;7.23;95.350;28.560;43199.000;18.000
21.07.17;9:05:49 AM;7.48;95.090;28.590;43237.000;18.000
21.07.17;9:06:04 AM;7.73;95.340;28.560;43148.000;18.000
21.07.17;9:06:19 AM;7.98;95.420;28.550;43171.000;18.000
21.07.17;9:06:34 AM;8.23;95.430;28.550;43143.000;18.000
21.07.17;9:06:49 AM;8.48;95.370;28.560;43186.000;18.000
