21.07.17/8:20 AM SW ver:OXY10v3_33
Header Ch-4
Description: WBN1-18
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 99636
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
21.07.17;8:20:18 AM;0.00;94.470;28.660;38554.000;18.000
21.07.17;8:20:19 AM;0.02;94.460;28.660;38535.000;18.000
21.07.17;8:20:22 AM;0.07;94.780;28.620;38527.000;18.000
21.07.17;8:20:37 AM;0.32;94.640;28.640;38505.000;18.000
21.07.17;8:20:52 AM;0.57;94.870;28.610;38520.000;18.000
21.07.17;8:21:07 AM;0.82;94.870;28.610;38514.000;18.000
21.07.17;8:21:22 AM;1.07;94.580;28.650;38509.000;18.000
21.07.17;8:21:37 AM;1.32;94.610;28.640;38497.000;18.000
21.07.17;8:21:52 AM;1.57;94.900;28.610;38478.000;18.000
21.07.17;8:22:07 AM;1.82;94.870;28.610;38451.000;18.000
21.07.17;8:22:22 AM;2.07;94.840;28.620;38468.000;18.000
21.07.17;8:22:37 AM;2.32;94.980;28.600;38464.000;18.000
21.07.17;8:22:52 AM;2.57;94.550;28.650;38439.000;18.000
21.07.17;8:23:07 AM;2.82;94.760;28.630;38451.000;18.000
21.07.17;8:23:22 AM;3.07;94.840;28.620;38446.000;18.000
21.07.17;8:23:37 AM;3.32;94.550;28.650;38459.000;18.000
21.07.17;8:23:52 AM;3.57;94.460;28.660;38443.000;18.000
21.07.17;8:24:07 AM;3.82;94.530;28.650;38442.000;18.000
21.07.17;8:24:22 AM;4.07;94.640;28.640;38438.000;18.000
21.07.17;8:24:37 AM;4.32;94.420;28.670;38434.000;18.000
21.07.17;8:24:52 AM;4.57;94.640;28.640;38451.000;18.000
21.07.17;8:25:07 AM;4.82;94.490;28.660;38433.000;18.000
21.07.17;8:25:22 AM;5.07;94.190;28.690;38447.000;18.000
21.07.17;8:25:37 AM;5.32;94.380;28.670;38423.000;18.000
21.07.17;8:25:52 AM;5.57;94.280;28.680;38415.000;18.000
21.07.17;8:26:07 AM;5.82;94.230;28.690;38380.000;18.000
21.07.17;8:26:22 AM;6.07;94.160;28.700;38375.000;18.000
21.07.17;8:26:37 AM;6.32;94.360;28.670;38361.000;18.000
21.07.17;8:26:52 AM;6.57;94.490;28.660;38381.000;18.000
21.07.17;8:27:07 AM;6.82;94.230;28.690;38381.000;18.000
21.07.17;8:27:22 AM;7.07;94.260;28.690;38355.000;18.000
21.07.17;8:27:37 AM;7.32;94.140;28.700;38380.000;18.000
21.07.17;8:27:52 AM;7.57;94.030;28.710;38383.000;18.000
21.07.17;8:28:07 AM;7.82;94.430;28.670;38380.000;18.000
21.07.17;8:28:22 AM;8.07;93.950;28.720;38388.000;18.000
21.07.17;8:28:37 AM;8.32;94.440;28.660;38346.000;18.000
21.07.17;8:28:52 AM;8.57;93.940;28.720;38343.000;18.000
21.07.17;8:29:07 AM;8.82;94.230;28.690;38376.000;18.000
21.07.17;8:29:22 AM;9.07;94.110;28.700;38381.000;18.000
21.07.17;8:29:37 AM;9.32;93.960;28.720;38359.000;18.000
21.07.17;8:29:52 AM;9.57;94.160;28.700;38349.000;18.000
21.07.17;8:30:07 AM;9.82;94.420;28.670;38357.000;18.000
21.07.17;8:30:22 AM;10.07;93.830;28.740;38347.000;18.000
21.07.17;8:30:37 AM;10.32;94.140;28.700;38362.000;18.000
21.07.17;8:30:52 AM;10.57;94.300;28.680;38368.000;18.000
21.07.17;8:31:07 AM;10.82;94.010;28.710;38360.000;18.000
21.07.17;8:31:22 AM;11.07;93.950;28.720;38348.000;18.000
21.07.17;8:31:37 AM;11.32;94.100;28.700;38363.000;18.000
21.07.17;8:31:52 AM;11.57;93.770;28.740;38343.000;18.000
21.07.17;8:32:07 AM;11.82;93.890;28.730;38343.000;18.000
21.07.17;8:32:22 AM;12.07;94.000;28.720;38372.000;18.000
21.07.17;8:32:37 AM;12.32;93.960;28.720;38357.000;18.000
21.07.17;8:32:52 AM;12.57;93.870;28.730;38380.000;18.000
21.07.17;8:33:07 AM;12.82;93.830;28.730;38347.000;18.000
21.07.17;8:33:22 AM;13.07;93.770;28.740;38371.000;18.000
21.07.17;8:33:37 AM;13.32;94.140;28.700;38368.000;18.000
21.07.17;8:33:52 AM;13.57;93.410;28.780;38391.000;18.000
21.07.17;8:34:07 AM;13.82;93.900;28.730;38402.000;18.000
21.07.17;8:34:22 AM;14.07;93.620;28.760;38372.000;18.000
21.07.17;8:34:37 AM;14.32;94.070;28.710;38372.000;18.000
21.07.17;8:34:52 AM;14.57;93.550;28.770;38361.000;18.000
21.07.17;8:35:07 AM;14.82;93.770;28.740;38386.000;18.000
21.07.17;8:35:22 AM;15.07;93.360;28.790;38392.000;18.000
21.07.17;8:35:37 AM;15.32;93.850;28.730;38407.000;18.000
21.07.17;8:35:52 AM;15.57;93.560;28.770;38386.000;18.000
21.07.17;8:36:07 AM;15.82;93.710;28.750;38409.000;18.000
21.07.17;8:36:22 AM;16.07;93.610;28.760;38408.000;18.000
21.07.17;8:36:37 AM;16.32;93.790;28.740;38408.000;18.000
21.07.17;8:36:52 AM;16.57;93.580;28.760;38440.000;18.000
21.07.17;8:37:07 AM;16.82;93.480;28.780;38424.000;18.000
21.07.17;8:37:22 AM;17.07;93.340;28.790;38456.000;18.000
21.07.17;8:37:37 AM;17.32;93.250;28.800;38600.000;18.000
21.07.17;8:37:52 AM;17.57;93.020;28.830;38583.000;18.000
21.07.17;8:38:07 AM;17.82;92.980;28.830;38571.000;18.000
21.07.17;8:38:22 AM;18.07;93.500;28.770;38593.000;18.000
21.07.17;8:38:37 AM;18.32;93.400;28.790;38579.000;18.000
21.07.17;8:38:52 AM;18.57;93.530;28.770;38595.000;18.000
21.07.17;8:39:07 AM;18.82;93.440;28.780;38572.000;18.000
21.07.17;8:39:22 AM;19.07;93.370;28.790;38589.000;18.000
21.07.17;8:39:37 AM;19.32;93.310;28.800;38628.000;18.000
21.07.17;8:39:52 AM;19.57;93.110;28.820;38616.000;18.000
21.07.17;8:40:07 AM;19.82;93.330;28.790;38604.000;18.000
21.07.17;8:40:22 AM;20.07;93.180;28.810;38620.000;18.000
