21.07.17/10:44 AM SW ver:OXY10v3_33
Header Ch-4
Description: WBN1-22
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 99636
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
21.07.17;10:44:17 AM;0.00;95.390;27.820;37078.000;22.000
21.07.17;10:44:27 AM;0.16;93.810;28.000;37074.000;22.000
21.07.17;10:44:42 AM;0.41;94.620;27.910;37096.000;22.000
21.07.17;10:44:57 AM;0.66;93.800;28.000;37097.000;22.000
21.07.17;10:45:12 AM;0.91;94.040;27.970;37119.000;22.000
21.07.17;10:45:27 AM;1.16;94.260;27.950;37123.000;22.000
21.07.17;10:45:42 AM;1.41;93.810;28.000;37161.000;22.000
21.07.17;10:45:57 AM;1.66;94.080;27.970;37167.000;22.000
21.07.17;10:46:12 AM;1.91;94.160;27.960;37157.000;22.000
21.07.17;10:46:27 AM;2.16;93.800;28.000;37156.000;22.000
21.07.17;10:46:42 AM;2.41;93.560;28.030;37188.000;22.000
21.07.17;10:46:57 AM;2.66;94.390;27.930;37177.000;22.000
21.07.17;10:47:12 AM;2.91;94.040;27.970;37161.000;22.000
21.07.17;10:47:27 AM;3.16;92.990;28.090;37146.000;22.000
21.07.17;10:47:42 AM;3.41;93.390;28.050;37212.000;22.000
21.07.17;10:47:57 AM;3.66;93.680;28.010;37197.000;22.000
21.07.17;10:48:12 AM;3.91;93.320;28.060;37195.000;22.000
21.07.17;10:48:27 AM;4.16;93.700;28.010;37167.000;22.000
21.07.17;10:48:42 AM;4.41;93.930;27.980;37183.000;22.000
21.07.17;10:48:57 AM;4.66;93.820;28.000;37185.000;22.000
21.07.17;10:49:12 AM;4.91;93.520;28.030;37143.000;22.000
21.07.17;10:49:27 AM;5.16;93.620;28.020;37195.000;22.000
21.07.17;10:49:42 AM;5.41;93.860;27.990;37203.000;22.000
21.07.17;10:49:57 AM;5.66;93.740;28.010;37202.000;22.000
21.07.17;10:50:12 AM;5.91;93.510;28.030;37226.000;22.000
21.07.17;10:50:27 AM;6.16;93.120;28.080;37204.000;22.000
21.07.17;10:50:42 AM;6.41;93.910;27.990;37197.000;22.000
21.07.17;10:50:57 AM;6.66;93.840;28.000;37179.000;22.000
21.07.17;10:51:12 AM;6.91;93.820;28.000;37223.000;22.000
21.07.17;10:51:27 AM;7.16;93.370;28.050;37228.000;22.000
21.07.17;10:51:42 AM;7.41;93.640;28.020;37179.000;22.000
21.07.17;10:51:57 AM;7.66;94.000;27.980;37171.000;22.000
21.07.17;10:52:12 AM;7.91;92.940;28.100;37252.000;22.000
21.07.17;10:52:27 AM;8.16;92.900;28.100;37215.000;22.000
21.07.17;10:52:42 AM;8.41;93.760;28.000;37225.000;22.000
21.07.17;10:52:57 AM;8.66;93.280;28.060;37181.000;22.000
21.07.17;10:53:12 AM;8.91;93.450;28.040;37163.000;22.000
21.07.17;10:53:27 AM;9.16;93.210;28.070;37234.000;22.000
21.07.17;10:53:42 AM;9.41;93.920;27.990;37266.000;22.000
21.07.17;10:53:57 AM;9.66;92.950;28.100;37291.000;22.000
21.07.17;10:54:12 AM;9.91;93.350;28.050;37218.000;22.000
21.07.17;10:54:27 AM;10.16;93.500;28.030;37245.000;22.000
21.07.17;10:54:42 AM;10.41;93.070;28.080;37269.000;22.000
21.07.17;10:54:57 AM;10.66;93.990;27.980;37232.000;22.000
21.07.17;10:55:12 AM;10.91;93.360;28.050;37229.000;22.000
21.07.17;10:55:27 AM;11.16;93.030;28.090;37285.000;22.000
21.07.17;10:55:42 AM;11.41;93.440;28.040;37282.000;22.000
21.07.17;10:55:57 AM;11.66;93.050;28.090;37295.000;22.000
21.07.17;10:56:12 AM;11.91;93.320;28.060;37235.000;22.000
21.07.17;10:56:27 AM;12.16;93.250;28.060;37214.000;22.000
21.07.17;10:56:42 AM;12.41;93.260;28.060;37243.000;22.000
21.07.17;10:56:57 AM;12.66;93.690;28.010;37298.000;22.000
21.07.17;10:57:12 AM;12.91;93.070;28.080;37321.000;22.000
21.07.17;10:57:27 AM;13.16;93.420;28.040;37323.000;22.000
21.07.17;10:57:42 AM;13.41;92.580;28.140;37310.000;22.000
21.07.17;10:57:57 AM;13.66;92.810;28.110;37254.000;22.000
21.07.17;10:58:12 AM;13.91;93.390;28.050;37311.000;22.000
21.07.17;10:58:27 AM;14.16;93.130;28.080;37289.000;22.000
21.07.17;10:58:42 AM;14.41;92.760;28.120;37284.000;22.000
21.07.17;10:58:57 AM;14.66;93.280;28.060;37319.000;22.000
21.07.17;10:59:12 AM;14.91;92.970;28.100;37306.000;22.000
21.07.17;10:59:27 AM;15.16;93.100;28.080;37341.000;22.000
21.07.17;10:59:42 AM;15.41;93.270;28.060;37346.000;22.000
21.07.17;10:59:57 AM;15.66;93.200;28.070;37343.000;22.000
21.07.17;11:00:12 AM;15.91;92.990;28.090;37290.000;22.000
21.07.17;11:00:27 AM;16.16;92.590;28.140;37344.000;22.000
21.07.17;11:00:42 AM;16.41;92.840;28.110;37327.000;22.000
21.07.17;11:00:57 AM;16.66;93.510;28.030;37340.000;22.000
21.07.17;11:01:12 AM;16.91;92.890;28.110;37349.000;22.000
21.07.17;11:01:27 AM;17.16;93.150;28.070;37287.000;22.000
21.07.17;11:01:42 AM;17.41;92.530;28.150;37351.000;22.000
21.07.17;11:01:57 AM;17.66;92.680;28.130;37397.000;22.000
21.07.17;11:02:12 AM;17.91;92.590;28.140;37433.000;22.000
21.07.17;11:02:27 AM;18.16;93.580;28.020;37403.000;22.000
21.07.17;11:02:42 AM;18.41;92.710;28.130;37413.000;22.000
21.07.17;11:02:57 AM;18.66;93.080;28.080;37425.000;22.000
21.07.17;11:03:12 AM;18.91;92.460;28.150;37408.000;22.000
21.07.17;11:03:27 AM;19.16;92.520;28.150;37397.000;22.000
21.07.17;11:03:42 AM;19.41;92.920;28.100;37389.000;22.000
21.07.17;11:03:57 AM;19.66;92.780;28.120;37428.000;22.000
21.07.17;11:04:12 AM;19.91;92.170;28.190;37419.000;22.000
21.07.17;11:04:27 AM;20.16;92.660;28.130;37408.000;22.000
21.07.17;11:04:42 AM;20.41;92.590;28.140;37450.000;22.000
