21.07.17/10:44 AM SW ver:OXY10v3_33
Header Ch-5
Description: WWB4-22
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 104322
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
21.07.17;10:44:18 AM;0.00;94.840;27.880;46107.000;22.000
21.07.17;10:44:29 AM;0.18;94.040;27.970;46139.000;22.000
21.07.17;10:44:44 AM;0.43;93.210;28.070;46101.000;22.000
21.07.17;10:44:59 AM;0.68;93.690;28.010;46115.000;22.000
21.07.17;10:45:14 AM;0.93;94.140;27.960;46143.000;22.000
21.07.17;10:45:29 AM;1.18;93.580;28.030;46121.000;22.000
21.07.17;10:45:44 AM;1.43;93.430;28.040;46116.000;22.000
21.07.17;10:45:59 AM;1.68;94.060;27.970;46131.000;22.000
21.07.17;10:46:14 AM;1.93;93.870;27.990;46116.000;22.000
21.07.17;10:46:29 AM;2.18;93.910;27.990;46117.000;22.000
21.07.17;10:46:44 AM;2.43;93.810;28.000;46158.000;22.000
21.07.17;10:46:59 AM;2.68;94.270;27.950;46125.000;22.000
21.07.17;10:47:14 AM;2.93;94.110;27.960;46159.000;22.000
21.07.17;10:47:29 AM;3.18;94.120;27.960;46168.000;22.000
21.07.17;10:47:44 AM;3.43;93.700;28.010;46184.000;22.000
21.07.17;10:47:59 AM;3.68;93.870;27.990;46153.000;22.000
21.07.17;10:48:14 AM;3.93;94.030;27.970;46161.000;22.000
21.07.17;10:48:29 AM;4.18;93.700;28.010;46158.000;22.000
21.07.17;10:48:44 AM;4.43;93.650;28.020;46166.000;22.000
21.07.17;10:48:59 AM;4.68;93.460;28.040;46185.000;22.000
