21.07.17/10:44 AM SW ver:OXY10v3_33
Header Ch-6
Description: TBG1-22
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 101936
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
21.07.17;10:44:18 AM;0.00;96.580;27.690;36876.000;22.000
21.07.17;10:44:30 AM;0.20;96.560;27.690;36896.000;22.000
21.07.17;10:44:45 AM;0.45;95.970;27.750;36875.000;22.000
21.07.17;10:45:00 AM;0.70;96.630;27.680;36900.000;22.000
21.07.17;10:45:15 AM;0.95;96.830;27.660;36939.000;22.000
21.07.17;10:45:30 AM;1.20;96.960;27.640;36856.000;22.000
21.07.17;10:45:45 AM;1.45;96.860;27.650;36896.000;22.000
21.07.17;10:46:00 AM;1.70;96.270;27.720;36911.000;22.000
21.07.17;10:46:15 AM;1.95;96.340;27.710;36885.000;22.000
21.07.17;10:46:30 AM;2.20;95.910;27.760;36863.000;22.000
21.07.17;10:46:45 AM;2.45;96.620;27.680;36899.000;22.000
21.07.17;10:47:00 AM;2.70;96.130;27.740;36924.000;22.000
21.07.17;10:47:15 AM;2.95;96.400;27.710;36907.000;22.000
21.07.17;10:47:30 AM;3.20;96.600;27.680;36949.000;22.000
21.07.17;10:47:45 AM;3.45;95.940;27.760;36868.000;22.000
21.07.17;10:48:00 AM;3.70;96.820;27.660;36919.000;22.000
21.07.17;10:48:15 AM;3.95;95.880;27.760;36818.000;22.000
21.07.17;10:48:30 AM;4.20;95.770;27.780;36907.000;22.000
21.07.17;10:48:45 AM;4.45;96.530;27.690;36900.000;22.000
21.07.17;10:49:00 AM;4.70;96.670;27.680;36924.000;22.000
21.07.17;10:49:15 AM;4.95;95.840;27.770;36940.000;22.000
21.07.17;10:49:30 AM;5.20;96.490;27.700;36960.000;22.000
21.07.17;10:49:45 AM;5.45;96.700;27.670;36895.000;22.000
21.07.17;10:50:00 AM;5.70;96.480;27.700;36941.000;22.000
21.07.17;10:50:15 AM;5.95;95.970;27.750;36888.000;22.000
21.07.17;10:50:30 AM;6.20;96.810;27.660;36944.000;22.000
21.07.17;10:50:45 AM;6.45;95.760;27.780;36937.000;22.000
21.07.17;10:51:00 AM;6.70;95.530;27.800;36972.000;22.000
21.07.17;10:51:15 AM;6.95;95.720;27.780;36982.000;22.000
21.07.17;10:51:30 AM;7.20;94.860;27.880;36920.000;22.000
21.07.17;10:51:45 AM;7.45;96.290;27.720;36985.000;22.000
21.07.17;10:52:00 AM;7.70;96.540;27.690;36921.000;22.000
21.07.17;10:52:15 AM;7.95;96.770;27.670;36972.000;22.000
21.07.17;10:52:30 AM;8.20;95.900;27.760;36964.000;22.000
21.07.17;10:52:45 AM;8.45;96.050;27.750;36954.000;22.000
21.07.17;10:53:00 AM;8.70;95.710;27.780;36990.000;22.000
21.07.17;10:53:15 AM;8.95;95.360;27.820;36969.000;22.000
21.07.17;10:53:30 AM;9.20;96.180;27.730;36888.000;22.000
21.07.17;10:53:45 AM;9.45;97.030;27.640;36973.000;22.000
21.07.17;10:54:00 AM;9.70;96.050;27.740;36990.000;22.000
21.07.17;10:54:15 AM;9.95;96.500;27.690;36966.000;22.000
21.07.17;10:54:30 AM;10.20;96.200;27.730;37008.000;22.000
21.07.17;10:54:45 AM;10.45;96.150;27.730;37037.000;22.000
21.07.17;10:55:00 AM;10.70;96.000;27.750;37033.000;22.000
21.07.17;10:55:15 AM;10.95;96.390;27.710;36992.000;22.000
21.07.17;10:55:30 AM;11.20;95.820;27.770;36951.000;22.000
21.07.17;10:55:45 AM;11.45;96.050;27.750;37008.000;22.000
21.07.17;10:56:00 AM;11.70;95.670;27.790;37007.000;22.000
21.07.17;10:56:15 AM;11.95;96.480;27.700;37010.000;22.000
21.07.17;10:56:30 AM;12.20;95.890;27.760;37084.000;22.000
21.07.17;10:56:45 AM;12.45;95.830;27.770;37035.000;22.000
21.07.17;10:57:00 AM;12.70;95.630;27.790;37000.000;22.000
21.07.17;10:57:15 AM;12.95;94.880;27.880;37022.000;22.000
21.07.17;10:57:30 AM;13.20;95.110;27.850;37050.000;22.000
21.07.17;10:57:45 AM;13.45;95.710;27.780;37074.000;22.000
21.07.17;10:58:00 AM;13.70;96.140;27.730;37047.000;22.000
21.07.17;10:58:15 AM;13.95;95.330;27.830;37088.000;22.000
21.07.17;10:58:30 AM;14.20;96.160;27.730;37090.000;22.000
21.07.17;10:58:45 AM;14.45;95.250;27.830;37095.000;22.000
21.07.17;10:59:00 AM;14.70;95.790;27.770;37104.000;22.000
21.07.17;10:59:15 AM;14.95;95.660;27.790;37052.000;22.000
21.07.17;10:59:30 AM;15.20;95.700;27.780;37144.000;22.000
21.07.17;10:59:45 AM;15.45;96.060;27.740;37107.000;22.000
21.07.17;11:00:00 AM;15.70;96.300;27.720;37090.000;22.000
21.07.17;11:00:15 AM;15.95;95.860;27.770;37060.000;22.000
21.07.17;11:00:30 AM;16.20;95.110;27.850;37119.000;22.000
21.07.17;11:00:45 AM;16.45;95.000;27.860;37151.000;22.000
21.07.17;11:01:00 AM;16.70;94.960;27.870;37106.000;22.000
21.07.17;11:01:15 AM;16.95;94.930;27.870;37117.000;22.000
21.07.17;11:01:30 AM;17.20;95.800;27.770;37120.000;22.000
21.07.17;11:01:45 AM;17.45;95.720;27.780;37143.000;22.000
