21.07.17/10:44 AM SW ver:OXY10v3_33
Header Ch-7
Description: TWL2-22
IDENTIFICATION
PHIboard number   : v1231479
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 07

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 97602
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 040800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 027000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
21.07.17;10:44:19 AM;0.00;93.740;28.010;32186.000;22.000
21.07.17;10:44:32 AM;0.22;94.120;27.960;32160.000;22.000
21.07.17;10:44:47 AM;0.48;94.370;27.930;32166.000;22.000
21.07.17;10:45:02 AM;0.72;94.940;27.870;32144.000;22.000
21.07.17;10:45:17 AM;0.97;94.030;27.970;32164.000;22.000
21.07.17;10:45:32 AM;1.22;94.300;27.940;32167.000;22.000
21.07.17;10:45:47 AM;1.47;94.890;27.880;32125.000;22.000
21.07.17;10:46:02 AM;1.72;94.970;27.870;32155.000;22.000
21.07.17;10:46:17 AM;1.97;93.890;27.990;32187.000;22.000
21.07.17;10:46:32 AM;2.22;94.210;27.950;32172.000;22.000
21.07.17;10:46:47 AM;2.47;94.380;27.930;32185.000;22.000
21.07.17;10:47:02 AM;2.72;93.670;28.010;32162.000;22.000
21.07.17;10:47:17 AM;2.97;93.740;28.010;32152.000;22.000
21.07.17;10:47:32 AM;3.22;93.640;28.020;32157.000;22.000
21.07.17;10:47:47 AM;3.47;93.720;28.010;32187.000;22.000
21.07.17;10:48:02 AM;3.72;93.940;27.980;32150.000;22.000
21.07.17;10:48:17 AM;3.97;93.930;27.980;32174.000;22.000
21.07.17;10:48:32 AM;4.22;93.650;28.020;32185.000;22.000
21.07.17;10:48:47 AM;4.47;93.370;28.050;32180.000;22.000
21.07.17;10:49:02 AM;4.72;93.010;28.090;32208.000;22.000
21.07.17;10:49:17 AM;4.97;93.720;28.010;32207.000;22.000
21.07.17;10:49:32 AM;5.22;93.440;28.040;32213.000;22.000
21.07.17;10:49:47 AM;5.47;93.310;28.060;32224.000;22.000
21.07.17;10:50:02 AM;5.73;93.930;27.980;32226.000;22.000
21.07.17;10:50:17 AM;5.97;93.440;28.040;32261.000;22.000
21.07.17;10:50:32 AM;6.22;93.960;27.980;32190.000;22.000
21.07.17;10:50:47 AM;6.47;93.970;27.980;32207.000;22.000
21.07.17;10:51:02 AM;6.72;93.240;28.060;32247.000;22.000
21.07.17;10:51:17 AM;6.97;93.610;28.020;32267.000;22.000
21.07.17;10:51:32 AM;7.23;93.870;27.990;32240.000;22.000
21.07.17;10:51:47 AM;7.47;93.400;28.050;32287.000;22.000
21.07.17;10:52:02 AM;7.72;93.210;28.070;32203.000;22.000
21.07.17;10:52:17 AM;7.97;93.570;28.030;32245.000;22.000
21.07.17;10:52:32 AM;8.23;93.800;28.000;32294.000;22.000
21.07.17;10:52:47 AM;8.47;92.990;28.090;32254.000;22.000
21.07.17;10:53:02 AM;8.72;93.310;28.060;32263.000;22.000
21.07.17;10:53:17 AM;8.97;92.920;28.100;32287.000;22.000
21.07.17;10:53:32 AM;9.23;93.740;28.010;32263.000;22.000
21.07.17;10:53:47 AM;9.47;93.450;28.040;32308.000;22.000
21.07.17;10:54:02 AM;9.72;93.210;28.070;32299.000;22.000
21.07.17;10:54:17 AM;9.97;93.450;28.040;32292.000;22.000
21.07.17;10:54:32 AM;10.22;92.830;28.110;32313.000;22.000
21.07.17;10:54:47 AM;10.47;92.680;28.130;32279.000;22.000
21.07.17;10:55:02 AM;10.72;93.060;28.090;32298.000;22.000
21.07.17;10:55:17 AM;10.97;92.920;28.100;32327.000;22.000
21.07.17;10:55:32 AM;11.22;93.280;28.060;32315.000;22.000
21.07.17;10:55:47 AM;11.47;92.870;28.110;32316.000;22.000
21.07.17;10:56:02 AM;11.72;93.190;28.070;32345.000;22.000
21.07.17;10:56:17 AM;11.97;92.650;28.130;32342.000;22.000
21.07.17;10:56:32 AM;12.22;92.780;28.120;32349.000;22.000
21.07.17;10:56:47 AM;12.47;92.550;28.140;32334.000;22.000
21.07.17;10:57:02 AM;12.72;93.260;28.060;32385.000;22.000
21.07.17;10:57:17 AM;12.97;92.230;28.180;32374.000;22.000
21.07.17;10:57:32 AM;13.22;93.420;28.040;32387.000;22.000
21.07.17;10:57:47 AM;13.47;92.770;28.120;32352.000;22.000
21.07.17;10:58:02 AM;13.72;92.760;28.120;32376.000;22.000
21.07.17;10:58:17 AM;13.97;92.590;28.140;32390.000;22.000
21.07.17;10:58:32 AM;14.23;92.680;28.130;32415.000;22.000
21.07.17;10:58:47 AM;14.47;93.020;28.090;32442.000;22.000
21.07.17;10:59:02 AM;14.72;92.830;28.110;32387.000;22.000
21.07.17;10:59:17 AM;14.97;92.490;28.150;32421.000;22.000
21.07.17;10:59:32 AM;15.22;92.720;28.120;32420.000;22.000
21.07.17;10:59:47 AM;15.47;92.410;28.160;32412.000;22.000
21.07.17;11:00:02 AM;15.72;93.330;28.050;32424.000;22.000
21.07.17;11:00:17 AM;15.97;92.490;28.150;32423.000;22.000
21.07.17;11:00:32 AM;16.22;92.120;28.200;32451.000;22.000
21.07.17;11:00:47 AM;16.47;92.960;28.100;32421.000;22.000
21.07.17;11:01:02 AM;16.72;92.620;28.140;32441.000;22.000
21.07.17;11:01:17 AM;16.97;91.390;28.280;32453.000;22.000
21.07.17;11:01:32 AM;17.22;92.090;28.200;32433.000;22.000
21.07.17;11:01:47 AM;17.48;91.780;28.230;32428.000;22.000
21.07.17;11:02:02 AM;17.72;92.280;28.180;32460.000;22.000
21.07.17;11:02:17 AM;17.97;91.630;28.250;32481.000;22.000
21.07.17;11:02:32 AM;18.22;92.580;28.140;32441.000;22.000
21.07.17;11:02:47 AM;18.47;92.060;28.200;32499.000;22.000
21.07.17;11:03:02 AM;18.72;92.500;28.150;32426.000;22.000
