21.07.17/10:10 AM SW ver:OXY10v3_33
Header Ch-3
Description: WWF2-22
IDENTIFICATION
PHIboard number   : v1231475
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 105689
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 030000
100.00%a.s.phase 2: 27.68 at 020.0°C amp 033000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
21.07.17;10:10:00 AM;0.00;94.910;27.870;31253.000;22.000
21.07.17;10:10:10 AM;0.16;94.840;27.880;31283.000;22.000
21.07.17;10:10:25 AM;0.41;94.200;27.950;31266.000;22.000
21.07.17;10:10:40 AM;0.66;93.850;27.990;31232.000;22.000
21.07.17;10:10:55 AM;0.91;94.120;27.960;31303.000;22.000
21.07.17;10:11:10 AM;1.16;94.170;27.960;31286.000;22.000
21.07.17;10:11:25 AM;1.41;94.260;27.950;31267.000;22.000
21.07.17;10:11:40 AM;1.66;94.560;27.910;31260.000;22.000
21.07.17;10:11:55 AM;1.91;93.860;27.990;31284.000;22.000
21.07.17;10:12:10 AM;2.16;94.460;27.920;31285.000;22.000
21.07.17;10:12:25 AM;2.41;93.950;27.980;31309.000;22.000
21.07.17;10:12:40 AM;2.66;94.400;27.930;31248.000;22.000
21.07.17;10:12:55 AM;2.91;94.120;27.960;31297.000;22.000
21.07.17;10:13:10 AM;3.16;94.390;27.930;31317.000;22.000
21.07.17;10:13:25 AM;3.41;93.980;27.980;31302.000;22.000
21.07.17;10:13:40 AM;3.66;94.330;27.940;31316.000;22.000
21.07.17;10:13:55 AM;3.91;94.040;27.970;31328.000;22.000
21.07.17;10:14:10 AM;4.16;94.410;27.930;31293.000;22.000
21.07.17;10:14:25 AM;4.41;93.750;28.010;31314.000;22.000
21.07.17;10:14:40 AM;4.66;94.370;27.930;31289.000;22.000
21.07.17;10:14:55 AM;4.91;94.430;27.930;31326.000;22.000
21.07.17;10:15:10 AM;5.16;93.980;27.980;31323.000;22.000
21.07.17;10:15:25 AM;5.41;94.440;27.930;31321.000;22.000
21.07.17;10:15:40 AM;5.66;94.120;27.960;31323.000;22.000
21.07.17;10:15:55 AM;5.91;93.970;27.980;31310.000;22.000
21.07.17;10:16:10 AM;6.16;94.220;27.950;31316.000;22.000
21.07.17;10:16:25 AM;6.41;93.740;28.010;31291.000;22.000
21.07.17;10:16:40 AM;6.66;94.280;27.940;31341.000;22.000
21.07.17;10:16:55 AM;6.91;93.650;28.020;31340.000;22.000
21.07.17;10:17:10 AM;7.16;94.000;27.980;31334.000;22.000
21.07.17;10:17:25 AM;7.41;93.860;27.990;31371.000;22.000
21.07.17;10:17:40 AM;7.66;93.680;28.010;31349.000;22.000
21.07.17;10:17:55 AM;7.91;93.660;28.020;31354.000;22.000
21.07.17;10:18:10 AM;8.16;93.730;28.010;31340.000;22.000
21.07.17;10:18:25 AM;8.41;93.920;27.990;31351.000;22.000
21.07.17;10:18:40 AM;8.66;93.520;28.030;31357.000;22.000
21.07.17;10:18:55 AM;8.91;93.890;27.990;31391.000;22.000
21.07.17;10:19:10 AM;9.16;93.570;28.030;31349.000;22.000
21.07.17;10:19:25 AM;9.41;93.430;28.040;31332.000;22.000
21.07.17;10:19:40 AM;9.66;93.470;28.040;31381.000;22.000
21.07.17;10:19:55 AM;9.91;93.670;28.010;31381.000;22.000
21.07.17;10:20:10 AM;10.16;93.470;28.040;31367.000;22.000
21.07.17;10:20:25 AM;10.41;93.680;28.010;31387.000;22.000
21.07.17;10:20:40 AM;10.66;93.690;28.010;31384.000;22.000
21.07.17;10:20:55 AM;10.91;93.580;28.030;31393.000;22.000
21.07.17;10:21:10 AM;11.16;93.900;27.990;31405.000;22.000
21.07.17;10:21:25 AM;11.41;93.270;28.060;31382.000;22.000
21.07.17;10:21:40 AM;11.66;93.590;28.020;31382.000;22.000
21.07.17;10:21:55 AM;11.91;93.910;27.990;31398.000;22.000
21.07.17;10:22:10 AM;12.16;93.560;28.030;31412.000;22.000
21.07.17;10:22:25 AM;12.41;93.980;27.980;31437.000;22.000
21.07.17;10:22:40 AM;12.66;93.260;28.060;31450.000;22.000
21.07.17;10:22:55 AM;12.91;93.450;28.040;31467.000;22.000
21.07.17;10:23:10 AM;13.16;93.650;28.020;31472.000;22.000
21.07.17;10:23:25 AM;13.41;93.260;28.060;31428.000;22.000
21.07.17;10:23:40 AM;13.66;93.410;28.040;31470.000;22.000
21.07.17;10:23:55 AM;13.91;93.210;28.070;31471.000;22.000
21.07.17;10:24:10 AM;14.16;93.860;27.990;31447.000;22.000
21.07.17;10:24:25 AM;14.41;92.920;28.100;31465.000;22.000
21.07.17;10:24:40 AM;14.66;93.500;28.030;31458.000;22.000
21.07.17;10:24:55 AM;14.91;93.280;28.060;31487.000;22.000
21.07.17;10:25:10 AM;15.16;93.650;28.020;31478.000;22.000
21.07.17;10:25:25 AM;15.41;93.040;28.090;31481.000;22.000
21.07.17;10:25:40 AM;15.66;93.200;28.070;31486.000;22.000
21.07.17;10:25:55 AM;15.91;93.450;28.040;31497.000;22.000
21.07.17;10:26:10 AM;16.16;93.400;28.050;31470.000;22.000
21.07.17;10:26:25 AM;16.41;93.600;28.020;31499.000;22.000
21.07.17;10:26:40 AM;16.66;93.320;28.050;31500.000;22.000
21.07.17;10:26:55 AM;16.91;93.000;28.090;31488.000;22.000
21.07.17;10:27:10 AM;17.16;92.970;28.100;31528.000;22.000
21.07.17;10:27:25 AM;17.41;93.490;28.040;31501.000;22.000
21.07.17;10:27:40 AM;17.66;92.760;28.120;31523.000;22.000
21.07.17;10:27:55 AM;17.91;93.290;28.060;31510.000;22.000
21.07.17;10:28:10 AM;18.16;93.190;28.070;31527.000;22.000
21.07.17;10:28:25 AM;18.41;93.010;28.090;31518.000;22.000
21.07.17;10:28:40 AM;18.66;92.950;28.100;31526.000;22.000
21.07.17;10:28:55 AM;18.91;93.090;28.080;31522.000;22.000
21.07.17;10:29:10 AM;19.16;92.840;28.110;31543.000;22.000
21.07.17;10:29:25 AM;19.41;92.850;28.110;31537.000;22.000
21.07.17;10:29:40 AM;19.66;93.060;28.090;31534.000;22.000
21.07.17;10:29:55 AM;19.91;93.160;28.070;31547.000;22.000
21.07.17;10:30:10 AM;20.16;92.860;28.110;31556.000;22.000
