21.07.17/10:10 AM SW ver:OXY10v3_33
Header Ch-5
Description: WWB4-22
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 104322
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
21.07.17;10:10:01 AM;0.00;94.050;27.970;46230.000;22.000
21.07.17;10:10:14 AM;0.20;93.990;27.980;46223.000;22.000
21.07.17;10:10:29 AM;0.45;93.980;27.980;46256.000;22.000
21.07.17;10:10:44 AM;0.70;94.220;27.950;46241.000;22.000
21.07.17;10:10:59 AM;0.95;94.170;27.960;46280.000;22.000
21.07.17;10:11:14 AM;1.20;93.940;27.980;46263.000;22.000
21.07.17;10:11:29 AM;1.45;93.990;27.980;46245.000;22.000
21.07.17;10:11:44 AM;1.70;93.580;28.020;46264.000;22.000
21.07.17;10:11:59 AM;1.95;93.650;28.020;46260.000;22.000
21.07.17;10:12:14 AM;2.20;93.370;28.050;46255.000;22.000
21.07.17;10:12:29 AM;2.45;93.780;28.000;46268.000;22.000
21.07.17;10:12:44 AM;2.70;93.940;27.980;46303.000;22.000
21.07.17;10:12:59 AM;2.95;93.510;28.030;46298.000;22.000
21.07.17;10:13:14 AM;3.20;93.650;28.020;46290.000;22.000
21.07.17;10:13:29 AM;3.45;93.780;28.000;46295.000;22.000
21.07.17;10:13:44 AM;3.70;93.700;28.010;46281.000;22.000
21.07.17;10:13:59 AM;3.95;93.340;28.050;46347.000;22.000
21.07.17;10:14:14 AM;4.20;93.320;28.050;46305.000;22.000
21.07.17;10:14:29 AM;4.45;93.520;28.030;46324.000;22.000
21.07.17;10:14:44 AM;4.70;93.750;28.010;46329.000;22.000
21.07.17;10:14:59 AM;4.95;93.850;27.990;46340.000;22.000
21.07.17;10:15:14 AM;5.20;93.200;28.070;46329.000;22.000
21.07.17;10:15:29 AM;5.45;93.490;28.040;46352.000;22.000
21.07.17;10:15:44 AM;5.70;93.540;28.030;46356.000;22.000
21.07.17;10:15:59 AM;5.95;93.240;28.060;46386.000;22.000
21.07.17;10:16:14 AM;6.20;93.640;28.020;46367.000;22.000
21.07.17;10:16:29 AM;6.45;93.210;28.070;46367.000;22.000
21.07.17;10:16:44 AM;6.70;93.210;28.070;46366.000;22.000
21.07.17;10:16:59 AM;6.95;93.390;28.050;46399.000;22.000
21.07.17;10:17:14 AM;7.20;93.280;28.060;46399.000;22.000
21.07.17;10:17:29 AM;7.45;93.310;28.060;46379.000;22.000
21.07.17;10:17:44 AM;7.70;93.150;28.070;46387.000;22.000
21.07.17;10:17:59 AM;7.95;93.180;28.070;46406.000;22.000
21.07.17;10:18:14 AM;8.20;92.980;28.090;46394.000;22.000
21.07.17;10:18:29 AM;8.45;93.310;28.060;46422.000;22.000
21.07.17;10:18:44 AM;8.70;93.340;28.050;46412.000;22.000
21.07.17;10:18:59 AM;8.95;93.030;28.090;46423.000;22.000
21.07.17;10:19:14 AM;9.20;93.160;28.070;46413.000;22.000
21.07.17;10:19:29 AM;9.45;93.120;28.080;46443.000;22.000
21.07.17;10:19:44 AM;9.70;93.280;28.060;46430.000;22.000
21.07.17;10:19:59 AM;9.95;93.170;28.070;46432.000;22.000
21.07.17;10:20:14 AM;10.20;92.840;28.110;46453.000;22.000
21.07.17;10:20:29 AM;10.45;93.020;28.090;46487.000;22.000
21.07.17;10:20:44 AM;10.70;92.750;28.120;46472.000;22.000
21.07.17;10:20:59 AM;10.95;93.170;28.070;46478.000;22.000
21.07.17;10:21:14 AM;11.20;92.880;28.110;46485.000;22.000
21.07.17;10:21:29 AM;11.45;93.000;28.090;46473.000;22.000
21.07.17;10:21:44 AM;11.70;92.880;28.110;46495.000;22.000
21.07.17;10:21:59 AM;11.95;92.870;28.110;46485.000;22.000
21.07.17;10:22:14 AM;12.20;92.750;28.120;46472.000;22.000
21.07.17;10:22:29 AM;12.45;92.700;28.130;46502.000;22.000
21.07.17;10:22:44 AM;12.70;92.540;28.150;46522.000;22.000
21.07.17;10:22:59 AM;12.95;92.740;28.120;46515.000;22.000
21.07.17;10:23:14 AM;13.20;92.760;28.120;46502.000;22.000
21.07.17;10:23:29 AM;13.45;92.860;28.110;46538.000;22.000
21.07.17;10:23:44 AM;13.70;92.690;28.130;46505.000;22.000
21.07.17;10:23:59 AM;13.95;92.890;28.110;46566.000;22.000
21.07.17;10:24:14 AM;14.20;92.820;28.110;46547.000;22.000
21.07.17;10:24:29 AM;14.45;92.580;28.140;46565.000;22.000
21.07.17;10:24:44 AM;14.70;92.630;28.140;46550.000;22.000
21.07.17;10:24:59 AM;14.95;92.380;28.160;46578.000;22.000
21.07.17;10:25:14 AM;15.20;92.720;28.120;46559.000;22.000
21.07.17;10:25:29 AM;15.45;92.420;28.160;46577.000;22.000
21.07.17;10:25:44 AM;15.70;92.860;28.110;46606.000;22.000
21.07.17;10:25:59 AM;15.95;92.130;28.190;46608.000;22.000
21.07.17;10:26:14 AM;16.20;92.280;28.180;46609.000;22.000
21.07.17;10:26:29 AM;16.45;92.400;28.160;46596.000;22.000
21.07.17;10:26:44 AM;16.70;92.210;28.180;46634.000;22.000
21.07.17;10:26:59 AM;16.95;92.440;28.160;46637.000;22.000
21.07.17;10:27:14 AM;17.20;92.420;28.160;46663.000;22.000
21.07.17;10:27:29 AM;17.45;92.130;28.190;46625.000;22.000
21.07.17;10:27:44 AM;17.70;92.230;28.180;46635.000;22.000
21.07.17;10:27:59 AM;17.95;92.450;28.160;46672.000;22.000
21.07.17;10:28:14 AM;18.20;91.890;28.220;46623.000;22.000
21.07.17;10:28:29 AM;18.45;92.250;28.180;46640.000;22.000
21.07.17;10:28:44 AM;18.70;92.050;28.200;46662.000;22.000
21.07.17;10:28:59 AM;18.95;92.120;28.200;46714.000;22.000
21.07.17;10:29:14 AM;19.20;92.130;28.190;46667.000;22.000
21.07.17;10:29:29 AM;19.45;92.400;28.160;46700.000;22.000
21.07.17;10:29:44 AM;19.70;92.460;28.160;46667.000;22.000
21.07.17;10:29:59 AM;19.95;92.040;28.200;46712.000;22.000
21.07.17;10:30:14 AM;20.20;92.000;28.210;46695.000;22.000
