21.07.17/10:10 AM SW ver:OXY10v3_33
Header Ch-7
Description: TWL2-22
IDENTIFICATION
PHIboard number   : v1231479
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 07

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 97602
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 040800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 027000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
21.07.17;10:10:02 AM;0.00;94.180;27.960;32638.000;22.000
21.07.17;10:10:17 AM;0.25;94.550;27.910;32621.000;22.000
21.07.17;10:10:32 AM;0.50;93.830;28.000;32631.000;22.000
21.07.17;10:10:47 AM;0.75;93.970;27.980;32616.000;22.000
21.07.17;10:11:02 AM;1.00;94.330;27.940;32642.000;22.000
21.07.17;10:11:17 AM;1.25;93.780;28.000;32605.000;22.000
21.07.17;10:11:32 AM;1.50;93.940;27.980;32619.000;22.000
21.07.17;10:11:47 AM;1.75;93.730;28.010;32616.000;22.000
21.07.17;10:12:02 AM;2.00;93.980;27.980;32636.000;22.000
21.07.17;10:12:17 AM;2.25;94.000;27.980;32651.000;22.000
21.07.17;10:12:32 AM;2.50;93.960;27.980;32611.000;22.000
21.07.17;10:12:47 AM;2.75;93.520;28.030;32643.000;22.000
21.07.17;10:13:02 AM;3.00;93.600;28.020;32662.000;22.000
21.07.17;10:13:17 AM;3.25;93.410;28.040;32616.000;22.000
21.07.17;10:13:32 AM;3.50;93.590;28.020;32674.000;22.000
21.07.17;10:13:47 AM;3.75;93.650;28.020;32690.000;22.000
21.07.17;10:14:02 AM;4.00;92.900;28.100;32671.000;22.000
21.07.17;10:14:17 AM;4.25;93.750;28.010;32693.000;22.000
21.07.17;10:14:32 AM;4.50;93.610;28.020;32685.000;22.000
21.07.17;10:14:47 AM;4.75;93.280;28.060;32710.000;22.000
21.07.17;10:15:02 AM;5.00;93.340;28.050;32692.000;22.000
21.07.17;10:15:17 AM;5.25;93.780;28.000;32707.000;22.000
21.07.17;10:15:32 AM;5.50;93.360;28.050;32690.000;22.000
21.07.17;10:15:47 AM;5.75;92.760;28.120;32727.000;22.000
21.07.17;10:16:02 AM;6.00;93.450;28.040;32748.000;22.000
21.07.17;10:16:17 AM;6.25;92.720;28.120;32736.000;22.000
21.07.17;10:16:32 AM;6.50;92.950;28.100;32763.000;22.000
21.07.17;10:16:47 AM;6.75;92.830;28.110;32736.000;22.000
21.07.17;10:17:02 AM;7.00;93.070;28.080;32720.000;22.000
21.07.17;10:17:17 AM;7.25;92.930;28.100;32770.000;22.000
21.07.17;10:17:32 AM;7.50;92.480;28.150;32774.000;22.000
21.07.17;10:17:47 AM;7.75;92.740;28.120;32763.000;22.000
21.07.17;10:18:02 AM;8.00;92.760;28.120;32786.000;22.000
21.07.17;10:18:17 AM;8.25;92.540;28.150;32792.000;22.000
21.07.17;10:18:32 AM;8.50;92.880;28.110;32833.000;22.000
21.07.17;10:18:47 AM;8.75;93.020;28.090;32791.000;22.000
