21.07.17/12:27 PM SW ver:OXY10v3_33
Header Ch-5
Description: WWB4-26
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 104322
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
21.07.17;12:27:42 PM;0.00;93.700;27.300;44408.000;26.000
21.07.17;12:27:56 PM;0.23;93.410;27.330;44425.000;26.000
21.07.17;12:28:11 PM;0.48;93.820;27.290;44423.000;26.000
21.07.17;12:28:26 PM;0.73;93.710;27.300;44445.000;26.000
21.07.17;12:28:41 PM;0.98;93.670;27.310;44431.000;26.000
21.07.17;12:28:56 PM;1.23;93.420;27.330;44469.000;26.000
21.07.17;12:29:11 PM;1.48;93.410;27.330;44443.000;26.000
21.07.17;12:29:26 PM;1.73;93.290;27.350;44449.000;26.000
21.07.17;12:29:41 PM;1.98;93.530;27.320;44431.000;26.000
21.07.17;12:29:56 PM;2.23;93.930;27.280;44491.000;26.000
21.07.17;12:30:11 PM;2.48;93.080;27.370;44429.000;26.000
21.07.17;12:30:26 PM;2.73;93.010;27.380;44449.000;26.000
21.07.17;12:30:41 PM;2.98;93.410;27.330;44412.000;26.000
21.07.17;12:30:56 PM;3.23;93.950;27.270;44478.000;26.000
21.07.17;12:31:11 PM;3.48;93.030;27.380;44444.000;26.000
21.07.17;12:31:26 PM;3.73;93.090;27.370;44471.000;26.000
21.07.17;12:31:41 PM;3.98;93.420;27.330;44451.000;26.000
21.07.17;12:31:56 PM;4.23;92.930;27.390;44464.000;26.000
21.07.17;12:32:11 PM;4.48;93.610;27.310;44479.000;26.000
21.07.17;12:32:26 PM;4.73;93.520;27.320;44457.000;26.000
21.07.17;12:32:41 PM;4.98;93.440;27.330;44529.000;26.000
21.07.17;12:32:56 PM;5.23;93.260;27.350;44478.000;26.000
21.07.17;12:33:11 PM;5.48;93.220;27.360;44493.000;26.000
21.07.17;12:33:26 PM;5.73;92.730;27.410;44499.000;26.000
21.07.17;12:33:41 PM;5.98;93.250;27.350;44497.000;26.000
21.07.17;12:33:56 PM;6.23;93.250;27.350;44525.000;26.000
21.07.17;12:34:11 PM;6.48;93.350;27.340;44529.000;26.000
21.07.17;12:34:26 PM;6.73;93.310;27.350;44514.000;26.000
21.07.17;12:34:41 PM;6.98;93.140;27.370;44511.000;26.000
21.07.17;12:34:56 PM;7.23;93.330;27.340;44527.000;26.000
21.07.17;12:35:11 PM;7.48;92.950;27.390;44517.000;26.000
21.07.17;12:35:26 PM;7.73;93.190;27.360;44492.000;26.000
21.07.17;12:35:41 PM;7.98;93.320;27.340;44537.000;26.000
21.07.17;12:35:56 PM;8.23;92.140;27.480;44485.000;26.000
21.07.17;12:36:11 PM;8.48;92.960;27.390;44502.000;26.000
21.07.17;12:36:26 PM;8.73;93.230;27.350;44498.000;26.000
21.07.17;12:36:41 PM;8.98;92.690;27.420;44504.000;26.000
21.07.17;12:36:56 PM;9.23;92.880;27.390;44504.000;26.000
21.07.17;12:37:11 PM;9.48;93.050;27.380;44522.000;26.000
21.07.17;12:37:26 PM;9.73;92.730;27.410;44553.000;26.000
21.07.17;12:37:41 PM;9.98;92.660;27.420;44529.000;26.000
21.07.17;12:37:56 PM;10.23;93.330;27.340;44551.000;26.000
21.07.17;12:38:11 PM;10.48;92.850;27.400;44547.000;26.000
21.07.17;12:38:26 PM;10.73;92.600;27.430;44561.000;26.000
21.07.17;12:38:41 PM;10.98;92.830;27.400;44576.000;26.000
21.07.17;12:38:56 PM;11.23;92.860;27.400;44586.000;26.000
21.07.17;12:39:11 PM;11.48;92.360;27.450;44548.000;26.000
21.07.17;12:39:26 PM;11.73;92.680;27.420;44563.000;26.000
21.07.17;12:39:41 PM;11.98;92.390;27.450;44611.000;26.000
21.07.17;12:39:56 PM;12.23;92.610;27.430;44591.000;26.000
21.07.17;12:40:11 PM;12.48;92.730;27.410;44638.000;26.000
21.07.17;12:40:26 PM;12.73;92.670;27.420;44590.000;26.000
21.07.17;12:40:41 PM;12.98;92.500;27.440;44603.000;26.000
21.07.17;12:40:56 PM;13.23;92.450;27.440;44633.000;26.000
21.07.17;12:41:11 PM;13.48;92.580;27.430;44654.000;26.000
21.07.17;12:41:26 PM;13.73;92.550;27.430;44634.000;26.000
21.07.17;12:41:41 PM;13.98;92.470;27.440;44647.000;26.000
21.07.17;12:41:56 PM;14.23;92.100;27.480;44650.000;26.000
21.07.17;12:42:11 PM;14.48;91.700;27.530;44633.000;26.000
21.07.17;12:42:26 PM;14.73;92.230;27.470;44653.000;26.000
21.07.17;12:42:41 PM;14.98;92.630;27.420;44650.000;26.000
21.07.17;12:42:56 PM;15.23;92.410;27.450;44636.000;26.000
21.07.17;12:43:11 PM;15.48;92.490;27.440;44653.000;26.000
21.07.17;12:43:26 PM;15.73;92.040;27.490;44703.000;26.000
21.07.17;12:43:41 PM;15.98;92.440;27.450;44703.000;26.000
21.07.17;12:43:56 PM;16.23;92.220;27.470;44717.000;26.000
21.07.17;12:44:11 PM;16.48;91.790;27.520;44752.000;26.000
21.07.17;12:44:26 PM;16.73;92.080;27.490;44675.000;26.000
21.07.17;12:44:41 PM;16.98;92.210;27.470;44721.000;26.000
21.07.17;12:44:56 PM;17.23;92.320;27.460;44709.000;26.000
21.07.17;12:45:11 PM;17.48;92.020;27.490;44728.000;26.000
21.07.17;12:45:26 PM;17.73;92.040;27.490;44785.000;26.000
21.07.17;12:45:41 PM;17.98;92.020;27.490;44746.000;26.000
21.07.17;12:45:56 PM;18.23;91.990;27.500;44793.000;26.000
21.07.17;12:46:11 PM;18.48;92.320;27.460;44787.000;26.000
21.07.17;12:46:26 PM;18.73;91.510;27.550;44745.000;26.000
21.07.17;12:46:41 PM;18.98;91.980;27.500;44783.000;26.000
21.07.17;12:46:56 PM;19.23;92.050;27.490;44819.000;26.000
21.07.17;12:47:11 PM;19.48;92.020;27.490;44771.000;26.000
21.07.17;12:47:26 PM;19.73;92.040;27.490;44823.000;26.000
21.07.17;12:47:41 PM;19.98;92.110;27.480;44839.000;26.000
