21.07.17/12:27 PM SW ver:OXY10v3_33
Header Ch-6
Description: TBG1-26
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 101936
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
21.07.17;12:27:44 PM;0.00;96.400;27.000;35620.000;26.000
21.07.17;12:27:58 PM;0.24;96.300;27.010;35658.000;26.000
21.07.17;12:28:13 PM;0.49;96.450;27.000;35656.000;26.000
21.07.17;12:28:28 PM;0.74;96.960;26.940;35661.000;26.000
21.07.17;12:28:43 PM;0.99;96.330;27.010;35646.000;26.000
21.07.17;12:28:58 PM;1.24;94.800;27.180;35642.000;26.000
21.07.17;12:29:13 PM;1.49;96.520;26.990;35659.000;26.000
21.07.17;12:29:28 PM;1.74;95.810;27.070;35646.000;26.000
21.07.17;12:29:43 PM;1.99;95.690;27.080;35744.000;26.000
21.07.17;12:29:58 PM;2.24;96.060;27.040;35635.000;26.000
21.07.17;12:30:13 PM;2.49;96.690;26.970;35650.000;26.000
21.07.17;12:30:28 PM;2.74;96.540;26.990;35684.000;26.000
21.07.17;12:30:43 PM;2.99;96.390;27.000;35729.000;26.000
21.07.17;12:30:58 PM;3.24;96.190;27.020;35711.000;26.000
21.07.17;12:31:13 PM;3.49;95.120;27.140;35682.000;26.000
21.07.17;12:31:28 PM;3.74;95.890;27.060;35723.000;26.000
21.07.17;12:31:43 PM;3.99;95.920;27.050;35655.000;26.000
21.07.17;12:31:58 PM;4.24;95.300;27.120;35760.000;26.000
21.07.17;12:32:13 PM;4.49;96.820;26.960;35764.000;26.000
21.07.17;12:32:28 PM;4.74;95.970;27.050;35747.000;26.000
21.07.17;12:32:43 PM;4.99;95.820;27.060;35691.000;26.000
21.07.17;12:32:58 PM;5.24;95.130;27.140;35746.000;26.000
21.07.17;12:33:13 PM;5.49;94.270;27.240;35790.000;26.000
21.07.17;12:33:28 PM;5.74;96.190;27.020;35786.000;26.000
21.07.17;12:33:43 PM;5.99;96.310;27.010;35718.000;26.000
21.07.17;12:33:58 PM;6.24;95.640;27.080;35799.000;26.000
21.07.17;12:34:13 PM;6.49;95.480;27.100;35794.000;26.000
21.07.17;12:34:28 PM;6.74;95.810;27.070;35770.000;26.000
21.07.17;12:34:43 PM;6.99;94.970;27.160;35774.000;26.000
21.07.17;12:34:58 PM;7.24;95.610;27.090;35800.000;26.000
21.07.17;12:35:13 PM;7.49;94.980;27.160;35825.000;26.000
21.07.17;12:35:28 PM;7.74;95.480;27.100;35794.000;26.000
21.07.17;12:35:43 PM;7.99;96.180;27.030;35804.000;26.000
21.07.17;12:35:58 PM;8.24;95.130;27.140;35811.000;26.000
21.07.17;12:36:13 PM;8.49;94.990;27.160;35837.000;26.000
21.07.17;12:36:28 PM;8.74;95.620;27.090;35832.000;26.000
21.07.17;12:36:43 PM;8.99;95.980;27.050;35859.000;26.000
21.07.17;12:36:58 PM;9.24;94.180;27.250;35883.000;26.000
21.07.17;12:37:13 PM;9.49;95.910;27.060;35825.000;26.000
21.07.17;12:37:28 PM;9.74;94.840;27.170;35825.000;26.000
21.07.17;12:37:43 PM;9.99;95.440;27.110;35826.000;26.000
21.07.17;12:37:58 PM;10.24;94.640;27.200;35900.000;26.000
21.07.17;12:38:13 PM;10.49;96.240;27.020;35891.000;26.000
21.07.17;12:38:28 PM;10.74;94.880;27.170;35909.000;26.000
21.07.17;12:38:43 PM;10.99;94.940;27.160;35912.000;26.000
21.07.17;12:38:58 PM;11.24;94.880;27.170;35895.000;26.000
21.07.17;12:39:13 PM;11.49;93.980;27.270;35887.000;26.000
21.07.17;12:39:28 PM;11.74;94.460;27.220;35860.000;26.000
21.07.17;12:39:43 PM;11.99;95.440;27.110;35888.000;26.000
21.07.17;12:39:58 PM;12.24;95.620;27.090;35883.000;26.000
21.07.17;12:40:13 PM;12.49;94.620;27.200;35877.000;26.000
21.07.17;12:40:28 PM;12.74;95.950;27.050;35968.000;26.000
21.07.17;12:40:43 PM;12.99;94.610;27.200;35935.000;26.000
21.07.17;12:40:58 PM;13.24;95.150;27.140;35900.000;26.000
21.07.17;12:41:13 PM;13.49;95.210;27.130;35891.000;26.000
21.07.17;12:41:28 PM;13.74;94.460;27.220;35973.000;26.000
21.07.17;12:41:43 PM;13.99;95.240;27.130;36008.000;26.000
21.07.17;12:41:58 PM;14.24;95.050;27.150;35961.000;26.000
21.07.17;12:42:13 PM;14.49;95.300;27.120;35957.000;26.000
21.07.17;12:42:28 PM;14.74;93.620;27.310;35957.000;26.000
21.07.17;12:42:43 PM;14.99;94.230;27.240;36010.000;26.000
21.07.17;12:42:58 PM;15.24;93.990;27.270;35982.000;26.000
21.07.17;12:43:13 PM;15.49;94.540;27.210;36030.000;26.000
21.07.17;12:43:28 PM;15.74;95.070;27.150;35985.000;26.000
21.07.17;12:43:43 PM;15.99;94.410;27.220;36002.000;26.000
21.07.17;12:43:58 PM;16.24;94.710;27.190;36065.000;26.000
21.07.17;12:44:13 PM;16.49;93.630;27.310;36035.000;26.000
21.07.17;12:44:28 PM;16.74;93.670;27.300;36004.000;26.000
21.07.17;12:44:43 PM;16.99;94.680;27.190;36045.000;26.000
21.07.17;12:44:58 PM;17.24;94.460;27.220;36027.000;26.000
21.07.17;12:45:13 PM;17.49;94.420;27.220;36089.000;26.000
21.07.17;12:45:28 PM;17.74;93.830;27.290;36039.000;26.000
21.07.17;12:45:43 PM;17.99;94.630;27.200;36107.000;26.000
21.07.17;12:45:58 PM;18.24;94.580;27.200;36032.000;26.000
21.07.17;12:46:13 PM;18.49;93.980;27.270;36056.000;26.000
21.07.17;12:46:28 PM;18.74;93.970;27.270;36112.000;26.000
21.07.17;12:46:43 PM;18.99;94.230;27.240;36099.000;26.000
21.07.17;12:46:58 PM;19.24;93.820;27.290;36126.000;26.000
21.07.17;12:47:13 PM;19.49;93.680;27.300;36082.000;26.000
21.07.17;12:47:28 PM;19.74;94.300;27.230;36039.000;26.000
21.07.17;12:47:43 PM;19.99;93.800;27.290;36100.000;26.000
