21.07.17/12:27 PM SW ver:OXY10v3_33
Header Ch-9
Description: TBM5-26
IDENTIFICATION
PHIboard number   : v1231481
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 09

PARAMETERS
Signal LED current: 050
Ref LED current   : 072
Ref LED amplitude : 102989
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 034700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 023000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
21.07.17;12:27:44 PM;0.00;94.990;27.160;31640.000;26.000
21.07.17;12:27:49 PM;0.08;95.220;27.130;31600.000;26.000
21.07.17;12:28:04 PM;0.33;94.980;27.160;31582.000;26.000
21.07.17;12:28:19 PM;0.58;95.040;27.150;31623.000;26.000
21.07.17;12:28:34 PM;0.83;94.380;27.230;31626.000;26.000
21.07.17;12:28:49 PM;1.08;94.810;27.180;31642.000;26.000
21.07.17;12:29:04 PM;1.33;94.810;27.180;31654.000;26.000
21.07.17;12:29:19 PM;1.58;95.080;27.150;31660.000;26.000
21.07.17;12:29:34 PM;1.83;94.540;27.210;31608.000;26.000
21.07.17;12:29:49 PM;2.08;94.190;27.250;31649.000;26.000
21.07.17;12:30:04 PM;2.33;94.940;27.160;31656.000;26.000
21.07.17;12:30:19 PM;2.58;94.220;27.240;31679.000;26.000
21.07.17;12:30:34 PM;2.83;94.370;27.230;31671.000;26.000
21.07.17;12:30:49 PM;3.08;94.540;27.210;31669.000;26.000
