21.07.17/11:55 AM SW ver:OXY10v3_33
Header Ch-8
Description: WBB2-26
IDENTIFICATION
PHIboard number   : v1231480
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 08

PARAMETERS
Signal LED current: 050
Ref LED current   : 071
Ref LED amplitude : 103194
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 038800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 025100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
21.07.17;11:55:32 AM;0.00;94.260;27.240;28384.000;26.000
21.07.17;11:55:47 AM;0.25;94.120;27.250;28375.000;26.000
21.07.17;11:56:02 AM;0.50;93.900;27.280;28404.000;26.000
21.07.17;11:56:17 AM;0.75;94.660;27.190;28408.000;26.000
21.07.17;11:56:32 AM;1.00;94.150;27.250;28406.000;26.000
21.07.17;11:56:47 AM;1.25;94.620;27.200;28387.000;26.000
21.07.17;11:57:02 AM;1.50;94.060;27.260;28406.000;26.000
21.07.17;11:57:17 AM;1.75;94.140;27.250;28403.000;26.000
21.07.17;11:57:32 AM;2.00;94.210;27.240;28420.000;26.000
21.07.17;11:57:47 AM;2.25;94.420;27.220;28410.000;26.000
21.07.17;11:58:02 AM;2.50;94.190;27.250;28393.000;26.000
21.07.17;11:58:17 AM;2.75;94.280;27.240;28429.000;26.000
21.07.17;11:58:32 AM;3.00;94.040;27.260;28425.000;26.000
21.07.17;11:58:47 AM;3.25;93.680;27.300;28439.000;26.000
21.07.17;11:59:02 AM;3.50;94.170;27.250;28454.000;26.000
21.07.17;11:59:17 AM;3.75;94.090;27.260;28447.000;26.000
21.07.17;11:59:32 AM;4.00;93.730;27.300;28439.000;26.000
21.07.17;11:59:47 AM;4.25;93.800;27.290;28433.000;26.000
21.07.17;12:00:02 PM;4.50;93.760;27.290;28485.000;26.000
21.07.17;12:00:17 PM;4.75;93.960;27.270;28490.000;26.000
21.07.17;12:00:32 PM;5.00;93.400;27.340;28477.000;26.000
21.07.17;12:00:47 PM;5.25;93.670;27.300;28499.000;26.000
21.07.17;12:01:02 PM;5.50;93.670;27.300;28482.000;26.000
21.07.17;12:01:17 PM;5.75;93.800;27.290;28513.000;26.000
21.07.17;12:01:32 PM;6.00;93.570;27.320;28508.000;26.000
21.07.17;12:01:47 PM;6.25;93.800;27.290;28564.000;26.000
21.07.17;12:02:02 PM;6.50;93.670;27.310;28513.000;26.000
21.07.17;12:02:17 PM;6.75;93.400;27.340;28536.000;26.000
21.07.17;12:02:32 PM;7.00;93.350;27.340;28564.000;26.000
21.07.17;12:02:47 PM;7.25;93.440;27.330;28547.000;26.000
21.07.17;12:03:02 PM;7.50;93.200;27.360;28545.000;26.000
21.07.17;12:03:17 PM;7.75;93.100;27.370;28562.000;26.000
21.07.17;12:03:32 PM;8.00;93.400;27.340;28555.000;26.000
21.07.17;12:03:47 PM;8.25;93.260;27.350;28542.000;26.000
21.07.17;12:04:02 PM;8.50;93.580;27.320;28577.000;26.000
21.07.17;12:04:17 PM;8.75;93.180;27.360;28568.000;26.000
21.07.17;12:04:32 PM;9.00;93.260;27.350;28601.000;26.000
21.07.17;12:04:47 PM;9.25;93.000;27.380;28571.000;26.000
21.07.17;12:05:02 PM;9.50;92.830;27.400;28617.000;26.000
21.07.17;12:05:17 PM;9.75;93.160;27.360;28595.000;26.000
21.07.17;12:05:32 PM;10.00;92.900;27.390;28618.000;26.000
21.07.17;12:05:47 PM;10.25;92.450;27.440;28622.000;26.000
21.07.17;12:06:02 PM;10.50;92.950;27.390;28655.000;26.000
21.07.17;12:06:17 PM;10.75;93.090;27.370;28650.000;26.000
21.07.17;12:06:32 PM;11.00;92.690;27.420;28686.000;26.000
21.07.17;12:06:47 PM;11.25;93.150;27.360;28662.000;26.000
21.07.17;12:07:02 PM;11.50;92.620;27.420;28629.000;26.000
21.07.17;12:07:17 PM;11.75;92.600;27.430;28673.000;26.000
21.07.17;12:07:32 PM;12.00;92.400;27.450;28681.000;26.000
